subject,TRIAL_INDEX,sentences,item,condition,compound_noun,plausibility,predictability,Whose,predictability_binary,log_predictability,TOTAL_DURATION,FIRST_FIXATION_DURATION,GAZE_DURATION,FIRST_PASS_REGRESSION,REGRESSION_PATH_DURATION,region
202,48,*The teacher was unable to understand the* problem* child* in her* class.*,69,Plausible,problem child,6.28,3.68e-4,Staubs,Low,-7.907427619795343,359,181,181,0,181,n1
202,56,*Cindy heard the* garbage* truck* as it* drove by her house.*,52,Implausible,garbage truck,4,0.015322,Staubs,Low,-4.1784655748875075,260,260,260,0,260,n1
202,57,*Evan said that he shouldn't have thrown out all his* junk* food* since now* he feels bad.*,41,Plausible,junk food,6.26087,0.105548352,Ours,High,-2.2485861182630384,246,246,246,0,246,n1
202,67,*The children attended the* elephant* shows* that took* place on Tuesday.*,80,Implausible,elephant shows,2.826087,1.99e-5,Staubs,Low,-10.824790826233828,212,212,212,0,212,n1
202,69,*As a kid Benny was known for his* hyperactivity* disorder* but you* could never tell by looking at him.*,29,Plausible,hyperactivity disorder,6.217391,0.1202438,Ours,High,-2.1182339305770497,490,260,260,0,260,n1
202,75,*The contractor ordered the* kitchen* fixtures* after the* renovation.*,76,Implausible,kitchen fixtures,3.304348,1.37e-4,Staubs,Low,-8.89552963213615,362,362,362,0,362,n1
202,77,*The dealer polished the* cabinet* drawers* before making* the sale.*,65,Plausible,cabinet drawers,4.434783,7.71e-4,Staubs,Low,-7.167822184400944,147,147,147,0,147,n1
202,79,*When I was a kid I hated* dining* rooms* because they* were always so boring.*,5,Plausible,dining rooms,4.208333,0.3117497,Ours,High,-1.165554656731997,192,192,192,0,192,n1
202,82,*Timmy absolutely loves buying* baking* sheets* with anyone* who is willing.*,16,Implausible,baking sheets,1.875,0.1552467,Ours,High,-1.862739814433109,342,342,342,0,342,n1
202,88,*The hardest part about driving my car is the* steering* wheel* is oddly* shaped.*,1,Plausible,steering wheel,5.75,0.5464651,Ours,High,-0.6042848343379513,217,217,217,0,217,n1
202,93,*The social worker visits* alcoholics* anonymous* to help* people.*,13,Plausible,alcoholics anonymous,5.92,0.1876327,Ours,High,-1.6732689505634717,270,270,270,0,270,n1
202,96,*The school's high* graduation* rates* were applauded* by the community.*,36,Implausible,graduation rates,3.434783,0.11305809,Ours,High,-2.1798535215624613,93,93,93,0,93,n1
202,100,"*Due to her difficulty of breathing, Jamie was really worried about having* lung* cancer* because it* is hard to treat.*",24,Implausible,lung cancer,3.32,0.1379383,Ours,High,-1.9809487952538625,317,317,317,0,317,n1
202,102,"*It was a great event, but the* weight* lifter* finally won* the competition.*",68,Implausible,weight lifter,2.041667,7.38e-4,Staubs,Low,-7.211566733363801,259,259,259,0,259,n1
202,106,*The doctor told me to stop my recreational use of* prescription* drugs* in order* to prevent any further damage to my skin.*,40,Implausible,prescription drugs,4.333333,0.1027533,Ours,High,-2.275424309333205,302,302,302,0,302,n1
202,111,*Arnie enjoyed the* season* tickets* though they* cost more than last year.*,61,Plausible,season tickets,5,0.002293,Staubs,Low,-6.077894275106369,267,267,267,0,267,n1
202,129,*One of my favorite feelings is when I smell* ice* cream* because it's* so sweet.*,20,Implausible,ice cream,3.04,0.1511365,Ours,High,-1.8895718769952663,295,295,295,0,295,n1
202,130,*Ricardo painted the* ceiling* supports* while he* ate his lunch.*,77,Plausible,ceiling supports,6.304348,8.08e-5,Staubs,Low,-9.423533592437224,211,211,211,0,211,n1
202,132,"*When I was a kid, despite my mom's disapproval, I really wanted to go to a* snack* bar* and eat* all of the snacks.*",28,Implausible,snack bar,2.956522,0.1225199,Ours,High,-2.0994818132111703,227,227,227,0,227,n1
202,135,*The visitors folded the* bathroom* towels* on the* first day of their stay.*,72,Implausible,bathroom towels,2.173913,3.19e-4,Staubs,Low,-8.05031945517943,301,301,301,0,301,n1
202,138,*I heard that Billy stumbled upon a* web* site* about dogs*.*,33,Plausible,web site,4.8,0.1143555,Ours,High,-2.16844326172511,266,266,266,0,266,n1
203,17,*Jane carefully examined the* package* deal* to make* sure it was a bargain.*,55,Plausible,package deal,6.541667,0.006036,Staubs,Low,-5.1100137380765345,374,181,181,0,181,n1
203,18,*The visitors dirtied the* bathroom* towels* on the* first day of their stay.*,71,Plausible,bathroom towels,5.666667,3.19e-4,Staubs,Low,-8.05031945517943,256,256,256,0,256,n1
203,20,*I heard that Billy read a* web* site* about dogs*.*,34,Implausible,web site,2.304348,0.1143555,Ours,High,-2.16844326172511,394,161,161,1,639,n1
203,25,*As a kid Benny was diagnosed with a* hyperactivity* disorder* but you* could never tell by looking at him.*,30,Implausible,hyperactivity disorder,4.2,0.1202438,Ours,High,-2.1182339305770497,386,222,386,0,386,n1
203,26,*The contractor admired the* kitchen* fixtures* after the* renovation.*,75,Plausible,kitchen fixtures,6.041667,1.37e-4,Staubs,Low,-8.89552963213615,1043,183,660,0,660,n1
203,29,"*When I was a kid, despite my mom's disapproval, I really wanted to buy a* snack* bar* and eat* all of the snacks.*",27,Plausible,snack bar,5.24,0.1225199,Ours,High,-2.0994818132111703,328,152,152,0,152,n1
203,30,"*Due to her difficulty of breathing, Jamie was really worried about her* lung* cancer* because it* is hard to treat.*",23,Plausible,lung cancer,5.73913,0.1379383,Ours,High,-1.9809487952538625,597,268,268,0,268,n1
203,31,*Nora was slowed at the* traffic* light* near the* new mall.*,54,Implausible,traffic light,3.333333,0.013149,Staubs,Low,-4.331409568877356,563,158,158,0,158,n1
203,36,*The hardest part about painting my car is the* steering* wheel* is oddly* shaped.*,2,Implausible,steering wheel,2.217391,0.5464651,Ours,High,-0.6042848343379513,321,150,150,1,620,n1
203,38,"*It required a great effort, but the* weight* lifter* finally won* the competition.*",67,Plausible,weight lifter,3.869565,7.38e-4,Staubs,Low,-7.211566733363801,538,266,266,0,266,n1
203,53,*When I was a kid I hated the color of* dining* rooms* because they* were always so boring.*,6,Implausible,dining rooms,2,0.3117497,Ours,High,-1.165554656731997,296,296,296,0,296,n1
203,58,*Kim modeled the* party* outfit* that her* mother had chosen.*,82,Implausible,party outfit,3.2,1.54e-5,Staubs,Low,-11.081143048544691,182,182,182,0,182,n1
203,62,*Arnie bought the* season* tickets* though they* cost more than last year.*,62,Implausible,season tickets,3.16,0.002293,Staubs,Low,-6.077894275106369,359,214,214,0,214,n1
203,67,*The children loved the* elephant* shows* that took* place on Tuesday.*,79,Plausible,elephant shows,5.916667,1.99e-5,Staubs,Low,-10.824790826233828,358,184,184,1,1051,n1
203,70,*The manager found the* dairy* products* in the* tracking system.*,11,Plausible,dairy products,5.26087,0.1916258,Ours,High,-1.6522107669782602,351,351,351,0,351,n1
203,77,*Gordon was annoyed by the* service* charges* at the* local mortgage company.*,63,Plausible,service charges,6.086957,0.001149,Staubs,Low,-6.768863280115518,533,212,212,0,212,n1
203,86,*The school's outstanding* graduation* rates* were applauded* by the community.*,35,Plausible,graduation rates,4.625,0.11305809,Ours,High,-2.1798535215624613,378,228,228,1,535,n1
203,98,*The dealer counted the* cabinet* drawers* before making* the sale.*,66,Implausible,cabinet drawers,3.2,7.71e-4,Staubs,Low,-7.167822184400944,182,182,182,0,182,n1
203,101,*I read that John was arrested for* insider* trading* that cost* one company millions of dollars.*,10,Implausible,insider trading,3.173913,0.2203773,Ours,High,-1.512414201563035,607,457,607,0,607,n1
203,120,*Sally said she is attending that new* graduate* school* everyone was* talking about.*,26,Implausible,graduate school,2.833333,0.1368266,Ours,High,-1.9890408482511133,187,187,187,0,187,n1
203,121,*I was really worried after I administered the* wastewater* treatment* because it* wasn't adequately tested.*,22,Implausible,wastewater treatment,3.217391,0.1460549,Ours,High,-1.9237727005571241,384,384,384,0,384,n1
203,129,*The new taxi driver installed the* license* plate* for the* cab he just bought.*,46,Implausible,license plate,3.6,0.0324,Staubs,Low,-3.4295968561838532,274,274,274,0,274,n1
203,132,*The social worker founded* alcoholics* anonymous* to help* people.*,14,Implausible,alcoholics anonymous,2.434783,0.1876327,Ours,High,-1.6732689505634717,540,226,226,0,226,n1
203,137,*Sam went to the* funeral* home* so that* they would send a limousine.*,47,Plausible,funeral home,6.521739,0.02871,Staubs,Low,-3.5505097848491647,274,274,274,0,274,n1
203,138,*The doctor told me to pick up my* prescription* drugs* in order* to prevent any further damage to my skin.*,39,Plausible,prescription drugs,6.304348,0.1027533,Ours,High,-2.275424309333205,491,314,314,0,314,n1
204,8,*I read an article about the* insider* trading* that cost* one company millions of dollars.*,9,Plausible,insider trading,5.08,0.2203773,Ours,High,-1.512414201563035,403,205,403,0,403,n1
204,10,*Jimmy spread out the* peanut* butter* after he* finished working.*,8,Implausible,peanut butter,4,0.2757128,Ours,High,-1.288395534754074,290,290,290,1,426,n1
204,13,*The school's high* graduation* rates* were applauded* by the community.*,36,Implausible,graduation rates,3.434783,0.11305809,Ours,High,-2.1798535215624613,208,208,208,0,208,n1
204,16,*The visitors folded the* bathroom* towels* on the* first day of their stay.*,72,Implausible,bathroom towels,2.173913,3.19e-4,Staubs,Low,-8.05031945517943,358,358,358,0,358,n1
204,31,*The new taxi driver needed the* license* plate* for the* cab he just bought.*,45,Plausible,license plate,5,0.0324,Staubs,Low,-3.4295968561838532,258,258,258,0,258,n1
204,34,*The contractor ordered the* kitchen* fixtures* after the* renovation.*,76,Implausible,kitchen fixtures,3.304348,1.37e-4,Staubs,Low,-8.89552963213615,538,185,185,0,185,n1
204,36,*The new principal visited the* cafeteria* manager* at the* end of the school day.*,57,Plausible,cafeteria manager,6.52,0.002809,Staubs,Low,-5.874926730860031,325,325,325,0,325,n1
204,50,*As a kid Benny was known for his* hyperactivity* disorder* but you* could never tell by looking at him.*,29,Plausible,hyperactivity disorder,6.217391,0.1202438,Ours,High,-2.1182339305770497,186,186,186,0,186,n1
204,60,"*When I was a kid, despite my mom's disapproval, I really wanted to go to a* snack* bar* and eat* all of the snacks.*",28,Implausible,snack bar,2.956522,0.1225199,Ours,High,-2.0994818132111703,230,230,230,0,230,n1
204,61,*Jane looked forward to visiting the* concert* hall* after it* had been remodeled.*,44,Implausible,concert hall,4,0.05123,Staubs,Low,-2.9714299810310263,162,162,162,0,162,n1
204,68,*The doctor told me to stop my recreational use of* prescription* drugs* in order* to prevent any further damage to my skin.*,40,Implausible,prescription drugs,4.333333,0.1027533,Ours,High,-2.275424309333205,238,238,238,0,238,n1
204,69,*The hardest part about driving my car is the* steering* wheel* is oddly* shaped.*,1,Plausible,steering wheel,5.75,0.5464651,Ours,High,-0.6042848343379513,183,183,183,0,183,n1
204,70,*One of my favorite feelings is when I smell* ice* cream* because it's* so sweet.*,20,Implausible,ice cream,3.04,0.1511365,Ours,High,-1.8895718769952663,275,275,275,0,275,n1
204,73,*The social worker visits* alcoholics* anonymous* to help* people.*,13,Plausible,alcoholics anonymous,5.92,0.1876327,Ours,High,-1.6732689505634717,222,222,222,0,222,n1
204,74,*The dealer polished the* cabinet* drawers* before making* the sale.*,65,Plausible,cabinet drawers,4.434783,7.71e-4,Staubs,Low,-7.167822184400944,329,329,329,0,329,n1
204,77,*I was really worried after I read about the* wastewater* treatment* because it* wasn't adequately tested.*,21,Plausible,wastewater treatment,5.083333,0.1460549,Ours,High,-1.9237727005571241,284,284,284,0,284,n1
204,78,*When I was a kid I hated* dining* rooms* because they* were always so boring.*,5,Plausible,dining rooms,4.208333,0.3117497,Ours,High,-1.165554656731997,398,164,164,1,793,n1
204,79,"*Due to her difficulty of breathing, Jamie was really worried about having* lung* cancer* because it* is hard to treat.*",24,Implausible,lung cancer,3.32,0.1379383,Ours,High,-1.9809487952538625,342,342,342,0,342,n1
204,81,*The maid caught the* elevator* mechanic* who was* goofing off.*,73,Plausible,elevator mechanic,4.347826,1.99e-4,Staubs,Low,-8.522205733239781,214,214,214,0,214,n1
204,82,*Sally said she found that new* graduate* school* everyone was* talking about.*,25,Plausible,graduate school,4.26087,0.1368266,Ours,High,-1.9890408482511133,498,205,205,0,205,n1
204,93,"*It was a great event, but the* weight* lifter* finally won* the competition.*",68,Implausible,weight lifter,2.041667,7.38e-4,Staubs,Low,-7.211566733363801,200,200,200,0,200,n1
204,95,*Jane listened carefully to the* package* deal* to make* sure it was a bargain.*,56,Implausible,package deal,3.391304,0.006036,Staubs,Low,-5.1100137380765345,188,188,188,0,188,n1
204,103,*Sam phoned the* funeral* home* so that* they would send a limousine.*,48,Implausible,funeral home,3.125,0.02871,Staubs,Low,-3.5505097848491647,256,256,256,0,256,n1
204,106,*The astronaut dropped into the* surface* crater* that had* been rumored to exist.*,84,Implausible,surface crater,3.478261,2.86e-6,Staubs,Low,-12.764688933132513,312,312,312,0,312,n1
204,109,*The children attended the* elephant* shows* that took* place on Tuesday.*,80,Implausible,elephant shows,2.826087,1.99e-5,Staubs,Low,-10.824790826233828,327,215,215,0,215,n1
204,135,*I heard that Billy stumbled upon a* web* site* about dogs*.*,33,Plausible,web site,4.8,0.1143555,Ours,High,-2.16844326172511,436,216,216,0,216,n1
205,6,*I heard that Billy read a* web* site* about dogs*.*,34,Implausible,web site,2.304348,0.1143555,Ours,High,-2.16844326172511,208,208,208,0,208,n1
205,9,*The astronaut landed on the* surface* crater* that had* been rumored to exist.*,83,Plausible,surface crater,5.28,2.86e-6,Staubs,Low,-12.764688933132513,308,308,308,0,308,n1
205,16,*The teacher was unable to scold the* problem* child* in her* class.*,70,Implausible,problem child,2.565217,3.68e-4,Staubs,Low,-7.907427619795343,347,347,347,0,347,n1
205,19,*As a kid Benny was diagnosed with a* hyperactivity* disorder* but you* could never tell by looking at him.*,30,Implausible,hyperactivity disorder,4.2,0.1202438,Ours,High,-2.1182339305770497,824,329,329,0,329,n1
205,24,*I was really worried after I administered the* wastewater* treatment* because it* wasn't adequately tested.*,22,Implausible,wastewater treatment,3.217391,0.1460549,Ours,High,-1.9237727005571241,919,367,367,1,799,n1
205,26,*My mom received* baking* dishes* from the* new grocery store.*,18,Implausible,baking dishes,2.521739,0.1538439,Ours,High,-1.8718168270089037,856,186,363,0,363,n1
205,27,*The visitors dirtied the* bathroom* towels* on the* first day of their stay.*,71,Plausible,bathroom towels,5.666667,3.19e-4,Staubs,Low,-8.05031945517943,786,167,591,0,591,n1
205,29,*The maid scolded the* elevator* mechanic* who was* goofing off.*,74,Implausible,elevator mechanic,2.125,1.99e-4,Staubs,Low,-8.522205733239781,259,259,259,0,259,n1
205,33,*One of my favorite feelings is when I eat* ice* cream* because it's* so sweet.*,19,Plausible,ice cream,4.608696,0.1511365,Ours,High,-1.8895718769952663,164,164,164,0,164,n1
205,43,*The dealer counted the* cabinet* drawers* before making* the sale.*,66,Implausible,cabinet drawers,3.2,7.71e-4,Staubs,Low,-7.167822184400944,185,185,185,0,185,n1
205,47,*Cindy smelled the* garbage* truck* as it* drove by her house.*,51,Plausible,garbage truck,6.130435,0.015322,Staubs,Low,-4.1784655748875075,177,177,177,0,177,n1
205,48,*The children loved the* elephant* shows* that took* place on Tuesday.*,79,Plausible,elephant shows,5.916667,1.99e-5,Staubs,Low,-10.824790826233828,378,191,191,0,191,n1
205,63,*The social worker founded* alcoholics* anonymous* to help* people.*,14,Implausible,alcoholics anonymous,2.434783,0.1876327,Ours,High,-1.6732689505634717,539,119,231,1,1481,n1
205,69,*The worst part about using the bathroom in public is that they always run out of the* toilet* paper* no matter* when you go.*,38,Implausible,toilet paper,3.4,0.11059946,Ours,High,-2.2018400723651346,195,195,195,0,195,n1
205,86,*I read that John was arrested for* insider* trading* that cost* one company millions of dollars.*,10,Implausible,insider trading,3.173913,0.2203773,Ours,High,-1.512414201563035,202,202,202,0,202,n1
205,92,*Jimmy picked up the* peanut* butter* after he* finished working.*,7,Plausible,peanut butter,5.73913,0.2757128,Ours,High,-1.288395534754074,252,252,252,0,252,n1
205,93,*The manager found the* dairy* products* in the* tracking system.*,11,Plausible,dairy products,5.26087,0.1916258,Ours,High,-1.6522107669782602,308,308,308,1,997,n1
205,100,*The school's outstanding* graduation* rates* were applauded* by the community.*,35,Plausible,graduation rates,4.625,0.11305809,Ours,High,-2.1798535215624613,356,356,356,0,356,n1
205,101,*Nora was slowed at the* traffic* light* near the* new mall.*,54,Implausible,traffic light,3.333333,0.013149,Staubs,Low,-4.331409568877356,214,214,214,0,214,n1
205,103,*Sally said she is attending that new* graduate* school* everyone was* talking about.*,26,Implausible,graduate school,2.833333,0.1368266,Ours,High,-1.9890408482511133,239,239,239,0,239,n1
205,113,"*It required a great effort, but the* weight* lifter* finally won* the competition.*",67,Plausible,weight lifter,3.869565,7.38e-4,Staubs,Low,-7.211566733363801,394,394,394,0,394,n1
205,126,*Jane carefully examined the* package* deal* to make* sure it was a bargain.*,55,Plausible,package deal,6.541667,0.006036,Staubs,Low,-5.1100137380765345,204,204,204,0,204,n1
205,134,*The mechanic scoffed at the idea of putting* diesel* engines* into the* antique cars.*,31,Plausible,diesel engines,5.217391,0.1189083,Ours,High,-2.129402671161631,347,347,347,0,347,n1
206,6,"*Due to her difficulty of breathing, Jamie was really worried about having* lung* cancer* because it* is hard to treat.*",24,Implausible,lung cancer,3.32,0.1379383,Ours,High,-1.9809487952538625,360,199,199,0,199,n1
206,9,"*When I was a kid, despite my mom's disapproval, I really wanted to go to a* snack* bar* and eat* all of the snacks.*",28,Implausible,snack bar,2.956522,0.1225199,Ours,High,-2.0994818132111703,437,216,216,0,216,n1
206,11,*Gordon calculated the* service* charges* at the* local mortgage company.*,64,Implausible,service charges,4.48,0.001149,Staubs,Low,-6.768863280115518,791,177,605,0,605,n1
206,17,*Kimmy panicked when she realized that she left the faucet running in the* locker* room* after gym* class.*,4,Implausible,locker room,2.833333,0.5015731,Ours,High,-0.6900059194906343,651,179,179,0,179,n1
206,27,*Ricardo painted the* ceiling* supports* while he* ate his lunch.*,77,Plausible,ceiling supports,6.304348,8.08e-5,Staubs,Low,-9.423533592437224,231,231,231,0,231,n1
206,29,*The manager logged the* dairy* products* in the* tracking system.*,12,Implausible,dairy products,3.458333,0.1916258,Ours,High,-1.6522107669782602,199,102,102,0,102,n1
206,32,*I was really worried after I read about the* wastewater* treatment* because it* wasn't adequately tested.*,21,Plausible,wastewater treatment,5.083333,0.1460549,Ours,High,-1.9237727005571241,637,153,153,0,153,n1
206,34,*Kim heard about the* party* outfit* that her* mother had chosen.*,81,Plausible,party outfit,6.173913,1.54e-5,Staubs,Low,-11.081143048544691,228,96,96,0,96,n1
206,35,*The hardest part about driving my car is the* steering* wheel* is oddly* shaped.*,1,Plausible,steering wheel,5.75,0.5464651,Ours,High,-0.6042848343379513,173,173,173,0,173,n1
206,37,*Cindy heard the* garbage* truck* as it* drove by her house.*,52,Implausible,garbage truck,4,0.015322,Staubs,Low,-4.1784655748875075,139,139,139,0,139,n1
206,38,*Sam phoned the* funeral* home* so that* they would send a limousine.*,48,Implausible,funeral home,3.125,0.02871,Staubs,Low,-3.5505097848491647,436,206,206,0,206,n1
206,47,*I heard that Billy stumbled upon a* web* site* about dogs*.*,33,Plausible,web site,4.8,0.1143555,Ours,High,-2.16844326172511,173,173,173,0,173,n1
206,48,*Timmy absolutely loves buying* baking* sheets* with anyone* who is willing.*,16,Implausible,baking sheets,1.875,0.1552467,Ours,High,-1.862739814433109,520,169,169,1,345,n1
206,50,*The teacher was unable to understand the* problem* child* in her* class.*,69,Plausible,problem child,6.28,3.68e-4,Staubs,Low,-7.907427619795343,235,235,235,0,235,n1
206,55,*The dealer polished the* cabinet* drawers* before making* the sale.*,65,Plausible,cabinet drawers,4.434783,7.71e-4,Staubs,Low,-7.167822184400944,609,263,263,0,263,n1
206,61,*Jane looked forward to visiting the* concert* hall* after it* had been remodeled.*,44,Implausible,concert hall,4,0.05123,Staubs,Low,-2.9714299810310263,205,205,205,0,205,n1
206,64,*As a kid Benny was known for his* hyperactivity* disorder* but you* could never tell by looking at him.*,29,Plausible,hyperactivity disorder,6.217391,0.1202438,Ours,High,-2.1182339305770497,259,259,259,0,259,n1
206,66,*The social worker visits* alcoholics* anonymous* to help* people.*,13,Plausible,alcoholics anonymous,5.92,0.1876327,Ours,High,-1.6732689505634717,481,258,481,0,481,n1
206,68,*Mary bought the* safety* belt* because it* was a big improvement.*,60,Implausible,safety belt,3.043478,0.002332,Staubs,Low,-6.0610290104938915,225,225,225,0,225,n1
206,76,*Sally said she found that new* graduate* school* everyone was* talking about.*,25,Plausible,graduate school,4.26087,0.1368266,Ours,High,-1.9890408482511133,509,294,294,0,294,n1
206,78,*The children attended the* elephant* shows* that took* place on Tuesday.*,80,Implausible,elephant shows,2.826087,1.99e-5,Staubs,Low,-10.824790826233828,201,201,201,0,201,n1
206,79,*Barbara went over to her* station* wagon* and put* some money in the parking meter.*,49,Plausible,station wagon,5.75,0.015707,Staubs,Low,-4.153648806121242,447,198,198,0,198,n1
206,90,*The new taxi driver needed the* license* plate* for the* cab he just bought.*,45,Plausible,license plate,5,0.0324,Staubs,Low,-3.4295968561838532,156,156,156,0,156,n1
206,92,*I read an article about the* insider* trading* that cost* one company millions of dollars.*,9,Plausible,insider trading,5.08,0.2203773,Ours,High,-1.512414201563035,298,298,298,0,298,n1
206,95,*The school's high* graduation* rates* were applauded* by the community.*,36,Implausible,graduation rates,3.434783,0.11305809,Ours,High,-2.1798535215624613,177,177,177,0,177,n1
206,98,*The maid caught the* elevator* mechanic* who was* goofing off.*,73,Plausible,elevator mechanic,4.347826,1.99e-4,Staubs,Low,-8.522205733239781,330,177,330,0,330,n1
206,103,*Jane listened carefully to the* package* deal* to make* sure it was a bargain.*,56,Implausible,package deal,3.391304,0.006036,Staubs,Low,-5.1100137380765345,419,182,182,0,182,n1
206,107,"*It was a great event, but the* weight* lifter* finally won* the competition.*",68,Implausible,weight lifter,2.041667,7.38e-4,Staubs,Low,-7.211566733363801,298,298,298,1,388,n1
206,116,*Nora was held up by the* traffic* light* near the* new mall.*,53,Plausible,traffic light,6.26087,0.013149,Staubs,Low,-4.331409568877356,191,191,191,0,191,n1
206,118,*The contractor ordered the* kitchen* fixtures* after the* renovation.*,76,Implausible,kitchen fixtures,3.304348,1.37e-4,Staubs,Low,-8.89552963213615,377,177,177,0,177,n1
206,120,*Arnie enjoyed the* season* tickets* though they* cost more than last year.*,61,Plausible,season tickets,5,0.002293,Staubs,Low,-6.077894275106369,536,234,234,0,234,n1
206,122,*The mechanic scoffed at the idea of building* diesel* engines* into the* antique cars.*,32,Implausible,diesel engines,3,0.1189083,Ours,High,-2.129402671161631,595,204,204,1,547,n1
206,125,*The visitors folded the* bathroom* towels* on the* first day of their stay.*,72,Implausible,bathroom towels,2.173913,3.19e-4,Staubs,Low,-8.05031945517943,554,216,216,0,216,n1
206,129,*The new principal visited the* cafeteria* manager* at the* end of the school day.*,57,Plausible,cafeteria manager,6.52,0.002809,Staubs,Low,-5.874926730860031,393,201,201,0,201,n1
206,133,*The astronaut dropped into the* surface* crater* that had* been rumored to exist.*,84,Implausible,surface crater,3.478261,2.86e-6,Staubs,Low,-12.764688933132513,586,203,203,1,507,n1
207,9,*I was really worried after I administered the* wastewater* treatment* because it* wasn't adequately tested.*,22,Implausible,wastewater treatment,3.217391,0.1460549,Ours,High,-1.9237727005571241,451,179,179,1,482,n1
207,45,*Evan said that he shouldn't have eaten all his* junk* food* since now* he feels bad.*,42,Implausible,junk food,3.125,0.105548352,Ours,High,-2.2485861182630384,181,181,181,0,181,n1
207,53,*The children loved the* elephant* shows* that took* place on Tuesday.*,79,Plausible,elephant shows,5.916667,1.99e-5,Staubs,Low,-10.824790826233828,510,333,333,1,489,n1
207,56,*The new taxi driver installed the* license* plate* for the* cab he just bought.*,46,Implausible,license plate,3.6,0.0324,Staubs,Low,-3.4295968561838532,374,374,374,0,374,n1
207,60,*The social worker founded* alcoholics* anonymous* to help* people.*,14,Implausible,alcoholics anonymous,2.434783,0.1876327,Ours,High,-1.6732689505634717,314,314,314,0,314,n1
207,61,*The doctor told me to pick up my* prescription* drugs* in order* to prevent any further damage to my skin.*,39,Plausible,prescription drugs,6.304348,0.1027533,Ours,High,-2.275424309333205,258,258,258,0,258,n1
207,66,*I read that John was arrested for* insider* trading* that cost* one company millions of dollars.*,10,Implausible,insider trading,3.173913,0.2203773,Ours,High,-1.512414201563035,194,194,194,0,194,n1
207,82,*The school's outstanding* graduation* rates* were applauded* by the community.*,35,Plausible,graduation rates,4.625,0.11305809,Ours,High,-2.1798535215624613,177,177,177,0,177,n1
207,83,*Mary was reassured about the* safety* belt* because it* was a big improvement.*,59,Plausible,safety belt,4.541667,0.002332,Staubs,Low,-6.0610290104938915,191,191,191,0,191,n1
207,90,*When I was a kid I hated the color of* dining* rooms* because they* were always so boring.*,6,Implausible,dining rooms,2,0.3117497,Ours,High,-1.165554656731997,545,376,545,0,545,n1
207,91,*Timmy absolutely loves talking about* baking* sheets* with anyone* who is willing.*,15,Plausible,baking sheets,6.347826,0.1552467,Ours,High,-1.862739814433109,219,219,219,0,219,n1
207,93,*The contractor admired the* kitchen* fixtures* after the* renovation.*,75,Plausible,kitchen fixtures,6.041667,1.37e-4,Staubs,Low,-8.89552963213615,216,216,216,1,498,n1
207,95,*Gordon was annoyed by the* service* charges* at the* local mortgage company.*,63,Plausible,service charges,6.086957,0.001149,Staubs,Low,-6.768863280115518,236,236,236,0,236,n1
