trigram,count
bell	and	trellis,0
inkwell	and	kite,0
foxglove	and	trombone,0
snowflake	and	thunder,2
beehive	and	lantern,0
carousel	and	quill,0
canyon	and	thimble,13
lighthouse	and	onion,0
cactus	and	chessboard,0
gallery	and	raindrop,0
grapefruit	and	saw,14
maze	and	seashell,0
pearl	and	typewriter,0
cricket	and	plow,0
blackboard	and	marsh,0
vineyard	and	wagon,3
camel	and	marble,0
gingerbread	and	fresco,0
sequoia	and	tapestry,0
marble	and	telescope,1
ferry	and	mask,1
echo	and	ledger,0
bridge	and	veil,1
chimney	and	envelope,1
cello	and	sunflower,0
archway	and	quilt,0
fern	and	lantern,0
compass	and	haystack,0
carousel	and	maple,0
beacon	and	millipede,0
fog	and	piano,7
parchment	and	windmill,0
candlestick	and	meadow,0
eagle	and	casserole,0
linguist	and	kite,0
perfume	and	algorithm,0
screwdriver	and	forest,0
syntax	and	sculpture,2
volcano	and	slipper,0
ocean	and	grammar,1
microscope	and	harmonica,0
zenith	and	cookbook,0
hydrogen	and	hammock,0
umbrella	and	molecule,0
thunder	and	sapphire,14
toaster	and	neuron,0
shoelace	and	galaxy,2
telescope	and	marshmallow,0
parchment	and	electricity,0
gravity	and	carousel,3
optics	and	casserole,0
comet	and	encyclopedia,0
piano	and	logic,44
radar	and	garden,0
waffle	and	nimbus,0
sunshine	and	cactus,45
forest	and	algorithm,10
circuit	and	cactus,3
pumpkin	and	photon,0
syntax	and	lantern,0
vineyard	and	echo,0
snowman	and	nebula,0
spectrum	and	pendulum,16
teapot	and	botany,0
volcano	and	ink,0
kaleidoscope	and	chisel,0
signal	and	origami,1
galaxy	and	chandelier,0
rainbow	and	copper,32
teacup	and	lava,0
aurora	and	antique,4
sandcastle	and	portal,0
feather	and	carnival,0
harmony	and	glacier,0
theory	and	scooter,2
orchard	and	entropy,0
vineyard	and	axolotl,0
temple	and	polaroid,0
meadow	and	clockwork,0
telecope	and	algebra,0
nebula	and	anchor,0
forest	and	antenna,3
topaz	and	arcade,0
compass	and	asteroid,0
nebula	and	bicycle,0
whirlwind	and	bridge,1
entropy	and	bungalow,0
mosaic	and	canopy,2
gnome	and	carnation,0
teardrop	and	cathedral,0
melody	and	chamber,15
glacier	and	chime,0
harmonica	and	cinnamon,0
violin	and	cloud,1
compass	and	algae,1
syntax	and	coral,0
tornado	and	crystal,5
pendulum	and	dandelion,0
telescope	and	delirium,0
piano	and	desert,3
telescope	and	feather,4
flame	and	algorithm,1
oasis	and	canvas,5
cat	and	dog,258274
of	and	significance,1006
glaciers	and	cameras,2
galaxies	and	puzzles,3
sandstorms	and	anchors,0
volcanoes	and	scissors,0
mirrors	and	hurricanes,6
lanterns	and	equations,0
tulips	and	satellites,0
waterfalls	and	robots,4
hedgehogs	and	compasses,0
trampolines	and	planets,2
umbrellas	and	skeletons,3
neckties	and	comets,0
headphones	and	castles,0
fountains	and	clouds,59
pyramids	and	paperclips,0
mountains	and	masks,14
ribbons	and	lightning,4
kettles	and	constellations,0
dinosaurs	and	candles,14
pencils	and	oceans,1
origami	and	circuits,1
whales	and	kaleidoscopes,0
pianos	and	meadows,0
rainbows	and	clocks,0
shadows	and	propellers,1
zebras	and	magnets,0
rivers	and	crystals,16
tunnels	and	dragons,17
submarines	and	parrots,0
spices	and	glaciers,1
meteors	and	feathers,4
foxes	and	archives,0
jungles	and	crayons,0
tents	and	prisms,0
satellites	and	mushrooms,0
labyrinth	and	bicycle,2
teapot	and	harbor,0
quicksand	and	notebook,0
lantern	and	glacier,0
puddle	and	microscope,0
swan	and	compass,0
orchard	and	fountain,10
monocule	and	guitar,0
cathedral	and	bonsai,0
violin	and	honeycomb,0
stadium	and	sailboat,0
skyscrapers	and	acorns,0
lantern	and	kayak,1
skyscrapers	and	pebble,1
trellis	and	bell,0
kite	and	inkwell,0
trombone	and	foxglove,0
thunder	and	snowflake,1
lantern	and	beehive,2
quill	and	carousel,0
thimble	and	canyon,0
onion	and	lighthouse,0
chessboard	and	cactus,0
raindrop	and	gallery,0
saw	and	grapefruit,1
seashell	and	maze,2
typewriter	and	pearl,5
plow	and	cricket,0
marsh	and	blackboard,1
wagon	and	vineyard,1
marble	and	camel,13
fresco	and	gingerbread,0
tapestry	and	sequoia,1
telescope	and	marble,1
mask	and	ferry,1
ledger	and	echo,95
veil	and	bridge,7
envelope	and	chimney,12
sunflower	and	cello,0
quilt	and	archway,0
lantern	and	fern,7
haystack	and	compass,0
maple	and	carousel,1
millipede	and	beacon,0
piano	and	fog,1
windmill	and	parchment,0
meadow	and	candlestick,0
