WordA,WordB,Sentence,reading_times_alpha,reading_times_nonalpha
gentlemen,ladies,The hostess in the venue lead the X and Y to their respective tables at the wedding banquet.,-36.69124960899353,-23.407196164131165
feelings,thoughts,"Whenever Pat was frustrated, her X and Y got muddled and she couldn't make any decisions.",-22.09677942749113,-20.332868805155158
diagnosis,treatment,Marissa found that her X and Y at the hospital were completely different from what she anticipated.,-53.17070412635803,-56.5231511592865
groups,individuals,Differentiating between X and Y became increasingly difficult as the crowd grew larger.,-63.842288970947266,-60.08049964904785
knowledge,skills,"Although Cassie's X and Y were both strong, her exams were still difficult.",-56.54360580444336,-54.71696138381958
heart,mind,It took a long time for Sarah's X and Y to recover after her husband died.,-46.62245225906372,-47.65297555923462
influence,power,The employee used her X and Y in the company in order to get a raise.,-51.83216094970703,-52.01297616958618
Africa,Asia,My colleague wanted to visit X and Y this year for a vacation with her husband.,-50.19558382034302,-48.937371253967285
addresses,names,The company collected hundreds of X and Y for a petition they wanted to pass in June.,-53.176509380340576,-56.93116998672485
poetry,prose,The professor taught both X and Y in his Renaissance literature class.,-54.57073640823364,-54.55656957626343
forefinger,thumb,The ability to use the X and Y are very important evolutionary traits that differentiate humans from apes.,-13.165694639086723,-12.496993420645595
minerals,vitamins,The human body needs both X and Y in order to continue functioning properly.,-66.49743032455444,-61.26671886444092
fall,winter,In the months during X and Y students tend to feel a bit sadder due to the cold and gloomy weather.,-20.51225590147078,-23.82797484099865
light,shadow,It is important to consider both X and Y when creating a still life painting.,-56.601508140563965,-56.61052227020264
honey,milk,Jack's mother gave him X and Y in order to calm him after a nightmare.,-35.92005264759064,-20.219357788562775
nose,throat,Springtime allergies make my X and Y a lot more irritated than the rest of the year.,-18.011675623245537,-21.286676397547126
anger,fear,The abused dog showed both X and Y when animal control came to pick him up.,-56.0231146812439,-57.4843544960022
head,tail,There were white spots on the X and Y of the tiny dog.,-53.94353628158569,-54.35556411743164
novels,stories,The famous author had published many X and Y over the past twenty years.,-53.614163875579834,-54.374999046325684
sunrise,sunset,Andrew loved to be outside at X and Y during the summer months.,-53.51366901397705,-54.12212300300598
sympathy,understanding,Being a therapist requires a lot of X and Y because you often have to deal with people in rough patches.,-23.278323888778687,-23.58129858970642
shoes,socks,"When it rains, your X and Y become more of a nuisance than something to protect your feet.",-13.756283281836659,-14.840792472590692
equipment,personnel,The company had an appropriate amount of X and Y in order to make sure everyone at the event would be safe.,-17.696532875299454,-16.507824450731277
eyes,face,The instructions in the lab ask you cover your X and Y when you operate any machinery.,-49.70863485336304,-48.92892575263977
ink,paper,All you need is X and Y in order to write the next great novel.,-46.45439577102661,-42.03519678115845
muscles,nerves,Allison felt like her X and Y were on fire after running a marathon.,-64.5396375656128,-70.95331764221191
charts,maps,Dr. Morganstern took out his X and Y in order to document where he found the last fossil.,-18.156274765729904,-19.72434740513563
elbows,knees,I hurt my X and Y when I fell off my longboard.,-51.83594608306885,-48.13859701156616
Christmas,Easter,The child decided that X and Y were her favorite holidays.,-52.86399793624878,-53.30551719665527
nature,size,Sometimes it is hard to figure out the X and Y of a problem just from reading about it in the news.,-17.79937792569399,-17.878314435482025
gums,teeth,You should take care of your X and Y in order to have optimal dental hygiene.,-36.54418271780014,-34.2061767578125
chairs,sofas,The hoarder had many X and Y in their living room.,-55.11621427536011,-56.030879974365234
characters,situations,Cheryl considered the X and Y in the novel she was writing.,-61.42564392089844,-60.98193025588989
joy,pleasure,Tucking yourself into bed provides a great sense of X and Y at the end of a long day.,-53.12882423400879,-49.91256093978882
Thursday,Tuesday,Don's manager scheduled him for work on X and Y every week for the next month.,-50.714502811431885,-52.63915300369263
barley,oats,Susanne prepared X and Y for breakfast everyday for a week.,-53.24933910369873,-57.02685785293579
beauty,dignity,The girl had both X and Y but was lacking intelligence.,-63.49614143371582,-61.72881031036377
boats,ships,The pier was full of X and Y ready to take off on an adventure.,-60.0534987449646,-59.79837703704834
misery,pain,The people experienced X and Y after they were shipwrecked for months.,-52.80201196670532,-51.86589813232422
bones,skulls,Scientists study the X and Y of long-extinct animal species.,-45.664297580718994,-42.96044635772705
dairy,poultry,You will often find X and Y close to each other in the refrigerated aisle of the grocery store.,-16.968228724901564,-20.441357945557684
being,existence,The girl questioned her X and Y when she went to her last therapy session.,-56.53098678588867,-56.175543785095215
radar,radio,The soldiers used X and Y to plan their next moves.,-61.746628761291504,-57.34873294830322
humility,pride,It is hard to have both X and Y when one is rich and famous.,-54.409549713134766,-54.12997055053711
pitch,volume,Musicians pride themselves on being able to adjust X and Y in order to produce art.,-51.60830354690552,-51.59141731262207
skirt,sweater,Clarissa chose the X and Y she would wear for her first day of school.,-54.65388774871826,-53.693077087402344
linen,silk,Betthany put her X and Y shirts into the wash and they all shrank.,-61.46080684661865,-59.46476459503174
checks,money,Graham disliked handling X and Y so he decided not to run for treasurer of the club.,-56.73160362243652,-56.13820266723633
calluses,corns,The grandmother had a lot of X and Y on her feet which made it difficult to walk.,-63.62798500061035,-60.417556285858154
action,motion,All of the X and Y in the 3D film made some viewers dizzy.,-50.55525350570679,-50.189173221588135
brain,intelligence,The committee admired the applicant's X and Y so much that they decided to award her the prize.,-56.74680280685425,-54.576541900634766
conduct,manners,"At a job interview, your X and Y can matter as much as your qualifications.",-60.218181133270264,-60.420281410217285
completeness,unity,I often feel a sense of X and Y after completing a tedious group project.,-57.93028736114502,-63.280577659606934
hostility,indifference,A lot of people feel X and Y from large bureaucratic institutions.,-58.70641899108887,-59.36845922470093
depth,force,The newspaper reported on the X and Y of the earthquake that had surprised the city the night before.,-54.27860975265503,-53.314358711242676
hours,miles,It takes many X and Y to drive between Los Angeles and Santa Barbara.,-58.525588035583496,-60.46512222290039
movements,speech,Natalie studied the X and Y of young children in her development psychology class.,-57.45709276199341,-57.78806686401367
schools,synagogues,There are some places that have X and Y within the same vicinity.,-59.223904609680176,-57.94069004058838
arrangers,composers,The work of many X and Y went into producing the soundtrack.,-56.15762996673584,-58.00179052352905
happiness,laughter,"When you are with the one you love, X and Y should be common occurences.",-55.3153395652771,-54.771220684051514
diagrams,sketches,The architect had many X and Y to show her client.,-56.93929719924927,-59.684693336486816
pail,shovel,Cassie's parents packed the X and Y in order to be able to build sand castles at the beach.,-11.854566728696227,-13.419455111026764
candies,cookies,Stephen's parents banned X and Y from the house because he kept getting cavities.,-52.80967330932617,-50.92711400985718
county,village,The nearby X and Y faced constant threats from their neighbhors.,-69.61910247802734,-71.44671630859375
charm,variety,Anthony missed the X and Y of living in a big city.,-62.93730926513672,-63.5736141204834
bouquets,wreaths,"At certain times of year, X and Y are often gifted to neighbors as tokens of appreciation.",-6.072404237755109,-7.798245260491967
beech,elm,"During the spring, X and Y trees can to cause some people severe allergies.",-52.43515348434448,-50.366610050201416
complexity,obscurity,The student found that the X and Y of her research topic made the project difficult.,-57.87135362625122,-57.8228759765625
devotion,effort,The intern was praised for her X and Y after the big event went off without a hitch.,-55.40792775154114,-55.493393778800964
alibis,excuses,The student was always full of X and Y for why she didn't come to class.,-59.154165267944336,-65.83049392700195
body,mind,She talked about the importance of keeping your X and Y super healthy and strong.,-56.75979995727539,-56.96148681640625
man,woman,He noticed that both the X and Y had green sneakers on.,-53.69497537612915,-52.86542510986328
law,order,There was a lack of X and Y that caused some chaos.,-56.145954608917236,-55.81858730316162
cause,effect,"Ryan was uncertain about the X and Y of inflation, so he did some research about it online.",-48.64675426483154,-51.50477695465088
radio,television,Tania wanted to work in both X and Y and couldn't decide which she liked more.,-61.843831062316895,-60.160449504852295
feet,hands,The child's X and Y were numb from playing in the snow.,-55.16229486465454,-54.97413396835327
money,time,The amount of X and Y required to fix up the old car made it quite the project.,-52.862202167510986,-53.66175317764282
blood,flesh,Although Rhonda was not Nick's X and Y he considered her part of his family.,-63.79279613494873,-57.79056692123413
god,man,The friends had a discussion about the relationship between X and Y after school last week.,-52.81677484512329,-52.80396747589111
brother,sister,Paul wants to spend time with his X and Y because he doesn't get to see them very often.,-48.785468101501465,-49.10293912887573
father,son,Eric enjoys going to the movies with his X and Y so much that he decided to make it a weekly tradition for them.,-22.626123815774918,-23.181248903274536
men,officers,Nicole's history textbook listed an estimate of the number of X and Y who died during the civil war.,-34.354248046875,-32.893046379089355
south,west,"The compass was broken, so it would only point to X and Y instead of all four directions.",-55.382994651794434,-53.526286602020264
error,trial,They dealt with a lot of X and Y before having a final product.,-53.872238636016846,-54.04751014709473
arts,crafts,Lilly enjoys doing X and Y to relax when she is stressed.,-53.54607534408569,-51.84450101852417
pressure,temperature,He learned about the relationship between X and Y in his science class.,-56.70344018936157,-56.62948989868164
days,nights,Finn spent many X and Y working on writing his novel.,-48.87262296676636,-49.49638032913208
land,sea,They had to travel across X and Y to get to their final destination.,-52.912813663482666,-52.845651149749756
north,west,The boat sailed X and Y to get to its destination.,-52.5840220451355,-53.38679361343384
spring,summer,Maddy said that X and Y are her favorite seasons.,-59.21264600753784,-59.18624496459961
magazines,newspapers,Anna has written articles for many X and Y throughout her career as a journalist.,-67.34808349609375,-64.6015682220459
hands,knees,Chris had to get on his X and Y to look for the button that fell off his shirt.,-41.25849103927612,-45.93988847732544
moon,sun,Rebecca got a X and Y tattooed on her left arm.,-51.59274101257324,-51.890353202819824
fathers,mothers,The community center had summer camps for X and Y to send their kids to while they worked.,-17.53976900014095,-14.476811207830906
city,county,The meeting had representatives from both the X and Y to discuss policy changes.,-56.78769779205322,-56.845401763916016
ears,eyes,"Cleo said that her X and Y were bothering her, so she stayed home from work.",-58.29350471496582,-59.85221767425537
college,school,Matt said that X and Y are not worth his time.,-56.15700578689575,-56.3794469833374
college,university,Carlos talked about X and Y with his school counselor.,-58.18799161911011,-58.89738130569458
dark,light,Johanna thought the contrast between X and Y colors in the painting made it interesting to look at.,-42.91809332370758,-43.243656873703
future,past,Jazmin wanted to talk about the X and Y of the company she was interviewing for.,-38.572933197021484,-36.619914054870605
evening,morning,Victor plans on spending tomorrow X and Y reading the new book he bought.,-60.58832931518555,-59.24231004714966
ice,snow,All of the X and Y outside made Luis want to stay in all day.,-58.73261594772339,-59.23321056365967
husbands,wives,The counselor met with many X and Y throughout his long career.,-60.07027292251587,-54.99049663543701
boys,men,There were a lot of X and Y at the park today.,-54.86567974090576,-54.93610858917236
bread,butter,Brent likes to eat X and Y for breakfast when he doesn't have a lot of time in the morning.,-13.765325187705457,-16.28873547911644
head,shoulders,The doctor looked at Ashley's X and Y because she said that both were bothering her.,-46.93208360671997,-46.604973793029785
rock,roll,He said he was ready to X and Y after getting off of work.,-55.634854316711426,-55.50869560241699
testament,will,Louis discussed his X and Y with his lawyer last week.,-56.72067451477051,-60.44458293914795
engineers,scientists,There were a good number of X and Y present at the conference.,-59.68212080001831,-58.49131631851196
man,wife,I learned that the X and Y got married after dating for 5 years.,-56.139596462249756,-52.650670528411865
arms,hands,Both Chelsea's X and Y are scraped up from falling off her bike.,-25.54112833738327,-27.39932405948639
math,science,Ricky discovered that X and Y are his favorite subjects in school.,-58.88458013534546,-61.417667388916016
son,wife,Roman lives with his X and Y in an apartment downtown.,-51.484232902526855,-49.46613645553589
fingers,thumb,Demi broke her X and Y when she fell while roller skating.,-57.56605863571167,-56.50397491455078
flesh,skin,Cory explained the difference between X and Y to his little brother.,-57.7624306678772,-54.835856914520264
life,religion,Jenny talked about X and Y with her brother and sister.,-57.224205017089844,-57.267741680145264
conscience,religion,Bree is reading a book about the relationship between X and Y in her book club.,-44.183359146118164,-45.01596188545227
pain,pressure,Jeremy felt X and Y in his chest that concerned him.,-56.22873497009277,-53.03822135925293
integrity,unity,India thought that there was a lack of X and Y amongst her friend group.,-60.925188064575195,-58.58096528053284
flowers,hearts,Craig drew X and Y on the card he was making for his mom.,-54.93715810775757,-53.794923305511475
grapefruit,oranges,Kyle liked to keep X and Y in a bowl on his kitchen counter.,-9.058205626904964,-6.858388319611549
folklore,legend,Mandy read about the X and Y surrounding King Arthur in her new book.,-51.66903901100159,-43.57315397262573
doctors,fathers,There were many X and Y in the same room.,-52.69485092163086,-54.03342914581299
contraction,dilation,Anna was confused about the difference between X and Y so she talked to her doctor about it.,-12.065995573997498,-14.224495530128479
ships,weapons,There are too many X and Y according to Jack's uncle.,-55.46335029602051,-55.13784074783325
funnels,masts,They noticed that the X and Y on the ship were broken.,-52.34328627586365,-52.160268783569336
law,sovereignty,They discussed both X and Y in their political science class.,-61.613505363464355,-47.269705295562744
assurance,dignity,Richard tried to portray X and Y at work but didn't know if he succeeded.,-18.791085483506322,-18.148906350135803
mr.,mrs.,The couple call each other X and Y Smith even though they aren't married.,-8.548063576221466,-11.857041865587234
bride,groom,I think that the X and Y are very excited about the upcoming wedding.,-22.76587438583374,-12.158475751057267
feet,legs,The soccer player injured their X and Y during a very intense game.,-53.644073486328125,-55.38383674621582
peace,quiet,The students reserved a spot in the library for some X and Y to study for their upcoming exams.,-9.48280093818903,-15.5235515832901
daughter,son,"With the holidays approaching, the X and Y needed to shop for presents for their parents.",-32.20424497127533,-30.54274606704712
ends,odds,"The new restaurant was almost ready for the grand opening, but had a few X and Y to deal with before the big night.",-24.3586765229702,-10.898105275817215
city,state,He liked his X and Y too much to move away.,-55.912877559661865,-55.94659948348999
facts,figures,Lauren needed to get her X and Y straight before her business plan presentation.,-58.25616693496704,-58.31926250457764
man,nature,Harry wanted to talk about how X and Y interact in today's society.,-54.536158084869385,-54.447998046875
prose,verse,They discussed differences between X and Y in her writing class.,-55.64461088180542,-54.97741222381592
body,head,"When drawing people, Suzanne struggles with sketching the X and Y because she can never get the proportions right.",-18.749810814857483,-18.03162395954132
command,control,The eldest sibling wanted to X and Y all of their younger siblings.,-52.96255588531494,-52.70303535461426
child,wife,Bill wanted to take his X and Y on a tropical vacation.,-55.914875984191895,-55.56229257583618
aunt,uncle,"Over the summer, Steve stayed with his X and Y at their vacation home near the beach.
",-54.56267261505127,-43.95760488510132
cattle,horses,"On the ranch, there are X and Y roaming around the green pastures.",-60.34024715423584,-60.429405212402344
politics,religion,The strangers wanted to avoid discussing X and Y to avoid starting an argument.,-59.56870937347412,-59.99868822097778
July,June,Max was planning to take off X and Y from work so he could travel through Asia.,-51.57622051239014,-55.940019607543945
sailors,soldiers,"The little boy thought X and Y were cool, so he liked to dress up as them for Halloween.",-20.35693860054016,-14.652953997254372
English,German,The school held classes in both X and Y so the students could be bilingual.,-54.750511169433594,-54.754730224609375
food,shelter,The stray dog searched for X and Y while running through the streets.,-59.48387813568115,-58.62561368942261
sights,sounds,"While traveling, Kim wanted to experience the X and Y of the city she was visiting.",-46.759976387023926,-45.62241542339325
comings,goings,The school newspaper reported on the X and Y of the student body.,-50.14628887176514,-51.44003248214722
heir,son,The king's X and Y went missing after the battle.,-56.15367031097412,-54.35342741012573
coat,hat,"Once she stepped through the door, she designated a spot for her X and Y to be safely put away.",-46.76727628707886,-50.59841299057007
crime,punishment,The jury needed to consider the X and Y before coming to a final decision.,-61.12819051742554,-60.89571762084961
earth,sky,Talking about the X and Y was one of Randy's favorite things to do.,-51.86497259140015,-53.426809310913086
faith,love,He wrote songs about X and Y that he hoped to record for his next album.,-55.980587005615234,-56.013153076171875
mother,son,Jack spent more time with his X and Y than any other family member.,-57.99507999420166,-58.73560619354248
cents,dollars,The boy brought his X and Y to the store to buy an ice cream cone.,-55.02830219268799,-51.23514366149902
turns,twists,The movie had many different X and Y that left the audience on the edge of their seats.,-58.782697677612305,-57.17935276031494
fire,police,Both the X and Y departments put on a barbeque for the community.,-59.02950572967529,-58.90205669403076
months,years,"After many tiring X and Y, the author finally published their book.",-49.76768350601196,-50.04520130157471
editor,publisher,"In order to finalize all the details, the X and Y wanted to have a meeting with the author of the book.",-23.26059090346098,-24.17238140106201
aunts,uncles,The family reunion had all the X and Y together in one room.,-53.026122093200684,-46.55760049819946
research,training,The surgeon had to do a lot of X and Y before attempting the risky procedure.,-50.6613792181015,-49.99943506717682
eyes,hair,"In order to make your X and Y stand out, you should choose an appropriate outfit.",-49.660171031951904,-48.61878299713135
methods,principles,She didn't agree with the company's X and Y so she made her opinion known.,-54.05808162689209,-53.45329666137695
city,country,Her love for her X and Y made her want to get into politics.,-56.481255531311035,-56.455159187316895
bread,cheese,Xavier brought X and Y to the potluck at the beach.,-54.208383083343506,-53.17536783218384
location,size,The couple told the realtor that X and Y are the most important criteria for picking a house.,-36.80037808418274,-36.37149924039841
childhood,infancy,The students watched a video on X and Y in their human development class.,-51.9946551322937,-52.39836645126343
morning,night,Kevin worked both X and Y shifts as an ER nurse.,-57.074782371520996,-57.141608238220215
council,governor,She wanted to meet with both the X and Y to discuss some ideas she had.,-55.833136558532715,-55.85872411727905
age,day,Amanda said that in this X and Y you need to be tech-savy.,-42.477627754211426,-43.584228515625
body,face,"After visiting many stores, Ann finally found a X and Y sunscreen that worked well for her skin.",-36.323673248291016,-36.13081407546997
hair,skin,The doctor recommended X and Y supplements to some of her patients.,-56.47910785675049,-56.24593687057495
nitrogen,oxygen,The atmosphere is composed of X and Y as well as other elements.,-54.25237035751343,-55.59367656707764
piano,violin,Alex loved to play the X and Y so they took lessons for both instruments.,-51.03589725494385,-57.465511322021484
ceiling,walls,The painter finished painting the X and Y of all of the bedrooms.,-49.4088134765625,-48.52001190185547
color,texture,Sarah was known for the X and Y she used in her paintings.,-54.65947914123535,-54.568535804748535
everybody,everything,Noah loved X and Y in his college town.,-59.81825828552246,-59.94323396682739
bacon,eggs,"On the days Lilly doesn't have work, she makes X and Y for breakfast and reads the paper.",-7.551622837781906,-8.252527472563088
paper,pen,"Even though most people use computers, I prefer to use X and Y to take my notes in class.",-34.523595094680786,-37.13466715812683
concrete,steel,The company got a new shipment of X and Y for an upcoming project.,-55.48485612869263,-53.864283084869385
color,light,Rob used a lot of X and Y to make his photographs pop.,-55.78518724441528,-55.82615566253662
friends,relations,Ciara had many X and Y so she was rarely lonely.,-53.79691171646118,-53.41173458099365
boots,shoes,My suitcase was full of X and Y which made it exceed the weight limit.,-46.572484850883484,-44.23292589187622
hearing,sight,His grandma lost her X and Y so she needed to live in a nursing home.,-50.10497283935547,-48.126441955566406
expense,time,He said that the X and Y of maintaining the property was too much.,-53.702898025512695,-59.35321569442749
flowers,plants,All of the X and Y in the Arboretum made it a popular spot for walks.,-32.79280483722687,-27.494694590568542
beauty,truth,I decided that X and Y would be the major themes of the poem I was writing.,-30.632563710212708,-33.08849573135376
bone,flesh,"After a hard fall, you could see the X and Y of the basketball player's leg.",-22.437419295310974,-16.743500351905823
doubts,fears,"She wanted to be a pop star, but her X and Y got in the way of her dream.",-6.787786290049553,-10.790690032066777
light,sound,The exhibit used X and Y to create an attention-grabbing experience.,-52.37168073654175,-52.56900882720947
beauty,youth,The serum promised X and Y to everyone who used it.,-54.386598110198975,-53.96934509277344
fiction,poetry,Maddy liked to read X and Y in her spare time.,-59.835944175720215,-59.83729410171509
needle,thread,He needed a X and Y to fix the hole in his shirt.,-50.44449710845947,-47.809616565704346
back,shoulders,Anthony got his X and Y adjusted by the chiropractor.,-54.51081037521362,-54.941165924072266
crime,violence,The frequent X and Y in the neighborhood had people worried.,-62.60581827163696,-64.32422065734863
force,violence,They didn't like how he used X and Y to get his way.,-56.319448947906494,-56.862792015075684
eggs,ham,All she wanted to eat was X and Y but she didn't have either item in her refrigerator.,-20.50183653831482,-18.2779620885849
bone,muscle,The doctor studied the X and Y of the patient's injured leg.,-53.617979526519775,-48.8511438369751
debate,discussion,"During class, there was X and Y surrounding the controversial current event.",-64.52304744720459,-64.52196216583252
errors,omissions,Rebecca went over the X and Y that occurred in the paper.,-61.267436027526855,-62.51785850524902
brother,mother,Last week my X and Y came to visit me in my new apartment.,-52.88582706451416,-52.60120439529419
face,figure,The model's X and Y was highlighted in the magazine spread.,-53.028486251831055,-53.22427320480347
chairs,table,The event planner fixed the X and Y to accommodate all of the wedding guests.,-46.03670683503151,-34.21345240622759
ammunition,guns,The old man kept X and Y locked away in his basement in case of a zombie invasion.,-11.81764401961118,-6.894408389925957
Concord,Lexington,He used to live in both X and Y when he was a teenager.,-50.484241008758545,-45.89578104019165
ice,water,The kids went all over town to find X and Y since their air conditioner was broken.,-43.01189947128296,-48.239295959472656
fun,games,Sally promised that there would be X and Y at her birthday party.,-53.71374034881592,-54.6932430267334
breakfast,dinner,Molly decided that X and Y are her favorite meals of the day.,-58.15143585205078,-57.91166973114014
comfort,ease,"Her parents liked the X and Y of flying, so they flew to their friend's wedding.",-38.36030316352844,-33.37503790855408
father,uncle,She took her X and Y out to dinner to celebrate their birthdays.,-54.38506603240967,-53.986239433288574
health,spirits,In order to improve their X and Y the couple decided to go for long daily walks.,-51.46104145050049,-46.028674483299255
names,numbers,The host asked for both the X and Y of the people who wanted to make reservations.,-39.805108070373535,-40.73821794986725
rights,wrongs,She considered the X and Y of the situation before moving forward.,-47.56114912033081,-47.774139404296875
crannies,nooks,He made sure to dust all of the X and Y throughout the old house.,-53.60551691055298,-57.46894693374634
power,resources,The business had the X and Y to create a multi-million dollar company.,-52.47049045562744,-53.199461936950684
flame,smoke,"He noticed the X and Y coming from his neighbor's house, so he called the fire department.",-40.170616149902344,-30.79066777229309
faith,life,He wanted to write a book about X and Y using many personal stories.,-59.917898178100586,-60.02897834777832
wisdom,wit,Clare believed she gained a lot of X and Y throughout her time in college.,-59.24565076828003,-54.874921798706055
novelist,poet,Lydia is a successful X and Y and is praised for her writing style.,-55.03148651123047,-53.21074628829956
Arizona,California,The high school students visited both X and Y to tour colleges before they applied.,-56.65026092529297,-57.0463490486145
crops,livestock,All of the X and Y needed a lot of water to survive.,-56.49625778198242,-60.66058540344238
glass,steel,The architect wanted the building to have a lot of X and Y to make it look sleek and modern.,-24.07254672050476,-23.86590588092804
bar,grill,We went to a X and Y in the city last night.,-52.06836128234863,-51.800474643707275
influence,prestige,The doctor's X and Y made her popular with patients.,-60.85744762420654,-60.64852809906006
cotton,tobacco,The company has sold X and Y for almost twenty years.,-47.863816261291504,-50.88555288314819
church,community,Tim has said that his X and Y are very important to him.,-57.22023057937622,-56.866281032562256
courage,hope,It took X and Y to overcome what she had been through.,-58.75143480300903,-59.14001131057739
teaching,writing,He has discovered that X and Y are what he wants to do for a career.,-58.200324058532715,-58.24669599533081
gin,tonic,"After a long day of work, he had a X and Y to unwind and celebrate the weekend.",-7.695947994798189,-16.211924113333225
brush,trees,Amanda loved all the X and Y that surrounded her house.,-56.78802299499512,-56.517690658569336
pad,pencil,Antonio brought his X and Y to sketch the statues in the park.,-52.62650680541992,-52.86248779296875
chair,table,They noticed that the X and Y were knocked over after the earthquake.,-56.466596603393555,-57.20352745056152
houses,shops,"The town is pretty small, so the X and Y are really close to each other.",-40.850165367126465,-49.31342124938965
libraries,museums,The amount of time he spent in X and Y surpassed the amount of time he spent at home.,-21.28667936939746,-20.645839450880885
flames,smoke,"Down the street, you could see the X and Y from the house that was on fire.",-18.04659205675125,-27.716713309288025
guidance,information,She got a lot of X and Y from her older sister about the college admissions process.,-43.16041374206543,-41.321765422821045
stress,tension,"In order to get rid of X and Y after his exam, Zack went for a run.",-24.014252226799726,-26.06933903694153
days,years,It had been X and Y since Molly had seen her cousins.,-59.01380157470703,-59.932854652404785
actions,feelings,He was confused because her X and Y were not matching up.,-59.72738170623779,-59.78515911102295
energy,money,Alice said that all of the X and Y that her car needed made her want to sell it.,-33.025150299072266,-36.68260049819946
anguish,pain,His injury caused him a lot of X and Y and a long recovery.,-48.819395542144775,-55.25288534164429
colors,forms,They read a whole chapter on X and Y in her art class.,-55.406404972076416,-55.75861167907715
meaning,origin,Michael was confused about both the X and Y of the folk tale he had just heard.,-44.001635789871216,-43.06599426269531
freedom,security,Mary searched for X and Y in her next job opportunity.,-55.128315925598145,-55.393550395965576
gratitude,joy,David felt X and Y when his kids made him breakfast in bed.,-53.9706506729126,-55.299964427948
mamma,papa,Antonio wants to spend a lot of time with his X and Y while they are in town.,-17.91239631175995,-16.217753648757935
length,weight,She took note of the X and Y of the bed before trying to bring it into the small room.,-24.31224900484085,-25.113012671470642
anger,hatred,Michelle felt a lot of X and Y towards her brother when he crashed her car.,-21.530253816395998,-23.489577412605286
aircraft,ships,The new X and Y ended up being extremely expensive.,-59.46250057220459,-58.1436071395874
sidewalks,streets,All of the X and Y were so busy that Mike decided not to leave his house.,-40.58884835243225,-30.245060607790947
democracy,liberty,Jade's brother talked about X and Y while they ate dinner on the fourth of July.,-21.847383856773376,-18.899774070829153
iron,wood,The company purchased X and Y for their latest construction project.,-56.29654026031494,-57.41481971740723
horses,wagons,"Instead of a car, they used X and Y to move their belongings to a new town.",-10.186939332343172,-13.026064135250635
clarity,precision,Devin tried to achieve X and Y in everything he did.,-54.51776123046875,-53.68296670913696
flowers,herbs,Dan grew X and Y in his own backyard.,-54.94229173660278,-55.342297077178955
confusion,fear,They felt X and Y about what they would do after graduating.,-58.09686279296875,-58.44097185134888
jaws,teeth,Teddy was surprised at how large the X and Y of the crocodiles he saw at the swamp were.,-12.329052865505219,-12.288217842578888
counties,towns,Fred drove through many X and Y to move to his new house.,-50.083805084228516,-48.35863637924194
bodies,faces,Grant wrote a poem about how everyone's X and Y are beautiful and unique.,-52.7527494430542,-53.20814561843872
ability,desire,Maddie had both the X and Y to play college-level soccer.,-53.31343936920166,-53.489686012268066
chest,stomach,Tom felt pain in both his X and Y so he decided to stay home from school.,-56.84240198135376,-52.115352630615234
Illinois,Missouri,Sam argues that X and Y are the best states to live in.,-59.82736873626709,-59.56659507751465
jams,jellies,Jake started making X and Y with all the fruit he was growing in his garden.,-65.04501247406006,-59.711575508117676
Tories,Whigs,Luke didn't know the difference between the X and Y so he asked his political science professor about them.,-17.95511768758297,-10.685533307492733
dogs,men,Her grandma joked that X and Y had a lot in common.,-53.12244462966919,-52.99952697753906
