binom,Alpha Probs,Nonalpha Probs,ProbAandB
Thursday and Tuesday,-70.96566009521484,-70.27166885137558,0.3331457901098995
barley and oats,-68.99734055995941,-68.61169075965881,0.4047649598774646
beauty and dignity,-53.948050916194916,-54.064539566636086,0.5290892758802993
boats and ships,-56.80797564983368,-57.45319622755051,0.6559326240056257
misery and pain,-61.7804513919109,-60.36973616294563,0.19612127049104638
bones and skulls,-42.195162030053325,-43.69148891151417,0.8170260044260338
dairy and poultry,-70.27697846153751,-68.00108893075958,0.09313956203774724
being and existence,-76.24141192436218,-74.64788293838501,0.16888797246616294
radar and radio,-46.41764634847641,-45.37870818376541,0.261354927706994
humility and pride,-51.95086459815502,-50.171619296073914,0.1443963490115392
pitch and volume,-69.03470172174275,-69.20851525408216,0.5433443145469758
skirt and sweater,-59.89667385816574,-61.16490191221237,0.7804392690957324
linen and silk,-85.64578127115965,-85.99743451550603,0.5870184288716396
checks and money,-81.20278871140908,-79.52724935580045,0.1576870355904858
calluses and corns,-66.70443727076054,-71.77047277987003,0.9937321574661464
action and motion,-66.86838964745402,-65.95250920765102,0.2857980261512926
brain and intelligence,-73.82608470320702,-78.17982721328735,0.9873046454920242
conduct and manners,-58.306206449866295,-58.17383253574371,0.46695476128820723
completeness and unity,-62.72657123627141,-63.7666836027056,0.7388716866816247
hostility and indifference,-60.85156513750553,-59.478359550237656,0.20210242926779468
depth and force,-71.99804205447435,-75.37588407844305,0.9670048210922311
hours and miles,-47.499920692294836,-47.52369271218777,0.5059427251186159
movements and speech,-75.45482528209686,-75.80520428717136,0.5867094836424023
schools and synagogues,-55.500400904449634,-53.73485656874254,0.14609730986435457
arrangers and composers,-55.661155556794256,-54.457109309732914,0.23075619385505056
happiness and laughter,-69.44435048103333,-69.5934270620346,0.5372002763795429
diagrams and sketches,-53.588326930999756,-54.00857591629028,0.6035428283225162
pail and shovel,-87.3871892048046,-90.33304638788104,0.9500673217102806
candies and cookies,-68.25712388753891,-68.98392852023244,0.6741036799320735
county and village,-74.72002232074738,-75.04620659351349,0.5808306630218265
charm and variety,-57.6746943295002,-57.85039001703262,0.5438112790513946
bouquets and wreaths,-70.91191173682455,-73.18221064250974,0.9063871528357659
beech and elm,-81.82729002833366,-80.68922877311707,0.24267649467603614
complexity and obscurity,-73.81789328157902,-74.85510168969631,0.7383110075083077
devotion and effort,-73.92862907098606,-74.66638107865583,0.6765040867493877
alibis and excuses,-69.33819842923549,-63.80302773785661,0.003930029042110702
body and mind,-48.1401980407536,-49.10651307925582,0.7243843978236967
man and woman,-46.47124794125557,-49.94632163643837,0.9699701582820531
law and order,-42.31046055071056,-46.977175045758486,0.990684482060943
cause and effect,-68.1301089823246,-74.9617769420147,0.9989221063159824
radio and television,-69.23946482958854,-70.60147573615541,0.7960863283491608
feet and hands,-44.48991438746452,-40.64328819513321,0.020905288978662513
money and time,-65.53847132623196,-65.40903347730637,0.46768564182723493
blood and flesh,-73.00476161018014,-68.35239652916789,0.009448881667217614
god and man,-60.52805681526661,-62.58614608645439,0.8867624461986898
brother and sister,-56.272805567015894,-57.87120988237439,0.8317952480277556
father and son,-74.88085263967514,-75.7474574893713,0.7040387470893928
men and officers,-87.0863861842081,-82.9728897549212,0.016087467838107685
south and west,-68.27571576833725,-69.57630145549774,0.7859335367309103
error and trial,-60.67108366265893,-47.69723007280845,2.320202921247361e-6
arts and crafts,-61.85767638683319,-69.87892964482307,0.9996716996319109
pressure and temperature,-53.76174384355545,-52.38933841884136,0.20223149186793
days and nights,-51.419284254312515,-51.22850853204727,0.45245019810682124
land and sea,-37.64605963975191,-41.58696645498276,0.9809397647535277
north and west,-40.33443999290466,-42.57706069946289,0.9040121089513792
spring and summer,-46.489667266607285,-48.691248536109924,0.9003914195580488
magazines and newspapers,-43.244008004665375,-41.53069567680359,0.15273458502438295
hands and knees,-58.535633552179206,-66.0541582107544,0.9994573616294916
moon and sun,-55.22540448606014,-54.89154163748026,0.4173010305085536
fathers and mothers,-69.79488624632359,-68.95064996182919,0.30064332435225133
city and county,-55.038617581129074,-57.51199382543564,0.922254191687521
ears and eyes,-64.90550398826599,-64.03543746471405,0.2952404600230349
college and school,-45.59455156326294,-44.99207964539528,0.3537783617582797
college and university,-55.121771812438965,-54.33578819036484,0.3130317135621636
dark and light,-71.45913854241371,-71.1927020996809,0.433782151439037
future and past,-67.8989597260952,-62.340250730514526,0.0038389540307632343
evening and morning,-72.36636364459991,-68.67430448532104,0.024314695988320346
ice and snow,-70.13150845840573,-70.14818778075278,0.5041697339189497
husbands and wives,-50.05360919237137,-52.64394134283066,0.9302367755454795
boys and men,-37.36369497328997,-35.770631086081266,0.16895326602752891
bread and butter,-65.75657281032181,-68.81427951873047,0.9551140834034825
head and shoulders,-75.55422165989876,-76.11727648973465,0.6371590738999416
rock and roll,-48.93079696595669,-59.03140890598297,0.9999589472607053
testament and will,-56.75637185573578,-50.1345397233963,0.0013292209802136079
engineers and scientists,-36.7511716298759,-34.92123917862773,0.1382463203474441
man and wife,-55.69138765335083,-61.413366347551346,0.9967374512914638
arms and hands,-71.02908119931817,-71.95327883958817,0.7158966312306035
math and science,-53.598589926958084,-55.36918729543686,0.8545319439344599
son and wife,-40.355969190597534,-36.3793568611145,0.018403990183909945
fingers and thumb,-64.7103933095932,-62.465648889541626,0.09580376552560822
flesh and skin,-58.376103550195694,-58.49407958984375,0.5294598484722293
life and religion,-50.51601356267929,-50.81907540559769,0.575190838611578
conscience and religion,-75.77316548675299,-76.64395370706916,0.7049096837769456
pain and pressure,-45.26960760354996,-46.2822800129652,0.7335428182738645
integrity and unity,-63.14136717701331,-63.491773108486086,0.5867160127796713
flowers and hearts,-65.83684223890305,-65.14002478122711,0.3325182157293945
grapefruit and oranges,-59.601229667663574,-56.02083623409271,0.027109338687761934
folklore and legend,-65.30397810041904,-66.16780668497086,0.703459934241347
doctors and fathers,-41.89774203300476,-41.24332308769226,0.341994430144542
contraction and dilation,-64.46470971778035,-59.96889439225197,0.011032507440246897
ships and weapons,-59.383181971497834,-59.17571464460343,0.4483184116506266
funnels and masts,-53.95191791653633,-56.97708611935377,0.9536982781968844
law and sovereignty,-58.33641171455383,-55.85324549674988,0.07704674892536305
assurance and dignity,-74.49921699782135,-75.97876032005297,0.8145035923188437
mr. and mrs.,-70.73694334342144,-73.01905238383915,0.907384438598508
bride and groom,-43.544778879731894,-49.821176648139954,0.9981233671858522
feet and legs,-62.44390606880188,-62.09235644340515,0.4130066914681228
peace and quiet,-69.10650557279587,-76.05001336336136,0.9990360510338459
daughter and son,-60.14546820521355,-58.618554174900055,0.17844564873581484
ends and odds,-100.80251932889223,-82.00340507505462,6.849335061574797e-9
city and state,-44.83511704206467,-44.82121795415878,0.4965252839618309
facts and figures,-79.72557133436203,-87.87824940681458,0.999712119758991
man and nature,-48.37382234679535,-50.52860061544925,0.8961144445875412
prose and verse,-55.42429208755493,-57.040130734443665,0.8342204285142691
body and head,-97.65115867555141,-95.32484576106071,0.08896705605435383
command and control,-57.651554226875305,-59.72075712680817,0.887873631437214
child and wife,-46.098760545253754,-41.34534430503845,0.00854848272543477
aunt and uncle,-63.67371794581413,-67.65629363059998,0.981703430695845
cattle and horses,-55.59396408451721,-55.18838812736794,0.39997339652505953
politics and religion,-61.11106461286545,-61.712046802043915,0.645880983470127
July and June,-73.80379366874695,-70.62596297264099,0.04000856923441804
sailors and soldiers,-77.82751476764679,-76.89254522323608,0.28191759020710166
English and German,-51.323207303881645,-53.060354724526405,0.8503243723053258
food and shelter,-55.588740825653076,-56.11318254470825,0.6281858008424688
sights and sounds,-50.64709396660328,-57.55047430098057,0.9989966232474402
comings and goings,-42.39368286768149,-55.99585704258061,0.9999987622005756
heir and son,-48.773741722106934,-43.92612850666046,0.0077859872159859785
coat and hat,-73.55075693130493,-74.86456662416458,0.788149957065384
crime and punishment,-55.02568116784096,-60.55692119896412,0.9960545540171076
earth and sky,-51.71767137944698,-49.99552866816521,0.15159537474335866
faith and love,-59.90563243627548,-59.276006281375885,0.3475953108804567
mother and son,-36.05343297123909,-37.09002348780632,0.7381916084241621
cents and dollars,-64.62954920530319,-61.314657628536224,0.03506383888081952
turns and twists,-56.83226761966944,-47.7879481613636,1.1804584274368186e-4
fire and police,-59.51762218400836,-54.80284440331161,0.008882255833647346
months and years,-58.11687922477722,-60.25316405296326,0.8943801733112419
editor and publisher,-71.14375168830156,-71.8157686367631,0.6619546404859945
aunts and uncles,-51.82067820429393,-60.27590435743332,0.9997872598129627
research and training,-58.04967863857746,-56.83671624958515,0.22917731011178027
eyes and hair,-54.657177321612835,-56.00886143557727,0.7944048238391387
methods and principles,-59.878922220203094,-59.78944098565262,0.47764460580653056
city and country,-46.08608902990818,-46.96942875534296,0.7075138159091889
bread and cheese,-60.49642288684845,-63.694504380226135,0.9607620165408156
location and size,-72.26992864906788,-71.45379017293453,0.3065839684808099
childhood and infancy,-71.15878236293793,-68.80090141296387,0.08644138775593198
morning and night,-45.916229985654354,-43.79198461771011,0.10676253754934222
council and governor,-57.43696442246437,-54.99799120426178,0.08024866506678852
age and day,-80.31806963682175,-63.66445418749936,5.853649050480675e-8
body and face,-89.9709036052227,-85.72857895493507,0.014170450122328695
hair and skin,-51.560524851083755,-50.45756086707115,0.24918494512677292
nitrogen and oxygen,-39.684336215257645,-40.38994066417217,0.6694291772427235
piano and violin,-65.55455154180527,-63.93796533346176,0.16567621202883412
ceiling and walls,-52.21918460726738,-49.788883954286575,0.08089111152914738
color and texture,-46.198939979076385,-46.8979212641716,0.6679618712742782
everybody and everything,-50.60199820995331,-50.723453760147095,0.5303266165784515
bacon and eggs,-88.06643732998054,-89.19473620841745,0.7555248265234461
paper and pen,-75.0981193780899,-71.00828859210014,0.01646638500148466
concrete and steel,-58.24614977836609,-57.32293373346329,0.2843030564230978
color and light,-53.167022842913866,-53.70345998927951,0.6309832186377154
friends and relations,-61.599668979644775,-64.69686859846115,0.9567770841713331
boots and shoes,-61.824807941913605,-61.25846937298775,0.36208210948428
hearing and sight,-62.90174160152674,-59.5864251293242,0.03504946565274177
expense and time,-49.23683428764343,-44.65899300575256,0.010172514124205426
flowers and plants,-65.86331618769327,-66.43211856433481,0.6384867839096834
beauty and truth,-63.47508108615875,-59.39400202035904,0.01660872266713231
bone and flesh,-69.13428920507431,-67.21383392810822,0.1278108056261151
doubts and fears,-54.709971825941466,-53.23873663175618,0.18675494313129273
light and sound,-49.49208233226091,-51.63188490644097,0.8947120139355075
beauty and youth,-58.14319348335266,-60.09141719341278,0.8752528262737503
fiction and poetry,-50.45814601215534,-51.11793570336886,0.6592131439175372
needle and thread,-41.0142617225647,-53.03085482120514,0.9999939569345003
back and shoulders,-51.325232058763504,-50.766098633408546,0.3637479920697511
crime and violence,-52.21293771266937,-52.47949707508087,0.5662480392562272
force and violence,-41.63639220013283,-42.86378058209084,0.7733611531843888
eggs and ham,-70.14727667509578,-68.43946579302428,0.15344787004778043
bone and muscle,-47.74757343530655,-48.865727961063385,0.7536462394944269
debate and discussion,-59.156416177749634,-57.05017685890198,0.10849186986246785
errors and omissions,-56.03873875923455,-58.30340164899826,0.9059078432601951
brother and mother,-43.07803392410278,-41.318522572517395,0.14685155012687096
face and figure,-59.118146538734436,-62.91132068634033,0.9779721611229074
chairs and table,-68.9762165248394,-65.81622862815857,0.04069952611963387
ammunition and guns,-73.9099428653717,-68.01982444524765,0.0027590158220867455
Concord and Lexington,-48.00236922502518,-44.36576794087887,0.025665642841352327
ice and water,-73.21503114700317,-71.87186700105667,0.2069901974715342
fun and games,-51.94324378296733,-60.24951761588454,0.9997530984206666
breakfast and dinner,-51.72627903521061,-55.06323454529047,0.9656750703723331
comfort and ease,-66.35954603552818,-66.67530891299248,0.578291287276771
father and uncle,-41.977947652339935,-44.284663796424866,0.909431741788375
health and spirits,-67.90451328456402,-70.3635940104723,0.9212229758284343
names and numbers,-62.26693791151047,-63.33948540687561,0.7450810770572339
rights and wrongs,-46.738075748085976,-57.02193242311478,0.9999658207169049
crannies and nooks,-73.24826311226934,-59.69058287257212,1.294117536860285e-6
power and resources,-47.65400620549917,-49.974253583699465,0.9105400933574552
flame and smoke,-55.0395176038146,-53.8014447465539,0.22477161094854028
faith and life,-54.52068164944649,-54.31239092350006,0.4481147698528287
wisdom and wit,-66.76156568527222,-69.58415660262108,0.9438844564130641
novelist and poet,-62.06433203816414,-61.38984054327011,0.33749185064944476
Arizona and California,-73.10257184505463,-73.42725038528442,0.5804640231817226
crops and livestock,-43.65421540290117,-46.91836800426245,0.9631783497028505
glass and steel,-54.69509744644165,-55.92031115293503,0.772979763237791
bar and grill,-44.89600729942322,-47.21998429298401,0.9108434311989833
influence and prestige,-54.11879348754883,-53.0815407037735,0.26168041885627247
cotton and tobacco,-48.128992311656475,-47.29148007929325,0.30205899516669604
church and community,-44.17744195461273,-45.513925999403,0.7919111492694836
courage and hope,-44.00873810052872,-44.69402277469635,0.6649171594513772
teaching and writing,-59.84941923618317,-59.03502410650253,0.3069547118368993
gin and tonic,-62.54236143454909,-77.10758094489574,0.9999995274961694
brush and trees,-57.257711201906204,-50.67207609117031,0.001378148689322788
pad and pencil,-72.4558294415474,-72.12209850549698,0.4173331068252359
chair and table,-51.06606715917587,-51.30340135097504,0.5590565985387619
houses and shops,-53.33925937023014,-54.455828331410885,0.7533517395125857
libraries and museums,-56.88946050405502,-56.07655970752239,0.30727269825425463
flames and smoke,-49.63953859359026,-50.23893344402313,0.6455178453414675
guidance and information,-57.31742303073406,-55.59857304394245,0.15201935192953747
stress and tension,-75.20829742122442,-76.63089691568166,0.8057456116984855
days and years,-48.994314163923264,-50.528501108288765,0.8226180884382588
actions and feelings,-54.02448379993439,-51.793113112449646,0.09696854952270688
energy and money,-70.09500614926219,-68.91103235632181,0.23433845009540005
anguish and pain,-49.011348612606525,-48.475229516625404,0.3690908403786738
colors and forms,-63.832754015922546,-64.72657573223114,0.7096782105890886
meaning and origin,-61.4626436419785,-61.57298982143402,0.5275585871158754
freedom and security,-54.1332101225853,-57.28537309169769,0.958993864260494
gratitude and joy,-60.62309741973877,-60.21240305900574,0.3987456381659075
mamma and papa,-69.32567302882671,-68.90361674129963,0.39602480344574675
length and weight,-64.56132578849792,-66.87772631645203,0.9102262458561855
anger and hatred,-54.483459770679474,-54.785190880298615,0.5748656463129193
aircraft and ships,-46.94168761372566,-43.61195683479309,0.034565213191274716
sidewalks and streets,-61.31760369474068,-59.9509450616315,0.20316023097442623
democracy and liberty,-80.83719301223755,-78.56953424215317,0.09383710177876986
iron and wood,-56.55653762817383,-55.752694606781006,0.3092040600708773
horses and wagons,-64.80889912229031,-65.04851758480072,0.5596196232095626
clarity and precision,-57.63988792896271,-57.58891895413399,0.48726051409842763
flowers and herbs,-43.05408573150635,-42.966896414756775,0.4782164688896161
confusion and fear,-47.14159297943115,-45.241852045059204,0.1301377982877823
jaws and teeth,-79.89662021398544,-81.49140045046806,0.8312875863347091
counties and towns,-54.309351086616516,-54.7744756937027,0.6142291690576481
bodies and faces,-62.711589992046356,-59.38505017757416,0.034671855433761396
ability and desire,-54.09332285821438,-56.17704899609089,0.8893113543119837
chest and stomach,-58.29406384378672,-60.0454036667943,0.8521217131300642
Illinois and Missouri,-45.87690398097038,-45.72897532582283,0.46308512867092805
jams and jellies,-72.33986282348633,-66.85976040363312,0.004151595101616873
Tories and Whigs,-72.58768672635779,-72.12001059227623,0.3851664187801754
dogs and men,-49.541622337768786,-50.93875372063485,0.8017282877176214
discussion and thought,-49.728708531707525,-47.36638554930687,0.08609124747676226
distress and pain,-51.45105352718383,-49.760611531324685,0.15571772221197497
mouth and nostrils,-66.70679890364408,-67.8405654579401,0.7565333333484616
cakes and pies,-74.55644404888153,-75.90324848890305,0.7936067021926247
adventure and romance,-51.867850840091705,-52.03520607948303,0.5417414315719136
agreements and contracts,-62.34502390213311,-63.01429751329124,0.6613404895127926
crime and poverty,-48.31438321992755,-47.67614743113518,0.3456454505542146
cousins and uncles,-59.18489848548779,-55.77184584736824,0.03189001846339019
fire and light,-67.44947564322501,-69.59059312567115,0.8948358172112236
child and husband,-43.198330104351044,-36.441284477710724,0.0011613088275429543
vinegar and water,-59.253452718257904,-57.71280598640442,0.17644127866673137
fork and spoon,-63.47621077299118,-58.41705247759819,0.006310823421583099
Burma and India,-55.27607388421893,-54.5113540366292,0.31762241449403456
fruit and nuts,-62.52215236797929,-68.48432248458266,0.9974322907707538
ability and strength,-37.44564884155989,-36.69991956651211,0.32175258163339354
agencies and individuals,-31.14801549911499,-34.101250529289246,0.9504161624757852
coffee and sandwiches,-55.08092423900962,-51.919878631830215,0.04065824990575333
coffee and toast,-56.18125295639038,-57.026248931884766,0.699516381739339
anger and anxiety,-44.34927028417587,-46.9241863489151,0.9292296686011979
apprehension and fear,-59.48707719147205,-57.569928385317326,0.12817984895354875
figures and words,-53.37635862827301,-48.797489047050476,0.010162165356664966
blood and guts,-51.42155885696411,-56.7166690826416,0.9950089738476141
action and character,-66.98800462018698,-68.05839097127318,0.7446703821774826
diamonds and rubies,-75.70591862872243,-82.32436180114746,0.9986662727196547
plans and projects,-47.59683704376221,-47.30422353744507,0.4273641581838813
jacket and trousers,-58.812518775463104,-59.21187710762024,0.5985334827600626
kind and quantity,-60.417955696582794,-56.512082517147064,0.01972641347432379
family and neighborhood,-59.85077661275864,-61.75540405511856,0.8704143649113054
nights and weekends,-64.1402794867754,-64.76926285028458,0.6522589072328034
labor and money,-65.91348300874233,-64.70007140934467,0.22909796447012726
shower and tub,-62.117308259010315,-61.49845802783966,0.35004299353968404
aggression and hostility,-61.058301240205765,-61.517239816486835,0.6127623467450952
information and material,-43.977336049079895,-41.5905944108963,0.08418931626506022
despair and rage,-72.28062976896763,-71.97920064628124,0.42520815949235385
improvements and land,-81.630273612216115,-73.45453074853867,2.8131817848453896e-4
landings and takeoffs,-68.44370019435883,-60.51162862032652,3.5891299541506593e-4
novels and tales,-56.41119846882066,-59.55487283633556,0.9586587494542028
corruption and crime,-61.6079438328743,-61.25374085083604,0.4123635812976794
anthropology and psychology,-60.51018612086773,-59.799890369176865,0.3295334931724644
lecturer and writer,-52.03468903899193,-50.36452901363373,0.15840284447690414
fog and mist,-68.14068094268441,-68.84781689755619,0.6697680019600488
field and stream,-58.78851127624512,-57.109835386276245,0.15727088249802385
dates and events,-61.16472136974335,-64.22289651632309,0.9551341616155614
belly and chest,-60.215145260095596,-60.87294006347656,0.6587648477866277
pain and shame,-46.55512362718582,-44.95864552259445,0.16847442407236074
doorways and windows,-57.77601480484009,-57.528776466846466,0.4385033545651869
history and identity,-68.27763147093356,-68.52615031599998,0.561811904664715
anger and indignation,-57.43369251489639,-58.33956903219223,0.71215563009044
cream and peaches,-53.92476154118776,-53.00618038326502,0.2852470813375826
classmates and friends,-40.8381926715374,-41.008579075336456,0.5424938455579196
movements and positions,-63.23709982261062,-60.92835941910744,0.09040166689837842
barrels and boxes,-56.26813419163227,-55.5117523483932,0.31943232212978434
costumes and masks,-67.58385281264782,-68.1433767080307,0.6363423717048645
attractions and repulsions,-57.20541089773178,-56.07002276182175,0.24316811074345415
effort and resources,-40.09811779856682,-42.27435365319252,0.8980950922535403
ability and age,-59.11221891641617,-56.714724481105804,0.08336395797805117
editing and publishing,-54.961628153920174,-51.76991410553455,0.039478731229851065
cysts and tumors,-62.26302546262741,-64.90375223755836,0.9334371348139247
dirt and sweat,-55.049865648150444,-54.53125347942114,0.3731768122775599
dreams and plans,-40.34818810224533,-41.74792417883873,0.8021420045597103
farms and fields,-57.280656933784485,-57.81986913084984,0.631629135672204
cause and consequence,-57.1233306810027,-63.46421038953122,0.998240350975215
choice and decision,-63.13533037900925,-63.43995763361454,0.575573296129286
confusion and turmoil,-74.18447667360306,-72.72463482618332,0.1884915154303882
magic and superstition,-45.25021393597126,-46.097111880779266,0.699916011011787
machinery and power,-72.18347349378746,-72.11384716245811,0.48260044576743
education and skill,-44.027066349983215,-43.62602198123932,0.4010614449559288
forms and materials,-53.81721122865565,-54.63428600481711,0.6936150437109717
length and quality,-49.65618171542883,-50.41863967478275,0.6818871453257117
inclination and time,-62.47708363831043,-53.97040216624737,2.020725907289314e-4
help and understanding,-66.55482466518879,-68.15663570165634,0.8322713502815315
closets and drawers,-53.6510253995657,-51.80440326035023,0.13626998457989006
friends and partners,-39.58521213941276,-41.984308399260044,0.9167583628360847
receivers and senders,-66.77117030322552,-60.19031339883804,0.0013847403852147915
authority and force,-60.7645006775856,-62.028578996658325,0.779727368719614
trees and underbrush,-53.180475890636444,-53.31886160373688,0.5345413219253057
bacon and coffee,-68.19527950882912,-70.71313352882862,0.92538401345901
december and may,-79.03284430503845,-72.08400440216064,9.588276760472276e-4
grains and seeds,-84.05491457879543,-85.20475992560387,0.7594826677783689
beauty and color,-59.97925017774105,-59.189663499593735,0.31225742452297967
legs and torso,-65.43973970413208,-65.10169529914856,0.4162845925477075
transportation and utilities,-68.28020691918209,-70.53465926926583,0.9050338943561528
hardships and trials,-61.306406896561384,-61.3769424110651,0.5176265711690632
science and tactics,-66.76986755384132,-66.68693219078705,0.47927803548827513
neighborhood and school,-69.75928682088852,-70.17470371723175,0.6023860349526297
irony and satire,-55.847750978544354,-57.360850289464,0.8195200704359766
kitchen and pantry,-55.30963443397195,-55.00721797920414,0.42496686726703314
astronomy and geology,-64.391509287059307,-65.96641838550568,0.8284823133568081
feet and heads,-56.62041223049164,-54.69860363006592,0.12766001959071727
snow and water,-72.80912624299526,-71.80551154911518,0.2682313232695507
back and hips,-63.15912268310785,-54.561396691948175,1.8449088507985572e-4
bombers and missiles,-41.701061975676566,-42.96719244401902,0.7800796283550546
argument and debate,-57.709003269672394,-57.790785998106,0.520434293958529
doubts and suspicions,-49.28662571310997,-50.35351277887821,0.7440044711957766
laborers and servants,-72.88901317119598,-71.59362757205963,0.21494263733475652
arms and faces,-73.57244837284088,-70.28133392333984,0.035877277019871374
chrome and glass,-59.542287707328796,-60.71834188699722,0.7642375932086924
paris and washington,-74.86309164762497,-76.6071460545063,0.8512013185985557
arm and back,-60.60695695877075,-59.675523579120636,0.2826340033560017
emotion and meaning,-55.635587602853775,-54.307582311332226,0.20948950480213757
bushes and vines,-61.83735266327858,-61.33355778455734,0.37664927352875927
authority and independence,-68.73371762037277,-69.03301614522934,0.5742710264342799
crises and problems,-54.49928832054138,-54.753490567207336,0.5632105453165321
bathrobe and slippers,-71.11058016121387,-70.59765589237213,0.37450825923951775
generalists and specialists,-55.933531671762466,-56.76655274629593,0.6969933409548374
boredom and loneliness,-69.58751821517944,-71.16306048631668,0.8285722680848304
excitement and fatigue,-57.468403921462595,-55.3936762381345,0.11157753153098637
fun and pleasure,-62.52578613907099,-61.627462446689606,0.2893951008825303
individualism and socialism,-64.58820706605911,-60.83398649096489,0.022882811004428287
fields and homes,-59.32327127456665,-59.940194338560104,0.6495184244632983
certainty and security,-64.50950932502747,-65.0188199877739,0.624644863826781
artist and critic,-49.429531037807465,-51.98906037211418,0.9282111011290831
20s and 30s,-53.43642401549732,-56.5503239328973,0.9574624756213982
brick and glass,-55.58165521919727,-54.369147554039955,0.22925764927531922
dentist and doctor,-54.13335424661636,-50.93162798881531,0.03910081231566408
bourbon and water,-84.12946537137032,-81.58418607711792,0.07274426740971392
cuts and wounds,-49.90670585632324,-48.147964119911194,0.146947998474905
palm and pine,-50.48641395568848,-47.566585183143616,0.051182015497137995
fish and vegetable,-50.86270821094513,-53.54245561361313,0.935820954244889
initials and names,-68.42566899955273,-66.8634027838707,0.1733217002894434
fury and pain,-59.40169984102249,-58.43369001150131,0.2752773630746014
gentleness and sweetness,-62.03834283351898,-61.44184925593436,0.35514631706670285
experiences and reactions,-61.130156964063644,-61.727319821715355,0.6450069448570785
bitterness and disappointment,-65.63589309365489,-67.09089627780486,0.8107672348851411
comedy and satire,-63.61971986293793,-65.62011256814003,0.8808383033396465
enthusiasm and warmth,-61.46799450740218,-62.528373116627336,0.7427628913691359
body and breath,-50.95935279130936,-55.42656433582306,0.9886509976570658
beauty and brains,-61.29976385831833,-56.07067060470581,0.005329822569636924
