WordA,WordB,Sentence,reading_times_alpha,reading_times_nonalpha
chairs,sofas,The hoarder had many X and Y in their living room.,-25.4686574010193,-23.1239850865677
characters,situations,Cheryl considered the X and Y in the novel she was writing.,-21.709396600723267,-26.677010416984558
joy,pleasure,Tucking yourself into bed provides a great sense of X and Y at the end of a long day.,-24.536674857139587,-26.279416739940643
Thursday,Tuesday,Don's manager scheduled him for work on X and Y every week for the next month.,-22.80942165851593,-21.31922799348831
barley,oats,Susanne prepared X and Y for breakfast everyday for a week.,-33.59409761428833,-33.97951364517212
beauty,dignity,The girl had both X and Y but was lacking intelligence.,-28.29583464935422,-26.043560061603785
boats,ships,The pier was full of X and Y ready to take off on an adventure.,-20.565146684646606,-19.994859218597412
misery,pain,The people experienced X and Y after they were shipwrecked for months.,-20.96774709224701,-20.141697883605957
bones,skulls,Scientists study the X and Y of long-extinct animal species.,-25.516233066344284,-25.02718996143085
dairy,poultry,You will often find X and Y close to each other in the refrigerated aisle of the grocery store.,-29.72598147392273,-29.2169948220253
being,existence,The girl questioned her X and Y when she went to her last therapy session.,-35.70864510536194,-28.867165625095367
radar,radio,The soldiers used X and Y to plan their next moves.,-24.86635184288025,-24.2453556060791
humility,pride,It is hard to have both X and Y when one is rich and famous.,-17.68949345499277,-17.518796265125275
pitch,volume,Musicians pride themselves on being able to adjust X and Y in order to produce art.,-15.548325762152672,-17.290873887948692
skirt,sweater,Clarissa chose the X and Y she would wear for her first day of school.,-21.79825296998024,-22.272621989250183
linen,silk,Betthany put her X and Y shirts into the wash and they all shrank.,-29.816117882728577,-30.564294517040253
checks,money,Graham disliked handling X and Y so he decided not to run for treasurer of the club.,-23.991313934326172,-27.030686855316162
calluses,corns,The grandmother had a lot of X and Y on her feet which made it difficult to walk.,-23.50611975044012,-22.155533351004124
action,motion,All of the X and Y in the 3D film made some viewers dizzy.,-29.827619791030884,-29.348805487155914
brain,intelligence,The committee admired the applicant's X and Y so much that they decided to award her the prize.,-25.041406869888306,-25.337251633405685
conduct,manners,"At a job interview, your X and Y can matter as much as your qualifications.",-26.729224681854248,-27.25990629196167
completeness,unity,I often feel a sense of X and Y after completing a tedious group project.,-23.344331877771765,-28.057909600436687
hostility,indifference,A lot of people feel X and Y from large bureaucratic institutions.,-41.692612171173096,-40.836559772491455
depth,force,The newspaper reported on the X and Y of the earthquake that had surprised the city the night before.,-26.2421670332551,-35.992230992764235
hours,miles,It takes many X and Y to drive between Los Angeles and Santa Barbara.,-17.681697368621826,-19.671046674251556
movements,speech,Natalie studied the X and Y of young children in her development psychology class.,-23.55659580230713,-22.808390997350216
schools,synagogues,There are some places that have X and Y within the same vicinity.,-30.949615449608245,-31.04053451109212
arrangers,composers,The work of many X and Y went into producing the soundtrack.,-28.94249910558574,-25.290613614022732
happiness,laughter,"When you are with the one you love, X and Y should be common occurences.",-27.030650734901428,-26.59654724597931
diagrams,sketches,The architect had many X and Y to show her client.,-22.143310070037842,-20.46320140361786
pail,shovel,Cassie's parents packed the X and Y in order to be able to build sand castles at the beach.,-25.486572682857513,-20.212135680019855
candies,cookies,Stephen's parents banned X and Y from the house because he kept getting cavities.,-20.729569107294083,-13.084971392992884
county,village,The nearby X and Y faced constant threats from their neighbhors.,-37.8524272441864,-35.91606545448303
charm,variety,Anthony missed the X and Y of living in a big city.,-33.86006620526314,-33.09291857481003
bouquets,wreaths,"At certain times of year, X and Y are often gifted to neighbors as tokens of appreciation.",-30.81501381378621,-30.041582387610106
beech,elm,"During the spring, X and Y trees can to cause some people severe allergies.",-34.7445132243447,-34.973018965218216
complexity,obscurity,The student found that the X and Y of her research topic made the project difficult.,-29.72275983542204,-30.15011791884899
devotion,effort,The intern was praised for her X and Y after the big event went off without a hitch.,-28.30475389957428,-28.039812803268433
alibis,excuses,The student was always full of X and Y for why she didn't come to class.,-21.302277278213296,-19.605587685946375
body,mind,She talked about the importance of keeping your X and Y super healthy and strong.,-18.636465430259705,-19.624035477638245
man,woman,He noticed that both the X and Y had green sneakers on.,-23.015010684728622,-26.41617426276207
law,order,There was a lack of X and Y that caused some chaos.,-23.377425510436296,-28.36029553413391
cause,effect,"Ryan was uncertain about the X and Y of inflation, so he did some research about it online.",-27.464089691638947,-32.47964475303888
radio,television,Tania wanted to work in both X and Y and couldn't decide which she liked more.,-21.902941022184677,-22.481358873366844
feet,hands,The child's X and Y were numb from playing in the snow.,-21.53428840637207,-19.432208478450775
money,time,The amount of X and Y required to fix up the old car made it quite the project.,-18.147149831056595,-16.581641763448715
blood,flesh,Although Rhonda was not Nick's X and Y he considered her part of his family.,-27.898291051387787,-19.65277586923912
god,man,The friends had a discussion about the relationship between X and Y after school last week.,-26.24743254482746,-27.590050645172596
brother,sister,Paul wants to spend time with his X and Y because he doesn't get to see them very often.,-18.194990038871765,-20.243322908878326
father,son,Eric enjoys going to the movies with his X and Y so much that he decided to make it a weekly tradition for them.,-17.697254478931427,-19.482400000095367
men,officers,Nicole's history textbook listed an estimate of the number of X and Y who died during the civil war.,-21.76334011554718,-18.996145844459534
south,west,"The compass was broken, so it would only point to X and Y instead of all four directions.",-21.39627242088318,-22.645191982388496
error,trial,They dealt with a lot of X and Y before having a final product.,-37.23513174057007,-21.604435995221138
arts,crafts,Lilly enjoys doing X and Y to relax when she is stressed.,-20.022694863379,-27.122694969177246
pressure,temperature,He learned about the relationship between X and Y in his science class.,-22.59686589241028,-22.260981500148773
days,nights,Finn spent many X and Y working on writing his novel.,-17.26995227485895,-20.097519636154175
land,sea,They had to travel across X and Y to get to their final destination.,-10.563995361328125,-13.786813616752625
north,west,The boat sailed X and Y to get to its destination.,-19.749783277511597,-21.306793332099915
spring,summer,Maddy said that X and Y are her favorite seasons.,-21.02082823216915,-23.72907331585884
magazines,newspapers,Anna has written articles for many X and Y throughout her career as a journalist.,-11.191832304000854,-11.198306754231453
hands,knees,Chris had to get on his X and Y to look for the button that fell off his shirt.,-10.73774627642706,-21.240438103675842
moon,sun,Rebecca got a X and Y tattooed on her left arm.,-22.772645816206932,-23.081649765372276
fathers,mothers,The community center had summer camps for X and Y to send their kids to while they worked.,-26.358112171292305,-25.32216463238001
city,county,The meeting had representatives from both the X and Y to discuss policy changes.,-20.947672307491302,-24.191502898931503
ears,eyes,"Cleo said that her X and Y were bothering her, so she stayed home from work.",-23.780713081359863,-24.119545362889767
college,school,Matt said that X and Y are not worth his time.,-30.41272473335266,-28.644234895706177
college,university,Carlos talked about X and Y with his school counselor.,-33.0316104888916,-32.80576205253601
dark,light,Johanna thought the contrast between X and Y colors in the painting made it interesting to look at.,-16.788648948073387,-16.705495953559875
future,past,Jazmin wanted to talk about the X and Y of the company she was interviewing for.,-23.141998529434204,-18.423145353794098
evening,morning,Victor plans on spending tomorrow X and Y reading the new book he bought.,-22.562390327453613,-21.943060517311096
ice,snow,All of the X and Y outside made Luis want to stay in all day.,-36.88427048921585,-37.34276109933853
husbands,wives,The counselor met with many X and Y throughout his long career.,-22.783171132206917,-25.362658858299255
boys,men,There were a lot of X and Y at the park today.,-22.916033506393433,-21.260622680187225
bread,butter,Brent likes to eat X and Y for breakfast when he doesn't have a lot of time in the morning.,-21.776931017637253,-25.404516264796257
head,shoulders,The doctor looked at Ashley's X and Y because she said that both were bothering her.,-25.30180537700653,-28.230704426765442
rock,roll,He said he was ready to X and Y after getting off of work.,-22.814433492720127,-33.122289180755615
testament,will,Louis discussed his X and Y with his lawyer last week.,-35.93602240085602,-23.984873056411743
engineers,scientists,There were a good number of X and Y present at the conference.,-19.711216241121292,-18.903874412178993
man,wife,I learned that the X and Y got married after dating for 5 years.,-26.577035188674927,-33.46322274208069
arms,hands,Both Chelsea's X and Y are scraped up from falling off her bike.,-32.35001425817609,-29.299266738817096
math,science,Ricky discovered that X and Y are his favorite subjects in school.,-24.87064790725708,-26.591691970825195
son,wife,Roman lives with his X and Y in an apartment downtown.,-15.060710668563843,-10.362321019172668
fingers,thumb,Demi broke her X and Y when she fell while roller skating.,-19.26990407705307,-19.44398820400238
flesh,skin,Cory explained the difference between X and Y to his little brother.,-28.937008559703827,-28.368029832839966
life,religion,Jenny talked about X and Y with her brother and sister.,-24.611774921417236,-24.43939173221588
conscience,religion,Bree is reading a book about the relationship between X and Y in her book club.,-22.44351726025343,-24.556107990443707
pain,pressure,Jeremy felt X and Y in his chest that concerned him.,-20.832346826791763,-24.211844339966774
integrity,unity,India thought that there was a lack of X and Y amongst her friend group.,-35.90437579154968,-32.7922739982605
flowers,hearts,Craig drew X and Y on the card he was making for his mom.,-29.776775598526,-29.381412982940674
grapefruit,oranges,Kyle liked to keep X and Y in a bowl on his kitchen counter.,-29.411949336528778,-15.53526085615158
folklore,legend,Mandy read about the X and Y surrounding King Arthur in her new book.,-28.438738465309143,-30.353100419044495
doctors,fathers,There were many X and Y in the same room.,-27.49313348531723,-27.50335466861725
contraction,dilation,Anna was confused about the difference between X and Y so she talked to her doctor about it.,-32.40920927003026,-28.676354721188545
ships,weapons,There are too many X and Y according to Jack's uncle.,-34.378324813209474,-34.558256645686924
funnels,masts,They noticed that the X and Y on the ship were broken.,-29.938120424747467,-31.12166793923825
law,sovereignty,They discussed both X and Y in their political science class.,-31.581988871097565,-31.157523602247238
assurance,dignity,Richard tried to portray X and Y at work but didn't know if he succeeded.,-36.995615005493164,-34.49523103237152
mr.,mrs.,The couple call each other X and Y Smith even though they aren't married.,-27.92984375357628,-29.101009845733643
bride,groom,I think that the X and Y are very excited about the upcoming wedding.,-20.787886798381805,-26.224026322364807
feet,legs,The soccer player injured their X and Y during a very intense game.,-22.59567928314209,-23.830141305923462
peace,quiet,The students reserved a spot in the library for some X and Y to study for their upcoming exams.,-17.281047604978085,-26.247235774993896
daughter,son,"With the holidays approaching, the X and Y needed to shop for presents for their parents.",-31.44014620780945,-30.34905445575714
ends,odds,"The new restaurant was almost ready for the grand opening, but had a few X and Y to deal with before the big night.",-30.7897073503118,-15.098664859309793
city,state,He liked his X and Y too much to move away.,-21.790267288684845,-22.626111268997192
facts,figures,Lauren needed to get her X and Y straight before her business plan presentation.,-20.794707715511322,-27.47099006175995
man,nature,Harry wanted to talk about how X and Y interact in today's society.,-36.45849800109863,-36.631003618240356
prose,verse,They discussed differences between X and Y in her writing class.,-26.69620618224144,-35.48946714401245
body,head,"When drawing people, Suzanne struggles with sketching the X and Y because she can never get the proportions right.",-20.768219470977783,-17.676461338996887
command,control,The eldest sibling wanted to X and Y all of their younger siblings.,-23.15702509880066,-23.67165470123291
child,wife,Bill wanted to take his X and Y on a tropical vacation.,-24.503095984458923,-19.72852325439453
aunt,uncle,"Over the summer, Steve stayed with his X and Y at their vacation home near the beach.
",-14.675865828990936,-16.84608429670334
cattle,horses,"On the ranch, there are X and Y roaming around the green pastures.",-17.9931458234787,-18.404354691505432
politics,religion,The strangers wanted to avoid discussing X and Y to avoid starting an argument.,-21.17931765317917,-21.657846957445145
July,June,Max was planning to take off X and Y from work so he could travel through Asia.,-39.92572021484375,-38.6514048576355
sailors,soldiers,"The little boy thought X and Y were cool, so he liked to dress up as them for Halloween.",-28.560724020004272,-27.96088683605194
English,German,The school held classes in both X and Y so the students could be bilingual.,-13.82838011905551,-14.69882158190012
food,shelter,The stray dog searched for X and Y while running through the streets.,-17.470863819122314,-21.12073564529419
sights,sounds,"While traveling, Kim wanted to experience the X and Y of the city she was visiting.",-9.824742250144482,-14.259904727339745
comings,goings,The school newspaper reported on the X and Y of the student body.,-17.411138299732556,-22.35115055701681
heir,son,The king's X and Y went missing after the battle.,-29.647276639938354,-23.399229645729065
coat,hat,"Once she stepped through the door, she designated a spot for her X and Y to be safely put away.",-24.732171177864075,-24.912050008773804
crime,punishment,The jury needed to consider the X and Y before coming to a final decision.,-23.12920944392681,-27.813891604542732
earth,sky,Talking about the X and Y was one of Randy's favorite things to do.,-27.77983495593071,-26.64826911687851
faith,love,He wrote songs about X and Y that he hoped to record for his next album.,-21.771031618118286,-20.26125967502594
mother,son,Jack spent more time with his X and Y than any other family member.,-16.125818014144897,-16.01582145690918
cents,dollars,The boy brought his X and Y to the store to buy an ice cream cone.,-27.05117553472519,-25.185589909553528
turns,twists,The movie had many different X and Y that left the audience on the edge of their seats.,-19.25314450263977,-12.372126065194607
fire,police,Both the X and Y departments put on a barbeque for the community.,-21.099793076515198,-20.93259620666504
months,years,"After many tiring X and Y, the author finally published their book.",-21.391242146492004,-24.249780535697937
editor,publisher,"In order to finalize all the details, the X and Y wanted to have a meeting with the author of the book.",-25.299996703863144,-25.14589849114418
aunts,uncles,The family reunion had all the X and Y together in one room.,-18.33053886128073,-24.233210639096797
research,training,The surgeon had to do a lot of X and Y before attempting the risky procedure.,-23.511041164398193,-23.253365635871887
eyes,hair,"In order to make your X and Y stand out, you should choose an appropriate outfit.",-17.480915438383818,-20.717293594032526
methods,principles,She didn't agree with the company's X and Y so she made her opinion known.,-25.553895086050034,-26.382688730955124
city,country,Her love for her X and Y made her want to get into politics.,-18.905679941177368,-21.665487736463547
bread,cheese,Xavier brought X and Y to the potluck at the beach.,-25.14889359474182,-26.858543753623962
location,size,The couple told the realtor that X and Y are the most important criteria for picking a house.,-25.89025914669037,-25.32576835155487
childhood,infancy,The students watched a video on X and Y in their human development class.,-37.9197678565979,-35.22035109996796
morning,night,Kevin worked both X and Y shifts as an ER nurse.,-16.714861690998077,-17.009000062942505
council,governor,She wanted to meet with both the X and Y to discuss some ideas she had.,-23.52873146533966,-18.94883158802986
age,day,Amanda said that in this X and Y you need to be tech-savy.,-24.313775062561035,-10.967408037744462
body,face,"After visiting many stores, Ann finally found a X and Y sunscreen that worked well for her skin.",-37.15520179271698,-31.10996499657631
hair,skin,The doctor recommended X and Y supplements to some of her patients.,-32.283442735672,-30.788092255592346
nitrogen,oxygen,The atmosphere is composed of X and Y as well as other elements.,-11.082632511854172,-11.463914427906275
piano,violin,Alex loved to play the X and Y so they took lessons for both instruments.,-22.309423565864563,-21.831538796424866
ceiling,walls,The painter finished painting the X and Y of all of the bedrooms.,-20.38616418838501,-19.3092742562294
color,texture,Sarah was known for the X and Y she used in her paintings.,-20.172105312347412,-22.71305799484253
everybody,everything,Noah loved X and Y in his college town.,-26.11991447210312,-24.817399263381958
bacon,eggs,"On the days Lilly doesn't have work, she makes X and Y for breakfast and reads the paper.",-14.221035808324814,-18.341742634773254
paper,pen,"Even though most people use computers, I prefer to use X and Y to take my notes in class.",-17.218243956565857,-16.392862568609416
concrete,steel,The company got a new shipment of X and Y for an upcoming project.,-25.198410272598267,-23.88843297958374
color,light,Rob used a lot of X and Y to make his photographs pop.,-19.592878103256226,-19.16308343410492
friends,relations,Ciara had many X and Y so she was rarely lonely.,-22.569310069084167,-23.955378890037537
boots,shoes,My suitcase was full of X and Y which made it exceed the weight limit.,-23.84948492050171,-22.718756198883057
hearing,sight,His grandma lost her X and Y so she needed to live in a nursing home.,-23.235071778297424,-21.513013422489166
expense,time,He said that the X and Y of maintaining the property was too much.,-24.102946281433105,-22.621639847755432
flowers,plants,All of the X and Y in the Arboretum made it a popular spot for walks.,-24.87043124437332,-24.117473483085632
beauty,truth,I decided that X and Y would be the major themes of the poem I was writing.,-23.65423822402954,-20.652170538902283
bone,flesh,"After a hard fall, you could see the X and Y of the basketball player's leg.",-26.31692123413086,-23.03968369960785
doubts,fears,"She wanted to be a pop star, but her X and Y got in the way of her dream.",-19.152709394693375,-17.874568611383438
light,sound,The exhibit used X and Y to create an attention-grabbing experience.,-14.576047480106354,-16.815226137638092
beauty,youth,The serum promised X and Y to everyone who used it.,-24.24532401561737,-24.89272928237915
fiction,poetry,Maddy liked to read X and Y in her spare time.,-15.808298945426941,-17.160996079444885
needle,thread,He needed a X and Y to fix the hole in his shirt.,-15.98049783706665,-26.78917682170868
back,shoulders,Anthony got his X and Y adjusted by the chiropractor.,-30.254726767539978,-28.411669731140137
crime,violence,The frequent X and Y in the neighborhood had people worried.,-19.675816893577576,-19.683749079704285
force,violence,They didn't like how he used X and Y to get his way.,-17.417834162712097,-17.201725244522095
eggs,ham,All she wanted to eat was X and Y but she didn't have either item in her refrigerator.,-22.012792706489563,-20.321885585784912
bone,muscle,The doctor studied the X and Y of the patient's injured leg.,-21.787418842315674,-20.311405301094055
debate,discussion,"During class, there was X and Y surrounding the controversial current event.",-25.33237761259079,-22.83281034231186
errors,omissions,Rebecca went over the X and Y that occurred in the paper.,-27.23879437148571,-26.396735906600952
brother,mother,Last week my X and Y came to visit me in my new apartment.,-16.306634545326233,-15.59377807378769
face,figure,The model's X and Y was highlighted in the magazine spread.,-28.68505346775055,-33.72755682468414
chairs,table,The event planner fixed the X and Y to accommodate all of the wedding guests.,-24.434539437294006,-23.923777103424072
ammunition,guns,The old man kept X and Y locked away in his basement in case of a zombie invasion.,-30.324718832969666,-24.52706003189087
Concord,Lexington,He used to live in both X and Y when he was a teenager.,-20.96832737326622,-18.88786692917347
ice,water,The kids went all over town to find X and Y since their air conditioner was broken.,-33.48937129974365,-31.188481211662292
fun,games,Sally promised that there would be X and Y at her birthday party.,-15.976287603378296,-22.243401050567627
breakfast,dinner,Molly decided that X and Y are her favorite meals of the day.,-26.346461296081543,-28.533000707626343
comfort,ease,"Her parents liked the X and Y of flying, so they flew to their friend's wedding.",-25.289992839097977,-24.069234669208527
father,uncle,She took her X and Y out to dinner to celebrate their birthdays.,-18.52095925807953,-20.096112847328186
health,spirits,In order to improve their X and Y the couple decided to go for long daily walks.,-28.656313180923462,-29.84416890144348
names,numbers,The host asked for both the X and Y of the people who wanted to make reservations.,-11.843971401453018,-14.226616889238358
rights,wrongs,She considered the X and Y of the situation before moving forward.,-14.526728559285402,-29.544701099395752
crannies,nooks,He made sure to dust all of the X and Y throughout the old house.,-32.06633098423481,-14.278612989466637
power,resources,The business had the X and Y to create a multi-million dollar company.,-17.131948187947273,-17.901583433151245
flame,smoke,"He noticed the X and Y coming from his neighbor's house, so he called the fire department.",-23.61846387386322,-18.61537104845047
faith,life,He wanted to write a book about X and Y using many personal stories.,-37.03243958950043,-35.542542457580566
wisdom,wit,Clare believed she gained a lot of X and Y throughout her time in college.,-25.02155375480652,-23.916956543922424
novelist,poet,Lydia is a successful X and Y and is praised for her writing style.,-24.75002348423004,-25.29097008705139
Arizona,California,The high school students visited both X and Y to tour colleges before they applied.,-24.201656460762024,-24.86039525270462
crops,livestock,All of the X and Y needed a lot of water to survive.,-28.075982570648193,-31.54437017440796
glass,steel,The architect wanted the building to have a lot of X and Y to make it look sleek and modern.,-13.016607612371445,-13.56111940741539
bar,grill,We went to a X and Y in the city last night.,-24.516032218933105,-26.21711504459381
influence,prestige,The doctor's X and Y made her popular with patients.,-30.44898509979248,-30.943644523620605
cotton,tobacco,The company has sold X and Y for almost twenty years.,-32.865756034851074,-35.65006613731384
church,community,Tim has said that his X and Y are very important to him.,-26.12882113456726,-27.453116536140442
courage,hope,It took X and Y to overcome what she had been through.,-27.678372144699097,-25.36569106578827
teaching,writing,He has discovered that X and Y are what he wants to do for a career.,-25.3859760761261,-25.676236867904663
gin,tonic,"After a long day of work, he had a X and Y to unwind and celebrate the weekend.",-18.237587409414118,-34.80327324155951
brush,trees,Amanda loved all the X and Y that surrounded her house.,-33.52983069419861,-22.28519231081009
pad,pencil,Antonio brought his X and Y to sketch the statues in the park.,-20.152290761470795,-23.18367087841034
chair,table,They noticed that the X and Y were knocked over after the earthquake.,-22.28958222270012,-22.598788738250732
houses,shops,"The town is pretty small, so the X and Y are really close to each other.",-18.461206793785095,-19.117268323898315
libraries,museums,The amount of time he spent in X and Y surpassed the amount of time he spent at home.,-26.47592306137085,-27.26883578300476
flames,smoke,"Down the street, you could see the X and Y from the house that was on fire.",-15.438721895217896,-14.604636430740356
guidance,information,She got a lot of X and Y from her older sister about the college admissions process.,-24.02941870689392,-22.18430668115616
stress,tension,"In order to get rid of X and Y after his exam, Zack went for a run.",-33.3913676738739,-34.795811891555786
days,years,It had been X and Y since Molly had seen her cousins.,-27.001456648111343,-26.583484202623367
actions,feelings,He was confused because her X and Y were not matching up.,-23.49142748117447,-23.22838258743286
energy,money,Alice said that all of the X and Y that her car needed made her want to sell it.,-29.517183542251587,-31.402613162994385
anguish,pain,His injury caused him a lot of X and Y and a long recovery.,-19.848426342010498,-19.245418787002563
colors,forms,They read a whole chapter on X and Y in her art class.,-34.81713855266571,-38.60499668121338
meaning,origin,Michael was confused about both the X and Y of the folk tale he had just heard.,-20.053282633423805,-20.42488084360957
freedom,security,Mary searched for X and Y in her next job opportunity.,-27.870763063430786,-28.367303490638733
gratitude,joy,David felt X and Y when his kids made him breakfast in bed.,-29.36715865135193,-27.20218777656555
mamma,papa,Antonio wants to spend a lot of time with his X and Y while they are in town.,-27.362747363746166,-19.32057124376297
length,weight,She took note of the X and Y of the bed before trying to bring it into the small room.,-20.00918298959732,-21.10709023475647
anger,hatred,Michelle felt a lot of X and Y towards her brother when he crashed her car.,-17.492594957351685,-18.97678053379059
aircraft,ships,The new X and Y ended up being extremely expensive.,-33.80981707572937,-29.149522066116333
sidewalks,streets,All of the X and Y were so busy that Mike decided not to leave his house.,-28.861042499542236,-26.51032018661499
democracy,liberty,Jade's brother talked about X and Y while they ate dinner on the fourth of July.,-31.05368137359619,-30.943588972091675
iron,wood,The company purchased X and Y for their latest construction project.,-34.182427167892456,-32.59646654129028
horses,wagons,"Instead of a car, they used X and Y to move their belongings to a new town.",-17.437779110856354,-19.312156915664673
clarity,precision,Devin tried to achieve X and Y in everything he did.,-23.246142625808716,-25.972367987036705
flowers,herbs,Dan grew X and Y in his own backyard.,-27.55292284488678,-27.30474281311035
confusion,fear,They felt X and Y about what they would do after graduating.,-22.221455574035645,-21.70001721382141
jaws,teeth,Teddy was surprised at how large the X and Y of the crocodiles he saw at the swamp were.,-21.82212209701538,-22.683997333049774
counties,towns,Fred drove through many X and Y to move to his new house.,-24.57702946662903,-23.706298351287842
bodies,faces,Grant wrote a poem about how everyone's X and Y are beautiful and unique.,-18.688279390335083,-17.814740300178528
ability,desire,Maddie had both the X and Y to play college-level soccer.,-16.376279391348362,-17.81338282674551
chest,stomach,Tom felt pain in both his X and Y so he decided to stay home from school.,-18.331845439970493,-18.24308332800865
Illinois,Missouri,Sam argues that X and Y are the best states to live in.,-27.37527024745941,-26.954726219177246
jams,jellies,Jake started making X and Y with all the fruit he was growing in his garden.,-25.32786973565817,-26.59664398431778
Tories,Whigs,Luke didn't know the difference between the X and Y so he asked his political science professor about them.,-30.65078714489937,-28.045529633760452
dogs,men,Her grandma joked that X and Y had a lot in common.,-25.36875283718109,-25.438339352607727
