WordA,WordB,Sentence,reading_times_alpha,reading_times_nonalpha,rt_AandB
action,motion,All of the X and Y in the 3D film made some viewers dizzy.,-30.152223646640778,-28.983385682106018,0.2370650918697297
brain,intelligence,The committee admired the applicant's X and Y so much that they decided to award her the prize.,-23.391861736774445,-27.700652331113815,0.9867286905050177
conduct,manners,"At a job interview, your X and Y can matter as much as your qualifications.",-32.15229249000549,-31.602836966514587,0.3659907409242301
completeness,unity,I often feel a sense of X and Y after completing a tedious group project.,-26.825884458143264,-29.06697135232389,0.9038789310837084
hostility,indifference,A lot of people feel X and Y from large bureaucratic institutions.,-42.357653856277466,-41.06604027748108,0.2155798210938859
depth,force,The newspaper reported on the X and Y of the earthquake that had surprised the city the night before.,-28.449945278465748,-32.10770695656538,0.9748582356179569
hours,miles,It takes many X and Y to drive between Los Angeles and Santa Barbara.,-22.548425376415253,-23.013242781162262,0.614156374388179
movements,speech,Natalie studied the X and Y of young children in her development psychology class.,-25.775094032287598,-26.403939500451088,0.6522276295364803
schools,synagogues,There are some places that have X and Y within the same vicinity.,-31.89872527483385,-30.224383913446218,0.157846220641509
arrangers,composers,The work of many X and Y went into producing the soundtrack.,-32.877140854950994,-31.70553419739008,0.23656469615819145
happiness,laughter,"When you are with the one you love, X and Y should be common occurences.",-29.7799072265625,-29.848426163196564,0.5171230355166366
diagrams,sketches,The architect had many X and Y to show her client.,-24.948983430862427,-25.66098976135254,0.6708443338437798
pail,shovel,Cassie's parents packed the X and Y in order to be able to build sand castles at the beach.,-27.558887742459774,-24.668721713125706,0.052641837825367216
candies,cookies,Stephen's parents banned X and Y from the house because he kept getting cavities.,-21.92255812883377,-15.37598242238164,0.0014329647933631476
county,village,The nearby X and Y faced constant threats from their neighbhors.,-35.133538484573364,-35.885881185531616,0.6796889475697702
charm,variety,Anthony missed the X and Y of living in a big city.,-35.89998322725296,-37.22667783498764,0.7902933585284245
bouquets,wreaths,"At certain times of year, X and Y are often gifted to neighbors as tokens of appreciation.",-35.32901224459056,-36.962150703780935,0.8365991227378198
beech,elm,"During the spring, X and Y trees can to cause some people severe allergies.",-42.53406783938408,-41.54820120334625,0.27172926706191775
complexity,obscurity,The student found that the X and Y of her research topic made the project difficult.,-30.110385909676552,-31.264967665076256,0.7603467979469161
devotion,effort,The intern was praised for her X and Y after the big event went off without a hitch.,-30.36873483657837,-31.03582274913788,0.6608507877504062
alibis,excuses,The student was always full of X and Y for why she didn't come to class.,-32.75360360369086,-23.79493977499078,1.2860145418315026e-4
body,mind,She talked about the importance of keeping your X and Y super healthy and strong.,-19.41122990846634,-20.285167574882507,0.7055643833739323
man,woman,He noticed that both the X and Y had green sneakers on.,-23.22746554017067,-26.87860456109047,0.9746954050901386
law,order,There was a lack of X and Y that caused some chaos.,-24.32882922142744,-28.933247923851013,0.9900916404234534
cause,effect,"Ryan was uncertain about the X and Y of inflation, so he did some research about it online.",-29.21599307656288,-35.57784083485603,0.998276800332259
radio,television,Tania wanted to work in both X and Y and couldn't decide which she liked more.,-22.705591837788234,-23.921161523117917,0.7712829567448066
feet,hands,The child's X and Y were numb from playing in the snow.,-21.99994397163391,-17.935374587774277,0.016880536277069105
money,time,The amount of X and Y required to fix up the old car made it quite the project.,-18.21959963440895,-17.4009810090065,0.30605696602909854
blood,flesh,Although Rhonda was not Nick's X and Y he considered her part of his family.,-29.772578597068787,-25.385659109801054,0.012286161301989368
god,man,The friends had a discussion about the relationship between X and Y after school last week.,-28.446449413895607,-30.514706820249557,0.8877794692006393
brother,sister,Paul wants to spend time with his X and Y because he doesn't get to see them very often.,-18.458380460739136,-19.95816683769226,0.8175426129125989
father,son,Eric enjoys going to the movies with his X and Y so much that he decided to make it a weekly tradition for them.,-20.211507201194763,-20.844774961471558,0.6532300472225285
men,officers,Nicole's history textbook listed an estimate of the number of X and Y who died during the civil war.,-26.42807900905609,-22.335480093955994,0.01642161443068381
south,west,"The compass was broken, so it would only point to X and Y instead of all four directions.",-21.455757349729538,-22.855021089315414,0.8020670291559302
error,trial,They dealt with a lot of X and Y before having a final product.,-35.2436021566391,-23.586189704132266,8.654586839245858e-6
arts,crafts,Lilly enjoys doing X and Y to relax when she is stressed.,-26.329967379570007,-34.5719997882843,0.9997367208607105
pressure,temperature,He learned about the relationship between X and Y in his science class.,-30.842605888843536,-29.31046073138714,0.17768004042305208
days,nights,Finn spent many X and Y working on writing his novel.,-18.979963928461075,-19.01716262102127,0.5092986009254921
land,sea,They had to travel across X and Y to get to their final destination.,-10.7393938601017,-14.789811432361603,0.9828829933428711
north,west,The boat sailed X and Y to get to its destination.,-18.71658456325531,-20.883190631866455,0.897210386627722
spring,summer,Maddy said that X and Y are her favorite seasons.,-24.237432569265366,-26.26746702194214,0.8839146131521072
magazines,newspapers,Anna has written articles for many X and Y throughout her career as a journalist.,-11.492608308792114,-10.163419365882874,0.20929355521214907
hands,knees,Chris had to get on his X and Y to look for the button that fell off his shirt.,-14.412408220872749,-22.259878516197205,0.9996094134436965
moon,sun,Rebecca got a X and Y tattooed on her left arm.,-30.429337367415428,-30.1725846901536,0.43616213893841665
fathers,mothers,The community center had summer camps for X and Y to send their kids to while they worked.,-21.826843351125717,-20.535380005836487,0.2156052274409773
city,county,The meeting had representatives from both the X and Y to discuss policy changes.,-23.21742331981659,-25.62020117044449,0.9170388833820701
ears,eyes,"Cleo said that her X and Y were bothering her, so she stayed home from work.",-25.1983183324337,-24.03802502155304,0.23861399312660067
college,school,Matt said that X and Y are not worth his time.,-31.631935596466064,-31.002767086029053,0.3476990994387002
college,university,Carlos talked about X and Y with his school counselor.,-33.1673424243927,-32.389256715774536,0.3147326062564263
dark,light,Johanna thought the contrast between X and Y colors in the painting made it interesting to look at.,-18.07840958237648,-17.551943004131317,0.37134137892128133
future,past,Jazmin wanted to talk about the X and Y of the company she was interviewing for.,-21.65351891517639,-16.087681353092194,0.0038117890447217956
evening,morning,Victor plans on spending tomorrow X and Y reading the new book he bought.,-25.683520317077637,-22.027518272399902,0.025184928447753864
ice,snow,All of the X and Y outside made Luis want to stay in all day.,-38.441378712654114,-38.52590861916542,0.5211199024463103
husbands,wives,The counselor met with many X and Y throughout his long career.,-21.986192762851715,-24.668419778347015,0.9359697191873242
boys,men,There were a lot of X and Y at the park today.,-23.296112298965454,-21.765869081020355,0.17795810288535815
bread,butter,Brent likes to eat X and Y for breakfast when he doesn't have a lot of time in the morning.,-21.03520315885544,-24.15912663936615,0.9578688493456025
head,shoulders,The doctor looked at Ashley's X and Y because she said that both were bothering her.,-28.53262746334076,-29.03715467453003,0.623522651317256
rock,roll,He said he was ready to X and Y after getting off of work.,-26.496168076992035,-36.343926191329956,0.9999471372157763
testament,will,Louis discussed his X and Y with his lawyer last week.,-36.646448373794556,-30.442201852798462,0.0020167553673739423
engineers,scientists,There were a good number of X and Y present at the conference.,-19.5013909637928,-17.8155680000782,0.15632595119858
man,wife,I learned that the X and Y got married after dating for 5 years.,-27.063272953033447,-32.66343879699707,0.9963163688083037
arms,hands,Both Chelsea's X and Y are scraped up from falling off her bike.,-34.187426064163446,-33.833843767642975,0.41251399390109805
math,science,Ricky discovered that X and Y are his favorite subjects in school.,-26.462917923927307,-27.938263058662415,0.8138684610460947
son,wife,Roman lives with his X and Y in an apartment downtown.,-16.957606434822083,-12.970273613929749,0.01821131807016598
fingers,thumb,Demi broke her X and Y when she fell while roller skating.,-23.69540846347809,-22.137665629386902,0.17397077425592827
flesh,skin,Cory explained the difference between X and Y to his little brother.,-31.213339895009995,-31.256953954696655,0.5109017868740678
life,religion,Jenny talked about X and Y with her brother and sister.,-25.664549350738525,-25.91463541984558,0.5621976853131343
conscience,religion,Bree is reading a book about the relationship between X and Y in her book club.,-23.9497177824378,-24.64054773375392,0.6661515281161913
pain,pressure,Jeremy felt X and Y in his chest that concerned him.,-21.057663053274155,-22.124473869800568,0.7439899483563612
integrity,unity,India thought that there was a lack of X and Y amongst her friend group.,-34.800097942352295,-35.35590410232544,0.6354816124224194
flowers,hearts,Craig drew X and Y on the card he was making for his mom.,-33.38341927528381,-32.72617042064667,0.3413578886995608
grapefruit,oranges,Kyle liked to keep X and Y in a bowl on his kitchen counter.,-31.07423973083496,-19.356525897979736,8.148131009325378e-6
folklore,legend,Mandy read about the X and Y surrounding King Arthur in her new book.,-29.822739958763123,-30.60198450088501,0.6855172726345192
doctors,fathers,There were many X and Y in the same room.,-30.577969312667847,-29.988728046417236,0.3568089619898905
contraction,dilation,Anna was confused about the difference between X and Y so she talked to her doctor about it.,-35.475599724799395,-31.078674852848053,0.012165334456821877
ships,weapons,There are too many X and Y according to Jack's uncle.,-37.77724669966847,-37.95674009528011,0.5447532587822801
funnels,masts,They noticed that the X and Y on the ship were broken.,-34.32601919770241,-37.67118387669325,0.9659461397006193
law,sovereignty,They discussed both X and Y in their political science class.,-29.547351002693176,-27.9128839969635,0.16321934478686795
assurance,dignity,Richard tried to portray X and Y at work but didn't know if he succeeded.,-35.77079200744629,-37.00935888290405,0.7753144596886237
mr.,mrs.,The couple call each other X and Y Smith even though they aren't married.,-42.33213233947754,-44.466092839837074,0.8941604060042918
bride,groom,I think that the X and Y are very excited about the upcoming wedding.,-24.12981539592147,-30.451892018318176,0.9982070110024666
feet,legs,The soccer player injured their X and Y during a very intense game.,-24.848342180252075,-24.640279531478882,0.4481711758120546
peace,quiet,The students reserved a spot in the library for some X and Y to study for their upcoming exams.,-22.836192190647125,-29.618685007095337,0.9988678373440079
daughter,son,"With the holidays approaching, the X and Y needed to shop for presents for their parents.",-27.797148823738098,-26.41970592737198,0.20141999580225048
ends,odds,"The new restaurant was almost ready for the grand opening, but had a few X and Y to deal with before the big night.",-36.8721488006413,-18.291077870409936,8.518113517552194e-9
city,state,He liked his X and Y too much to move away.,-24.365898430347443,-23.848444879055023,0.37344787109273836
facts,figures,Lauren needed to get her X and Y straight before her business plan presentation.,-25.39720582962036,-33.310951352119446,0.9996344513338052
man,nature,Harry wanted to talk about how X and Y interact in today's society.,-29.50086522102356,-31.843262195587158,0.9123279982551773
prose,verse,They discussed differences between X and Y in her writing class.,-26.91728949546814,-27.971317768096924,0.7415476875168334
body,head,"When drawing people, Suzanne struggles with sketching the X and Y because she can never get the proportions right.",-24.880597949028015,-22.766722917556763,0.10775553796964868
command,control,The eldest sibling wanted to X and Y all of their younger siblings.,-23.979308903217316,-26.104536533355713,0.8933310990195741
child,wife,Bill wanted to take his X and Y on a tropical vacation.,-27.244468688964844,-22.525848925113678,0.008848497207114392
aunt,uncle,"Over the summer, Steve stayed with his X and Y at their vacation home near the beach.
",-20.823198914527893,-24.799566984176636,0.9815915966738615
cattle,horses,"On the ranch, there are X and Y roaming around the green pastures.",-21.050858736038208,-20.527387142181396,0.3720408179120522
politics,religion,The strangers wanted to avoid discussing X and Y to avoid starting an argument.,-24.009001851081848,-24.8044673204422,0.6890036664145283
July,June,Max was planning to take off X and Y from work so he could travel through Asia.,-36.075316429138184,-32.747350454330444,0.03462415391405294
sailors,soldiers,"The little boy thought X and Y were cool, so he liked to dress up as them for Halloween.",-33.68512201309204,-32.542126297950745,0.24177076875097717
English,German,The school held classes in both X and Y so the students could be bilingual.,-14.095800206065178,-15.803837910294533,0.8465815922022277
food,shelter,The stray dog searched for X and Y while running through the streets.,-24.676387190818787,-25.277466297149658,0.6459031499255647
sights,sounds,"While traveling, Kim wanted to experience the X and Y of the city she was visiting.",-8.573810264468193,-15.57294625043869,0.9990881620225023
comings,goings,The school newspaper reported on the X and Y of the student body.,-17.04304114023398,-30.92630044868565,0.9999990655056377
heir,son,The king's X and Y went missing after the battle.,-30.650288343429565,-26.005608320236206,0.009521082572537224
coat,hat,"Once she stepped through the door, she designated a spot for her X and Y to be safely put away.",-27.27312070131302,-28.67353057861328,0.8022489218401365
crime,punishment,The jury needed to consider the X and Y before coming to a final decision.,-25.817595452070236,-31.518341079354286,0.9966676700062947
earth,sky,Talking about the X and Y was one of Randy's favorite things to do.,-27.026655554771423,-25.570013344287872,0.18898142766462966
faith,love,He wrote songs about X and Y that he hoped to record for his next album.,-22.677732348442078,-22.016074538230896,0.34036730586342245
mother,son,Jack spent more time with his X and Y than any other family member.,-12.911021411418915,-14.03322347998619,0.7543969490674548
cents,dollars,The boy brought his X and Y to the store to buy an ice cream cone.,-31.871281027793884,-28.85552567243576,0.04671915271509269
turns,twists,The movie had many different X and Y that left the audience on the edge of their seats.,-25.326437830924988,-16.159941390156746,1.044710125152575e-4
fire,police,Both the X and Y departments put on a barbeque for the community.,-27.081328868865967,-22.495485365390778,0.010092254504919244
months,years,"After many tiring X and Y, the author finally published their book.",-23.193056106567383,-25.06388759613037,0.8665544584237832
editor,publisher,"In order to finalize all the details, the X and Y wanted to have a meeting with the author of the book.",-25.141486153006554,-26.075502410531044,0.7178893862219982
aunts,uncles,The family reunion had all the X and Y together in one room.,-21.48391357063838,-30.262316167354584,0.9998459997925977
research,training,The surgeon had to do a lot of X and Y before attempting the risky procedure.,-23.24214816093445,-21.8495055437088,0.1989862131612875
eyes,hair,"In order to make your X and Y stand out, you should choose an appropriate outfit.",-19.277418792247772,-20.49826112948358,0.7722117511618891
methods,principles,She didn't agree with the company's X and Y so she made her opinion known.,-28.207330882549286,-28.056472778320313,0.4623568376618578
city,country,Her love for her X and Y made her want to get into politics.,-22.53018432855606,-23.872944205999374,0.7929434359111404
bread,cheese,Xavier brought X and Y to the potluck at the beach.,-24.762507677078247,-27.162270426750183,0.9168092101933295
location,size,The couple told the realtor that X and Y are the most important criteria for picking a house.,-27.982847452163696,-27.44000482559204,0.36752656299936687
childhood,infancy,The students watched a video on X and Y in their human development class.,-41.739115953445435,-39.58751082420349,0.1041813250926817
morning,night,Kevin worked both X and Y shifts as an ER nurse.,-19.744710586965084,-17.307824909687042,0.08040287906621581
council,governor,She wanted to meet with both the X and Y to discuss some ideas she had.,-21.24996581673622,-18.578789710998535,0.06469576574049579
age,day,Amanda said that in this X and Y you need to be tech-savy.,-27.332907378673553,-11.316663707839325,1.1072194465010841e-7
body,face,"After visiting many stores, Ann finally found a X and Y sunscreen that worked well for her skin.",-38.582582235336304,-34.46448516845703,0.016014807795938096
hair,skin,The doctor recommended X and Y supplements to some of her patients.,-31.234654664993286,-29.94145131111145,0.2153111034818432
nitrogen,oxygen,The atmosphere is composed of X and Y as well as other elements.,-12.762714266777039,-13.314863935112953,0.6346341865345863
piano,violin,Alex loved to play the X and Y so they took lessons for both instruments.,-24.441879868507385,-23.129908204078674,0.2121571003503437
ceiling,walls,The painter finished painting the X and Y of all of the bedrooms.,-21.650803923606873,-18.96715486049652,0.06394510974250284
color,texture,Sarah was known for the X and Y she used in her paintings.,-23.13255500793457,-23.876132011413574,0.6777775526762356
everybody,everything,Noah loved X and Y in his college town.,-27.510096192359924,-27.78973627090454,0.5694579821914609
bacon,eggs,"On the days Lilly doesn't have work, she makes X and Y for breakfast and reads the paper.",-21.970281958580017,-22.921512961387634,0.7213626752332121
paper,pen,"Even though most people use computers, I prefer to use X and Y to take my notes in class.",-24.919811010360718,-20.530283957719803,0.012254558153650461
concrete,steel,The company got a new shipment of X and Y for an upcoming project.,-25.572155475616455,-24.65330410003662,0.28519199223889474
color,light,Rob used a lot of X and Y to make his photographs pop.,-20.298161149024963,-21.27816939353943,0.7271098522299456
friends,relations,Ciara had many X and Y so she was rarely lonely.,-24.05005669593811,-26.948700785636902,0.9477793687200433
boots,shoes,My suitcase was full of X and Y which made it exceed the weight limit.,-24.81724226474762,-24.20643651485443,0.35187541739290207
hearing,sight,His grandma lost her X and Y so she needed to live in a nursing home.,-27.239016890525818,-22.87454342842102,0.0125615517680906
expense,time,He said that the X and Y of maintaining the property was too much.,-27.69903600215912,-22.42156982421875,0.005079418256972814
flowers,plants,All of the X and Y in the Arboretum made it a popular spot for walks.,-27.5836278796196,-27.37828093767166,0.44884290164717217
beauty,truth,I decided that X and Y would be the major themes of the poem I was writing.,-26.221969723701477,-22.531818866729736,0.02436000870089889
bone,flesh,"After a hard fall, you could see the X and Y of the basketball player's leg.",-28.565172970294952,-27.510342717170715,0.25829863891749855
doubts,fears,"She wanted to be a pop star, but her X and Y got in the way of her dream.",-23.611139729619026,-22.375380016863346,0.22517493142900288
light,sound,The exhibit used X and Y to create an attention-grabbing experience.,-17.113827228546143,-19.10152244567871,0.8794990891949408
beauty,youth,The serum promised X and Y to everyone who used it.,-29.314571380615234,-30.766873121261597,0.8103524213659601
fiction,poetry,Maddy liked to read X and Y in her spare time.,-20.79710817337036,-21.501140594482422,0.6690812046991691
needle,thread,He needed a X and Y to fix the hole in his shirt.,-19.927480340003967,-30.875791430473328,0.9999824126150656
back,shoulders,Anthony got his X and Y adjusted by the chiropractor.,-32.3471360206604,-31.41759991645813,0.2830188383839404
crime,violence,The frequent X and Y in the neighborhood had people worried.,-22.38637888431549,-22.923371195793152,0.6311124757654294
force,violence,They didn't like how he used X and Y to get his way.,-19.36981964111328,-20.507845878601074,0.7573170695462145
eggs,ham,All she wanted to eat was X and Y but she didn't have either item in her refrigerator.,-22.418893933296204,-21.469167232513428,0.2789397879787315
bone,muscle,The doctor studied the X and Y of the patient's injured leg.,-16.975335955619812,-18.469280242919922,0.8166695505967015
debate,discussion,"During class, there was X and Y surrounding the controversial current event.",-28.109729290008545,-25.90589690208435,0.09940686692964566
errors,omissions,Rebecca went over the X and Y that occurred in the paper.,-25.567304940894246,-27.65157198905945,0.8893645885077599
brother,mother,Last week my X and Y came to visit me in my new apartment.,-17.31880897283554,-15.366221964359283,0.12427154512860855
face,figure,The model's X and Y was highlighted in the magazine spread.,-28.699032068252563,-32.10354709625244,0.9678453434843798
chairs,table,The event planner fixed the X and Y to accommodate all of the wedding guests.,-26.876664400100708,-23.775798320770264,0.04307154415106855
ammunition,guns,The old man kept X and Y locked away in his basement in case of a zombie invasion.,-31.087279319763184,-25.198084115982056,0.002761557129340456
Concord,Lexington,He used to live in both X and Y when he was a teenager.,-23.343236327171326,-19.75466327369213,0.02689443838358101
ice,water,The kids went all over town to find X and Y since their air conditioner was broken.,-37.793243408203125,-36.411338806152344,0.20070328649918426
fun,games,Sally promised that there would be X and Y at her birthday party.,-23.885164260864258,-32.08073830604553,0.9997242042159566
breakfast,dinner,Molly decided that X and Y are her favorite meals of the day.,-25.539063692092896,-28.937142610549927,0.9676444427882038
comfort,ease,"Her parents liked the X and Y of flying, so they flew to their friend's wedding.",-26.990987539291382,-27.355375826358795,0.590102298001406
father,uncle,She took her X and Y out to dinner to celebrate their birthdays.,-17.30193144083023,-19.3279470205307,0.8835016016436503
health,spirits,In order to improve their X and Y the couple decided to go for long daily walks.,-29.03366994857788,-31.51370644569397,0.9227304001116904
names,numbers,The host asked for both the X and Y of the people who wanted to make reservations.,-15.749096781015396,-16.5706185400486,0.6945592717983515
rights,wrongs,She considered the X and Y of the situation before moving forward.,-22.96773399412632,-32.70010185241699,0.9999406718813527
crannies,nooks,He made sure to dust all of the X and Y throughout the old house.,-38.71622513886541,-18.091368914785562,1.1034146641807756e-9
power,resources,The business had the X and Y to create a multi-million dollar company.,-16.56947188079357,-18.886226624250412,0.9102551861675254
flame,smoke,"He noticed the X and Y coming from his neighbor's house, so he called the fire department.",-21.83503821492195,-21.09332612156868,0.3226298695934071
faith,life,He wanted to write a book about X and Y using many personal stories.,-35.87596786022186,-35.76563739776611,0.4724453301990837
wisdom,wit,Clare believed she gained a lot of X and Y throughout her time in college.,-25.17647486925125,-27.958396822214127,0.9416910666071981
novelist,poet,Lydia is a successful X and Y and is praised for her writing style.,-29.153510332107544,-28.155564188957214,0.26934542571859793
