Item,Word,Condition,Frequency,Predictability,Type,Sentences,PhrasalVerb,Filename,FilePath,OnsetTime,OffsetTime,Duration,CorrectAns,List
46,ran up,Experimental,934026,0.031021,Phrasal Verb,She ran up the stairs to catch the train.,0,all_parts_combined_She_ran_up_the_stairs_to_catch_the_train_.wav,Stimuli/all_parts_combined_She_ran_up_the_stairs_to_catch_the_train_.wav,0.61,0.676,0.066,y,1
47,wind up,Experimental,894872,0.028373,Phrasal Verb,Please wind up the hose and put it away.,1,all_parts_combined_Please_wind_up_the_hose_and_put_it_away_.wav,Stimuli/all_parts_combined_Please_wind_up_the_hose_and_put_it_away_.wav,0.733,0.783,0.05,y,1
50,lifted up,Experimental,869899,0.081035,Phrasal Verb,He lifted up the box with great effort.,1,all_parts_combined_He_lifted_up_the_box_with_great_effort_.wav,Stimuli/all_parts_combined_He_lifted_up_the_box_with_great_effort_.wav,0.581,0.639,0.058,y,1
51,shacked up,Experimental,22315,8.652579,Phrasal Verb,They shacked up in a cozy cabin for the weekend.,0,all_parts_combined_They_shacked_up_in_a_cozy_cabin_for_the_weekend_.wav,Stimuli/all_parts_combined_They_shacked_up_in_a_cozy_cabin_for_the_weekend_.wav,0.612,0.677,0.065,y,1
53,clammed up,Experimental,31435,6.974706,Phrasal Verb,He clammed up and refused to answer any questions.,0,all_parts_combined_He_clammed_up_and_refused_to_answer_any_questions_.wav,Stimuli/all_parts_combined_He_clammed_up_and_refused_to_answer_any_questions_.wav,0.965,1.081,0.116,y,1
56,dolled up,Experimental,31675,2.815556,Phrasal Verb,"She dolled up for the party, wearing a fancy dress.",0,all_parts_combined_She_dolled_up_for_the_party__wearing_a_fancy_dress_.wav,Stimuli/all_parts_combined_She_dolled_up_for_the_party__wearing_a_fancy_dress_.wav,0.601,0.668,0.067,y,1
57,beefing up,Experimental,26549,2.715177,Phrasal Verb,They're beefing up security in the building after recent incidents.,1,all_parts_combined_They_re_beefing_up_security_in_the_building_after_recent_incidents_.wav,Stimuli/all_parts_combined_They_re_beefing_up_security_in_the_building_after_recent_incidents_.wav,0.72,0.774,0.054,y,1
60,shored up,Experimental,58459,1.928067,Phrasal Verb,They shored up the building's foundation to prevent further damage.,1,all_parts_combined_They_shored_up_the_building_s_foundation_to_prevent_further_damage_.wav,Stimuli/all_parts_combined_They_shored_up_the_building_s_foundation_to_prevent_further_damage_.wav,0.438,0.489,0.051,y,1
62,welled up,Experimental,274309,1.516701,Phrasal Verb,Tears welled up in her eyes as she listened to the sad news.,0,all_parts_combined_Tears_welled_up_in_her_eyes_as_she_listened_to_the_sad_news_.wav,Stimuli/all_parts_combined_Tears_welled_up_in_her_eyes_as_she_listened_to_the_sad_news_.wav,0.548,0.618,0.07,y,1
64,conjured up,Experimental,347458,1.253583,Phrasal Verb,She conjured up a brilliant idea during the brainstorming session.,0,all_parts_combined_She_conjured_up_a_brilliant_idea_during_the_brainstorming_session_.wav,Stimuli/all_parts_combined_She_conjured_up_a_brilliant_idea_during_the_brainstorming_session_.wav,0.783,0.853,0.07,y,1
65,tidying up,Experimental,76002,1.131403,Phrasal Verb,I'm tidying up my room before guests come over.,1,all_parts_combined_I_m_tidying_up_my_room_before_guests_come_over_.wav,Stimuli/all_parts_combined_I_m_tidying_up_my_room_before_guests_come_over_.wav,0.768,0.872,0.104,y,1
68,freshen up,Experimental,85576,0.910393,Phrasal Verb,He freshened up before going out on a date.,1,all_parts_combined_He_freshened_up_before_going_out_on_a_date_.wav,Stimuli/all_parts_combined_He_freshened_up_before_going_out_on_a_date_.wav,0.692,0.791,0.099,y,1
70,roughed up,Experimental,47121,0.660847,Phrasal Verb,"The dangerous waves roughed up the boat, making it difficult to navigate.",1,all_parts_combined_The_dangerous_waves_roughed_up_the_boat__making_it_difficult_to_navigate_.wav,Stimuli/all_parts_combined_The_dangerous_waves_roughed_up_the_boat__making_it_difficult_to_navigate_.wav,1.532,1.608,0.076,y,1
72,jacked up,Experimental,45322,0.578006,Phrasal Verb,"The prices jacked up overnight, causing frustration among consumers.",1,all_parts_combined_The_prices_jacked_up_overnight__causing_frustration_among_consumers_.wav,Stimuli/all_parts_combined_The_prices_jacked_up_overnight__causing_frustration_among_consumers_.wav,0.913,0.99,0.077,y,1
74,chalked up,Experimental,64052,0.505704,Phrasal Verb,She chalked up another victory in her sports career.,1,all_parts_combined_She_chalked_up_another_victory_in_her_sports_career_.wav,Stimuli/all_parts_combined_She_chalked_up_another_victory_in_her_sports_career_.wav,0.716,0.789,0.073,y,1
76,riled up,Experimental,50027,0.472421,Phrasal Verb,"The controversial statement riled up the crowd, sparking a heated debate.",1,all_parts_combined_The_controversial_statement_riled_up_the_crowd__sparking_a_heated_debate_.wav,Stimuli/all_parts_combined_The_controversial_statement_riled_up_the_crowd__sparking_a_heated_debate_.wav,1.77,1.824,0.054,y,1
78,sprung up,Experimental,515862,0.414727,Phrasal Verb,The flowers sprung up after a long winter.,0,all_parts_combined_The_flowers_sprung_up_after_a_long_winter_.wav,Stimuli/all_parts_combined_The_flowers_sprung_up_after_a_long_winter_.wav,1.099,1.218,0.119,y,1
79,mopping up,Experimental,78108,0.39343,Phrasal Verb,The cleaners were busy mopping up the remaining dirt.,1,all_parts_combined_The_cleaners_were_busy_mopping_up_the_remaining_dirt_.wav,Stimuli/all_parts_combined_The_cleaners_were_busy_mopping_up_the_remaining_dirt_.wav,1.403,1.501,0.098,y,1
81,cluttering up,Experimental,30902,0.386734247,Phrasal Verb,Cluttering up the room with unnecessary items makes it difficult to find things.,1,all_parts_combined_Cluttering_up_the_room_with_unnecessary_items_makes_it_difficult_to_find_things_.wav,Stimuli/all_parts_combined_Cluttering_up_the_room_with_unnecessary_items_makes_it_difficult_to_find_things_.wav,0.654,0.72,0.066,y,1
83,curled up,Experimental,672515,0.368129408,Phrasal Verb,She curled up on the couch with a good book.,0,all_parts_combined_She_curled_up_on_the_couch_with_a_good_book_.wav,Stimuli/all_parts_combined_She_curled_up_on_the_couch_with_a_good_book_.wav,0.529,0.586,0.057,y,1
86,shrivel up,Experimental,39647,0.333313717,Phrasal Verb,"Under the scorching sun, the grapes shrivel up and turn into raisins.",0,all_parts_combined_Under_the_scorching_sun__the_grapes_shrivel_up_and_turn_into_raisins_.wav,Stimuli/all_parts_combined_Under_the_scorching_sun__the_grapes_shrivel_up_and_turn_into_raisins_.wav,2.362,2.472,0.11,y,1
87,cranked up,Experimental,73880,0.319771468,Phrasal Verb,He cranked up the volume and jammed out to his favorite song.,1,all_parts_combined_He_cranked_up_the_volume_and_jammed_out_to_his_favorite_song_.wav,Stimuli/all_parts_combined_He_cranked_up_the_volume_and_jammed_out_to_his_favorite_song_.wav,0.421,0.505,0.084,y,1
89,snuggle up,Experimental,30437,0.302278235,Phrasal Verb,"To keep warm during the cold winter night, they snuggle up in a cozy blanket.",0,all_parts_combined_To_keep_warm_during_the_cold_winter_night__they_snuggle_up_in_a_cozy_blanket_.wav,Stimuli/all_parts_combined_To_keep_warm_during_the_cold_winter_night__they_snuggle_up_in_a_cozy_blanket_.wav,2.387,2.488,0.101,y,1
91,speeding up,Experimental,286629,0.284671598,Phrasal Verb,"As the car accelerates down the highway, it is speeding up.",1,all_parts_combined_As_the_car_accelerates_down_the_highway__it_is_speeding_up_.wav,Stimuli/all_parts_combined_As_the_car_accelerates_down_the_highway__it_is_speeding_up_.wav,2.426,2.542,0.116,y,1
94,dished up,Experimental,33678,0.273680276,Phrasal Verb,She dished up a delicious meal to her family.,1,all_parts_combined_She_dished_up_a_delicious_meal_to_her_family_.wav,Stimuli/all_parts_combined_She_dished_up_a_delicious_meal_to_her_family_.wav,0.675,0.764,0.089,y,1
95,puffed up,Experimental,211460,0.272954807,Phrasal Verb,"After receiving recognition for his accomplishments, his pride puffed up.",0,all_parts_combined_After_receiving_recognition_for_his_accomplishments__his_pride_puffed_up_.wav,Stimuli/all_parts_combined_After_receiving_recognition_for_his_accomplishments__his_pride_puffed_up_.wav,3.543,3.635,0.092,y,1
97,straightens up,Experimental,35186,0.26599235,Phrasal Verb,"Before entering the important meeting, he straightens up his tie.",1,all_parts_combined_Before_entering_the_important_meeting__he_straightens_up_his_tie_.wav,Stimuli/all_parts_combined_Before_entering_the_important_meeting__he_straightens_up_his_tie_.wav,2.412,2.481,0.069,y,1
99,trumped up,Experimental,42740,0.240487953,Phrasal Verb,The accusations against him were baseless and trumped up.,0,all_parts_combined_The_accusations_against_him_were_baseless_and_trumped_up_.wav,Stimuli/all_parts_combined_The_accusations_against_him_were_baseless_and_trumped_up_.wav,2.588,2.731,0.143,y,1
102,coughed up,Experimental,66690,0.080676478,Phrasal Verb,"After being threatened with legal action, he coughed up the money he owed.",1,all_parts_combined_After_being_threatened_with_legal_action__he_coughed_up_the_money_he_owed_.wav,Stimuli/all_parts_combined_After_being_threatened_with_legal_action__he_coughed_up_the_money_he_owed_.wav,2.324,2.371,0.047,y,1
104,matching up,Experimental,27456,0.004145078,Phrasal Verb,"He was known for quickly matching up the puzzle pieces, easily forming the complete picture.",1,all_parts_combined_He_was_known_for_quickly_matching_up_the_puzzle_pieces__easily_forming_the_complete_picture_.wav,Stimuli/all_parts_combined_He_was_known_for_quickly_matching_up_the_puzzle_pieces__easily_forming_the_complete_picture_.wav,1.193,1.281,0.088,y,1
106,scroll up,Experimental,25889,9.19E-03,Phrasal Verb,Whenever she reviews the previous messages in the chat conversation she often will scroll up.,0,all_parts_combined_Whenever_she_reviews_the_previous_messages_in_the_chat_conversation_she_often_will_scroll_up_.wav,Stimuli/all_parts_combined_Whenever_she_reviews_the_previous_messages_in_the_chat_conversation_she_often_will_scroll_up_.wav,4.007,4.147,0.14,y,1
108,brace up,Experimental,23927,0.007396565,Phrasal Verb,"Brace up, and please try not to be too disappointed.",0,all_parts_combined_Brace_up__and_please_try_not_to_be_too_disappointed_.wav,Stimuli/all_parts_combined_Brace_up__and_please_try_not_to_be_too_disappointed_.wav,0.577,0.704,0.127,y,1
110,extended up,Experimental,43836,0.00170883,Phrasal Verb,The vines seeked support as they extended up the trellis.,0,all_parts_combined_The_vines_seeked_support_as_they_extended_up_the_trellis_.wav,Stimuli/all_parts_combined_The_vines_seeked_support_as_they_extended_up_the_trellis_.wav,1.256,1.315,0.059,y,1
112,rubbing up,Experimental,25138,0.009135334,Phrasal Verb,The dog seeks attention by rubbing up against my leg.,0,all_parts_combined_The_dog_seeks_attention_by_rubbing_up_against_my_leg_.wav,Stimuli/all_parts_combined_The_dog_seeks_attention_by_rubbing_up_against_my_leg_.wav,1.611,1.679,0.068,y,1
113,tacked up,Experimental,41309,0.084585631,Phrasal Verb,He tacked up the poster on the bulletin board.,1,all_parts_combined_He_tacked_up_the_poster_on_the_bulletin_board_.wav,Stimuli/all_parts_combined_He_tacked_up_the_poster_on_the_bulletin_board_.wav,0.65,0.724,0.074,y,1
115,flowing up,Experimental,19183,0.002907494,Phrasal Verb,The water is flowing up from the fountain in a mesmerizing pattern.,0,all_parts_combined_The_water_is_flowing_up_from_the_fountain_in_a_mesmerizing_pattern_.wav,Stimuli/all_parts_combined_The_water_is_flowing_up_from_the_fountain_in_a_mesmerizing_pattern_.wav,1.044,1.128,0.084,y,1
117,flipped up,Experimental,34595,2.14E-02,Phrasal Verb,"Her umbrella flipped up, turning inside out in the gust of wind.",1,all_parts_combined_Her_umbrella_flipped_up__turning_inside_out_in_the_gust_of_wind_.wav,Stimuli/all_parts_combined_Her_umbrella_flipped_up__turning_inside_out_in_the_gust_of_wind_.wav,0.991,1.126,0.135,y,1
119,divided up,Experimental,296575,0.012302929,Phrasal Verb,"Among the team members, they divided up the responsibilities.",1,all_parts_combined_Among_the_team_members__they_divided_up_the_responsibilities_.wav,Stimuli/all_parts_combined_Among_the_team_members__they_divided_up_the_responsibilities_.wav,1.841,1.892,0.051,y,1
121,sneaked up,Experimental,48512,1.10E-01,Phrasal Verb,She quietly sneaked up behind him and surprised him with a kiss.,0,all_parts_combined_She_quietly_sneaked_up_behind_him_and_surprised_him_with_a_kiss_.wav,Stimuli/all_parts_combined_She_quietly_sneaked_up_behind_him_and_surprised_him_with_a_kiss_.wav,0.939,0.999,0.06,y,1
124,weigh up,Experimental,59670,0.017931493,Phrasal Verb,"Before making a decision, it's important to weigh up the pros and cons.",0,all_parts_combined_Before_making_a_decision__it_s_important_to_weigh_up_the_pros_and_cons_.wav,Stimuli/all_parts_combined_Before_making_a_decision__it_s_important_to_weigh_up_the_pros_and_cons_.wav,2.126,2.178,0.052,y,1
126,traveled up,Experimental,78738,0.010698793,Phrasal Verb,They traveled up to the summit of the mountain to enjoy the breathtaking view.,0,all_parts_combined_They_traveled_up_to_the_summit_of_the_mountain_to_enjoy_the_breathtaking_view_.wav,Stimuli/all_parts_combined_They_traveled_up_to_the_summit_of_the_mountain_to_enjoy_the_breathtaking_view_.wav,0.583,0.663,0.08,y,1
128,sauntered up,Experimental,27088,0.069381158,Phrasal Verb,He sauntered up to the counter and placed his order.,0,all_parts_combined_He_sauntered_up_to_the_counter_and_placed_his_order_.wav,Stimuli/all_parts_combined_He_sauntered_up_to_the_counter_and_placed_his_order_.wav,0.463,0.543,0.08,y,1
130,cleaning up,Experimental,694997,0.103621011,Phrasal Verb,We were cleaning up the house when she unexpectedly arrived.,1,all_parts_combined_We_were_cleaning_up_the_house_when_she_unexpectedly_arrived_.wav,Stimuli/all_parts_combined_We_were_cleaning_up_the_house_when_she_unexpectedly_arrived_.wav,1.978,2.061,0.083,y,1
131,creeps up,Experimental,34057,0.064442699,Phrasal Verb,"As the night grows darker, the feeling of unease creeps up on him.",0,all_parts_combined_As_the_night_grows_darker__the_feeling_of_unease_creeps_up_on_him_.wav,Stimuli/all_parts_combined_As_the_night_grows_darker__the_feeling_of_unease_creeps_up_on_him_.wav,3.104,3.174,0.07,y,1
134,charged up,Experimental,84121,4.98E-03,Phrasal Verb,"It took three hours, but the battery was completely charged up.",1,all_parts_combined_It_took_three_hours__but_the_battery_was_completely_charged_up_.wav,Stimuli/all_parts_combined_It_took_three_hours__but_the_battery_was_completely_charged_up_.wav,2.742,2.893,0.151,y,1
136,scrambled up,Experimental,168267,0.100487727,Phrasal Verb,She scrambled up the rocky slope.,0,all_parts_combined_She_scrambled_up_the_rocky_slope_.wav,Stimuli/all_parts_combined_She_scrambled_up_the_rocky_slope_.wav,0.954,1.022,0.068,y,1
140,pay up,Experimental,189202,0.003236223,Phrasal Verb,It's time to pay up for the services rendered.,0,all_parts_combined_It_s_time_to_pay_up_for_the_services_rendered_.wav,Stimuli/all_parts_combined_It_s_time_to_pay_up_for_the_services_rendered_.wav,0.921,1.007,0.086,y,1
142,swim up,Experimental,29188,0.007008684,Phrasal Verb,The fish swim up the stream during spawning season.,0,all_parts_combined_The_fish_swim_up_the_stream_during_spawning_season_.wav,Stimuli/all_parts_combined_The_fish_swim_up_the_stream_during_spawning_season_.wav,0.962,1.023,0.061,y,1
143,closes up,Experimental,28198,0.010539201,Phrasal Verb,The shop closes up for the night.,1,all_parts_combined_The_shop_closes_up_for_the_night_.wav,Stimuli/all_parts_combined_The_shop_closes_up_for_the_night_.wav,0.735,0.817,0.082,y,1
145,step up,Experimental,389046,0.006630513,Phrasal Verb,She stepped up to the podium to give her speech.,0,all_parts_combined_She_stepped_up_to_the_podium_to_give_her_speech_.wav,Stimuli/all_parts_combined_She_stepped_up_to_the_podium_to_give_her_speech_.wav,0.786,0.853,0.067,y,1
147,hit up,Experimental,26518,0.001017902,Phrasal Verb,He decided to hit up his old friend to see if he wanted to hang out.,1,all_parts_combined_He_decided_to_hit_up_his_old_friend_to_see_if_he_wanted_to_hang_out_.wav,Stimuli/all_parts_combined_He_decided_to_hit_up_his_old_friend_to_see_if_he_wanted_to_hang_out_.wav,0.909,0.988,0.079,y,1
149,hold up,Experimental,1118752,0.020265761,Phrasal Verb,He held up the traffic with his car accident.,1,all_parts_combined_He_held_up_the_traffic_with_his_car_accident_.wav,Stimuli/all_parts_combined_He_held_up_the_traffic_with_his_car_accident_.wav,0.581,0.65,0.069,y,1
151,proceeded up,Experimental,60024,0.008151732,Phrasal Verb,They proceeded up the stairs to the next floor.,0,all_parts_combined_They_proceeded_up_the_stairs_to_the_next_floor_.wav,Stimuli/all_parts_combined_They_proceeded_up_the_stairs_to_the_next_floor_.wav,0.748,0.813,0.065,y,1
153,rigged up,Experimental,85971,0.120784125,Phrasal Verb,They rigged up a makeshift tent in the woods.,1,all_parts_combined_They_rigged_up_a_makeshift_tent_in_the_woods_.wav,Stimuli/all_parts_combined_They_rigged_up_a_makeshift_tent_in_the_woods_.wav,0.48,0.565,0.085,y,1
155,cook up,Experimental,72162,0.004376435,Phrasal Verb,She cooked up a delicious meal for her guests.,1,all_parts_combined_She_cooked_up_a_delicious_meal_for_her_guests_.wav,Stimuli/all_parts_combined_She_cooked_up_a_delicious_meal_for_her_guests_.wav,0.379,0.448,0.069,y,1
157,drank up,Experimental,31618,6.19E-03,Phrasal Verb,They drank up all the water in the bottle.,1,all_parts_combined_They_drank_up_all_the_water_in_the_bottle_.wav,Stimuli/all_parts_combined_They_drank_up_all_the_water_in_the_bottle_.wav,0.519,0.574,0.055,y,1
159,press up,Experimental,27975,2.09E-04,Phrasal Verb,a press up is one of Jim's favorite exercises.,0,all_parts_combined_A_press_up_is_one_of_Jim_s_favorite_exercises_.wav,Stimuli/all_parts_combined_A_press_up_is_one_of_Jim_s_favorite_exercises_.wav,0.544,0.637,0.093,y,1
161,done up,Experimental,239807,0.002256726,Phrasal Verb,The goods were done up in bundles for shipment.,0,all_parts_combined_The_goods_were_done_up_in_bundles_for_shipment_.wav,Stimuli/all_parts_combined_The_goods_were_done_up_in_bundles_for_shipment_.wav,0.985,1.056,0.071,y,1
163,typing up,Experimental,19090,0.006231,Phrasal Verb,She's typing up the meeting minutes on her laptop.,1,all_parts_combined_She_s_typing_up_the_meeting_minutes_on_her_laptop_.wav,Stimuli/all_parts_combined_She_s_typing_up_the_meeting_minutes_on_her_laptop_.wav,0.806,0.886,0.08,y,1
165,sweeps up,Experimental,20340,0.019973,Phrasal Verb,She sweeps up the fallen leaves from the yard.,1,all_parts_combined_She_sweeps_up_the_fallen_leaves_from_the_yard_.wav,Stimuli/all_parts_combined_She_sweeps_up_the_fallen_leaves_from_the_yard_.wav,0.527,0.606,0.079,y,1
168,plugged up,Experimental,24965,0.028328,Phrasal Verb,The sink is plugged up and needs fixing.,1,all_parts_combined_The_sink_is_plugged_up_and_needs_fixing_.wav,Stimuli/all_parts_combined_The_sink_is_plugged_up_and_needs_fixing_.wav,1.082,1.182,0.1,y,1
170,bent up,Experimental,27400,0.002506,Phrasal Verb,The tree bent up in the strong wind.,0,all_parts_combined_The_tree_bent_up_in_the_strong_wind_.wav,Stimuli/all_parts_combined_The_tree_bent_up_in_the_strong_wind_.wav,0.807,0.91,0.103,y,1
172,wraps up,Experimental,31440,0.034854,Phrasal Verb,She oftens wraps up the gifts with colorful paper.,1,all_parts_combined_She_oftens_wraps_up_the_gifts_with_colorful_paper_.wav,Stimuli/all_parts_combined_She_oftens_wraps_up_the_gifts_with_colorful_paper_.wav,0.993,1.097,0.104,y,1
174,fetched up,Experimental,35412,0.029748,Phrasal Verb,The dog fetched up the ball and brought it back.,0,all_parts_combined_The_dog_fetched_up_the_ball_and_brought_it_back_.wav,Stimuli/all_parts_combined_The_dog_fetched_up_the_ball_and_brought_it_back_.wav,0.834,0.894,0.06,y,1
176,penned up,Experimental,43081,0.054444,Phrasal Verb,They penned up the horses in the stable.,1,all_parts_combined_They_penned_up_the_horses_in_the_stable_.wav,Stimuli/all_parts_combined_They_penned_up_the_horses_in_the_stable_.wav,0.503,0.571,0.068,y,1
177,meeting up,Experimental,43343,8.58E-04,Phrasal Verb,They're meeting up at the café for a chat.,0,all_parts_combined_They_re_meeting_up_at_the_cafe_for_a_chat_.wav,Stimuli/all_parts_combined_They_re_meeting_up_at_the_cafe_for_a_chat_.wav,0.584,0.645,0.061,y,1
179,dragged up,Experimental,54433,0.011024,Phrasal Verb,She dragged up a chair to sit at the table.,1,all_parts_combined_She_dragged_up_a_chair_to_sit_at_the_table_.wav,Stimuli/all_parts_combined_She_dragged_up_a_chair_to_sit_at_the_table_.wav,0.755,0.817,0.062,y,1
181,geared up,Experimental,61290,0.040925,Phrasal Verb,They geared up for the intense competition.,1,all_parts_combined_They_geared_up_for_the_intense_competition_.wav,Stimuli/all_parts_combined_They_geared_up_for_the_intense_competition_.wav,0.771,0.883,0.112,y,1
184,ranging up,Experimental,66581,0.008506,Phrasal Verb,"He said that the price keeps fluctating, ranging up to three times its original value.",0,all_parts_combined_He_said_that_the_price_keeps_fluctating__ranging_up_to_three_times_its_original_value_.wav,Stimuli/all_parts_combined_He_said_that_the_price_keeps_fluctating__ranging_up_to_three_times_its_original_value_.wav,2.688,2.786,0.098,y,1
186,shake up,Experimental,80160,0.011137,Phrasal Verb,He didn't know what to do to shake up the industry.,1,all_parts_combined_He_didn_t_know_what_to_do_to_shake_up_the_industry_.wav,Stimuli/all_parts_combined_He_didn_t_know_what_to_do_to_shake_up_the_industry_.wav,1.415,1.475,0.06,y,1
