Verb,Up,Frequency,Predictability,Type,Corpus Size
coughed,up,66690,0.080676478,Phrasal Verb,
offering,up,88847,5.87E-03,Phrasal Verb,
matching,up,27456,0.004145078,Phrasal Verb,
fired,up,200671,0.02077799,Phrasal Verb,
scroll,up,25889,9.19E-03,Phrasal Verb,
keyed,up,80850,0.10573783,Phrasal Verb,
brace,up,23927,0.007396565,Phrasal Verb,
climbed,up,726088,1.20E-01,Phrasal Verb,
extended,up,43836,0.00170883,Phrasal Verb,
spoken,up,37957,0.002548978,Phrasal Verb,
rubbing,up,25138,0.009135334,Phrasal Verb,
tacked,up,41309,0.084585631,Phrasal Verb,
washed,up,265124,0.037058615,Phrasal Verb,
flowing,up,19183,0.002907494,Phrasal Verb,
scraping,up,24783,2.25E-02,Phrasal Verb,
flipped,up,34595,2.14E-02,Phrasal Verb,
finishing,up,155576,4.13E-02,Phrasal Verb,
divided,up,296575,0.012302929,Phrasal Verb,
clears,up,64469,0.082156465,Phrasal Verb,
sneaked,up,48512,1.10E-01,Phrasal Verb,
packing,up,147524,3.71E-02,Phrasal Verb,
reached,up,678549,0.014544703,Phrasal Verb,
weigh,up,59670,0.017931493,Phrasal Verb,
churning,up,27127,0.038342646,Phrasal Verb,
traveled,up,78738,0.010698793,Phrasal Verb,
rising,up,391818,0.022696657,Phrasal Verb,
sauntered,up,27088,0.069381158,Phrasal Verb,
measured,up,68810,0.002812314,Phrasal Verb,
cleaning,up,694997,0.103621011,Phrasal Verb,
creeps,up,34057,0.064442699,Phrasal Verb,
mixed,up,598207,2.94E-02,Phrasal Verb,
strolling,up,20981,0.025515205,Phrasal Verb,
charged,up,84121,4.98E-03,Phrasal Verb,
heaved,up,40456,0.04485721,Phrasal Verb,
scrambled,up,168267,0.100487727,Phrasal Verb,
lightened,up,18618,0.039355698,Phrasal Verb,
glided,up,22506,0.032358802,Phrasal Verb,
bumping,up,20899,0.036065031,Phrasal Verb,
pay,up,189202,0.003236223,Phrasal Verb,
laying,up,64198,0.012441661,Phrasal Verb,
swim,up,29188,0.007008684,Phrasal Verb,
closes,up,28198,0.010539201,Phrasal Verb,
dried,up,549750,0.062337565,Phrasal Verb,
step,up,389046,0.006630513,Phrasal Verb,
blows,up,85761,0.024490072,Phrasal Verb,
hit,up,26518,0.001017902,Phrasal Verb,
dig,up,318001,0.080375519,Phrasal Verb,
hold,up,1118752,0.020265761,Phrasal Verb,
flew,up,252397,0.035775706,Phrasal Verb,
proceeded,up,60024,0.008151732,Phrasal Verb,
typed,up,45729,0.019066898,Phrasal Verb,
rigged,up,85971,0.120784125,Phrasal Verb,
rip,up,35835,0.01713398,Phrasal Verb,
cook,up,72162,0.004376435,Phrasal Verb,
felt,up,27264,2.97E-04,Phrasal Verb,
drank,up,31618,6.19E-03,Phrasal Verb,
bid,up,64448,0.009605714,Phrasal Verb,
press,up,27975,2.09E-04,Phrasal Verb,
carry,up,67433,2.07E-03,Phrasal Verb,
done,up,239807,0.002256726,Phrasal Verb,
putting,up,613448,0.035873823,Phrasal Verb,
typing,up,19090,0.006231,Phrasal Verb,
size,up,20086,2.81E-04,Phrasal Verb,
sweeps,up,20340,0.019973,Phrasal Verb,
crowded,up,22736,0.003237,Phrasal Verb,
zip,up,24184,0.010942,Phrasal Verb,
plugged,up,24965,0.028328,Phrasal Verb,
feeling,up,26144,5.36E-04,Phrasal Verb,
bent,up,27400,0.002506,Phrasal Verb,
swam,up,30143,0.020709,Phrasal Verb,
wraps,up,31440,0.034854,Phrasal Verb,
wrinkled,up,31873,0.018825,Phrasal Verb,
fetched,up,35412,0.029748,Phrasal Verb,
slide,up,39633,0.004898,Phrasal Verb,
penned,up,43081,0.054444,Phrasal Verb,
meeting,up,43343,8.58E-04,Phrasal Verb,
mark,up,54003,0.001379,Phrasal Verb,
dragged,up,54433,0.011024,Phrasal Verb,
steamed,up,57266,0.052503,Phrasal Verb,
geared,up,61290,0.040925,Phrasal Verb,
reaches,up,63015,0.007185,Phrasal Verb,
dredged,up,64102,0.246382,Phrasal Verb,
ranging,up,66581,0.008506,Phrasal Verb,
leaping,up,77572,0.054159,Phrasal Verb,
shake,up,80160,0.011137,Phrasal Verb,
blocked,up,81739,0.017986,Phrasal Verb,
hooking,up,92519,0.35203,Phrasal Verb,
mount,up,96539,0.007624,Phrasal Verb,
stock,up,100515,0.002281,Phrasal Verb,
tighten,up,101867,0.078452,Phrasal Verb,
catches,up,113232,0.06789,Phrasal Verb,
using,up,154813,0.001158,Phrasal Verb,
thought,up,155458,9.17E-04,Phrasal Verb,
burn,up,166488,0.020363,Phrasal Verb,
buy,up,167032,0.005961,Phrasal Verb,
write,up,202377,0.003668,Phrasal Verb,
think,up,213738,0.001198,Phrasal Verb,
stirring,up,327096,0.07521,Phrasal Verb,
catching,up,477240,0.134968,Phrasal Verb,
