WordA,WordB,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,OverallFreq,CollegeFreq,LogOverallFreq,RelFreq,GenPref,Use?,Bin,Too weird?,Sentence,Sentence (WordA and WordB),Sentence (WordB and WordA)
minerals,vitamins,0,0,0,0,0,0,0.7793378411,0,0,0,179421,166,12.09749028,0.1422241544,0.5252009558,1,3,,The human body needs both X and Y in order to continue functioning properly.,The human body needs both minerals and vitamins in order to continue functioning properly.,The human body needs both vitamins and minerals in order to continue functioning properly.
fall,winter,0,0,0,0,0,1,0.5012240048,1,1,1,174361,162,12.06888314,0.9865795677,0.8576233666,1,3,,In the months during X and Y students tend to feel a bit sadder due to the cold and gloomy weather.,In the months during fall and winter students tend to feel a bit sadder due to the cold and gloomy weather.,In the months during winter and fall students tend to feel a bit sadder due to the cold and gloomy weather.
light,shadow,0,0,0,0,0,1,2.228753162,1,0,0,128575,119,11.76426767,0.9083569901,0.843771356,1,3,,It is important to consider both X and Y when creating a still life painting.,It is important to consider both light and shadow when creating a still life painting.,It is important to consider both shadow and light when creating a still life painting.
honey,milk,0,0,-1,0,0,0,-1.142214853,-1,-1,-1,113327,105,11.63803272,0.05635903183,0.2714798279,1,3,,Jack's mother gave him X and Y in order to calm him after a nightmare.,Jack's mother gave him honey and milk in order to calm him after a nightmare.,Jack's mother gave him milk and honey in order to calm him after a nightmare.
nose,throat,0,1,0,0,0,0,0.2461194963,0,0,0,101711,94,11.52989074,0.9214834187,0.5912625087,1,3,,Springtime allergies make my X and Y a lot more irritated than the rest of the year.,Springtime allergies make my nose and throat a lot more irritated than the rest of the year.,Springtime allergies make my throat and nose a lot more irritated than the rest of the year.
anger,fear,0,0,0,0,1,0,-1.078798158,-1,-1,-1,88323,82,11.38875583,0.4141843008,0.3886673264,1,3,,The abused dog showed both X and Y when animal control came to pick him up.,The abused dog showed both anger and fear when animal control came to pick him up.,The abused dog showed both fear and anger when animal control came to pick him up.
head,tail,0,1,0,0,0,0,2.409717583,0,0,0,73606,68,11.20648182,0.945126756,0.6465821078,1,3,,There were white spots on the X and Y of the tiny dog.,There were white spots on the head and tail of the tiny dog.,There were white spots on the tail and head of the tiny dog.
novels,stories,0,0,1,0,0,0,-1.342249901,0,0,0,70893,66,11.16892698,0.4949854005,0.5764881147,1,3,,The famous author had published many X and Y over the past twenty years.,The famous author had published many novels and stories over the past twenty years.,The famous author had published many stories and novels over the past twenty years.
sunrise,sunset,0,0,-1,0,0,1,-0.728136507,0,0,0,66190,61,11.10028467,0.7936848467,0.6862856152,1,3,,Andrew loved to be outside at X and Y during the summer months.,Andrew loved to be outside at sunrise and sunset during the summer months.,Andrew loved to be outside at sunset and sunrise during the summer months.
sympathy,understanding,0,1,0,0,0,0,-1.612695637,1,-1,0,66140,61,11.09952899,0.6837163592,0.6196520027,1,3,,Being a therapist requires a lot of X and Y because you often have to deal with people in rough patches.,Being a therapist requires a lot of sympathy and understanding because you often have to deal with people in rough patches.,Being a therapist requires a lot of understanding and sympathy because you often have to deal with people in rough patches.
shoes,socks,0,0,1,0,0,0,1.775546567,0,0,0,64752,60,11.07831987,0.7621540647,0.6562923569,1,3,,"When it rains, your X and Y become more of a nuisance than something to protect your feet.","When it rains, your shoes and socks become more of a nuisance than something to protect your feet.","When it rains, your socks and shoes become more of a nuisance than something to protect your feet."
equipment,personnel,0,-1,0,0,0,0,0.6506149688,1,-1,-1,64626,60,11.07637209,0.4141367252,0.4034939211,1,3,,The company had an appropriate amount of X and Y in order to make sure everyone at the event would be safe.,The company had an appropriate amount of equipment and personnel in order to make sure everyone at the event would be safe.,The company had an appropriate amount of personnel and equipment in order to make sure everyone at the event would be safe.
eyes,face,-1,0,0,0,0,0,-0.01194748673,0,0,0,61214,57,11.0221312,0.3126572353,0.4552082654,1,3,,The instructions in the lab ask you cover your X and Y when you operate any machinery.,The instructions in the lab ask you cover your eyes and face when you operate any machinery.,The instructions in the lab ask you cover your face and eyes when you operate any machinery.
ink,paper,0,-1,0,0,0,0,-2.540502241,1,1,1,58599,54,10.97847291,0.4722606188,0.4640570055,1,3,,All you need is X and Y in order to write the next great novel.,All you need is ink and paper in order to write the next great novel.,All you need is paper and ink in order to write the next great novel.
muscles,nerves,0,0,1,1,0,0,0.5667769084,-1,-1,-1,55557,52,10.9251648,0.4155551956,0.637875298,1,4,,Allison felt like her X and Y were on fire after running a marathon.,Allison felt like her muscles and nerves were on fire after running a marathon.,Allison felt like her nerves and muscles were on fire after running a marathon.
charts,maps,0,0,-1,0,0,0,-0.5741910211,0,0,0,51057,47,10.84069793,0.2401237832,0.3813495553,1,4,,Dr. Morganstern took out his X and Y in order to document where he found the last fossil.,Dr. Morganstern took out his charts and maps in order to document where he found the last fossil.,Dr. Morganstern took out his maps and charts in order to document where he found the last fossil.
elbows,knees,0,1,0,0,0,0,-1.653778594,-1,0,0,48397,45,10.78719311,0.4986879352,0.5044900399,1,4,,I hurt my X and Y when I fell off my longboard.,I hurt my elbows and knees when I fell off my longboard.,I hurt my knees and elbows when I fell off my longboard.
Christmas,Easter,0,0,1,0,0,1,1.316616204,0,0,0,47337,44,10.76504751,0.7871221243,0.8676505468,1,4,,The child decided that X and Y were her favorite holidays.,The child decided that Christmas and Easter were her favorite holidays.,The child decided that Easter and Christmas were her favorite holidays.
nature,size,0,-1,0,0,0,0,0.5400179435,-1,-1,-1,38101,35,10.54799581,0.3056350227,0.3333855503,1,4,,Sometimes it is hard to figure out the X and Y of a problem just from reading about it in the news.,Sometimes it is hard to figure out the nature and size of a problem just from reading about it in the news.,Sometimes it is hard to figure out the size and nature of a problem just from reading about it in the news.
gums,teeth,0,0,-1,0,0,0,-2.957066221,0,0,0,36148,34,10.4953769,0.1735365719,0.3224601315,1,4,,You should take care of your X and Y in order to have optimal dental hygiene.,You should take care of your gums and teeth in order to have optimal dental hygiene.,You should take care of your teeth and gums in order to have optimal dental hygiene.
chairs,sofas,0,1,1,0,0,0,2.962846871,1,1,1,35053,32,10.46461648,0.5607223348,0.8239760282,1,4,,The hoarder had many X and Y in their living room.,The hoarder had many chairs and sofas in their living room.,The hoarder had many sofas and chairs in their living room.
characters,situations,0,1,0,0,0,0,0.09166349177,1,-1,0,32957,31,10.40295896,0.8178839093,0.6621929996,1,4,,Cheryl considered the X and Y in the novel she was writing.,Cheryl considered the characters and situations in the novel she was writing.,Cheryl considered the situations and characters in the novel she was writing.
joy,pleasure,0,0,0,0,0,0,-0.2451198147,1,1,1,28376,26,10.253299,0.6589018889,0.6061903555,1,4,,Tucking yourself into bed provides a great sense of X and Y at the end of a long day.,Tucking yourself into bed provides a great sense of joy and pleasure at the end of a long day.,Tucking yourself into bed provides a great sense of pleasure and joy at the end of a long day.
Thursday,Tuesday,0,0,0,0,0,-1,-0.03347370254,0,0,0,27948,26,10.23810092,0.004758837842,0.2191393962,1,4,,Don's manager scheduled him for work on X and Y every week for the next month.,Don's manager scheduled him for work on Thursday and Tuesday every week for the next month.,Don's manager scheduled him for work on Tuesday and Thursday every week for the next month.
barley,oats,0,0,0,0,0,0,0.2217551962,-1,-1,-1,27431,25,10.21942904,0.4298056943,0.4010046587,1,4,,Susanne prepared X and Y for breakfast everyday for a week.,Susanne prepared barley and oats for breakfast everyday for a week.,Susanne prepared oats and barley for breakfast everyday for a week.
beauty,dignity,0,0,0,0,0,0,1.035649349,1,1,0,25267,23,10.13725448,0.5212728064,0.524487708,1,4,,The girl had both X and Y but was lacking intelligence.,The girl had both beauty and dignity but was lacking intelligence.,The girl had both dignity and beauty but was lacking intelligence.
boats,ships,0,1,-1,0,0,0,-0.7278199438,0,0,0,24996,23,10.12647109,0.3792606817,0.4565297055,1,4,,The pier was full of X and Y ready to take off on an adventure.,The pier was full of boats and ships ready to take off on an adventure.,The pier was full of ships and boats ready to take off on an adventure.
misery,pain,0,-1,0,0,0,0,-2.117628603,-2,-2,-1,24920,23,10.12342597,0.2792536116,0.2787398629,1,4,,The people experienced X and Y after they were shipwrecked for months.,The people experienced misery and pain after they were shipwrecked for months.,The people experienced pain and misery after they were shipwrecked for months.
bones,skulls,1,0,0,-1,0,0,2.505134591,0,0,0,19232,18,9.864330837,0.3933548253,0.4976683064,1,4,,Scientists study the X and Y of long-extinct animal species.,Scientists study the bones and skulls of long-extinct animal species.,Scientists study the skulls and bones of long-extinct animal species.
dairy,poultry,0,0,0,0,0,0,0.386569124,0,0,0,13945,13,9.5428763,0.6899964145,0.5145592932,1,5,,You will often find X and Y close to each other in the refrigerated aisle of the grocery store.,You will often find dairy and poultry close to each other in the refrigerated aisle of the grocery store.,You will often find poultry and dairy close to each other in the refrigerated aisle of the grocery store.
being,existence,0,0,0,0,0,0,1.98018235,0,0,0,12923,12,9.466763949,0.5259614641,0.5575544852,1,5,,The girl questioned her X and Y when she went to her last therapy session.,The girl questioned her being and existence when she went to her last therapy session.,The girl questioned her existence and being when she went to her last therapy session.
radar,radio,0,0,-1,0,0,-1,-1.969784628,1,0,0,12445,12,9.429074215,0.3183607875,0.1450859679,1,5,,The soldiers used X and Y to plan their next moves.,The soldiers used radar and radio to plan their next moves.,The soldiers used radio and radar to plan their next moves.
humility,pride,0,0,0,0,-1,0,-1.628654968,-2,-2,-1,12307,11,9.417923485,0.3033233119,0.340514317,1,5,,It is hard to have both X and Y when one is rich and famous.,It is hard to have both humility and pride when one is rich and famous.,It is hard to have both pride and humility when one is rich and famous.
pitch,volume,0,0,0,-1,0,0,-1.796795148,1,1,1,10617,10,9.270211769,0.6652538382,0.442923092,1,5,,Musicians pride themselves on being able to adjust X and Y in order to produce art.,Musicians pride themselves on being able to adjust pitch and volume in order to produce art.,Musicians pride themselves on being able to adjust volume and pitch in order to produce art.
skirt,sweater,0,-1,0,0,0,0,0.8327415444,1,1,1,9969,9,9.207235557,0.5119871602,0.5553103698,1,5,,Clarissa chose the X and Y she would wear for her first day of school.,Clarissa chose the skirt and sweater she would wear for her first day of school.,Clarissa chose the sweater and skirt she would wear for her first day of school.
linen,silk,0,0,1,-1,0,0,-0.8000476749,-1,-1,-1,9625,9,9.172119159,0.4578701299,0.3620193578,1,5,,Betthany put her X and Y shirts into the wash and they all shrank.,Betthany put her linen and silk shirts into the wash and they all shrank.,Betthany put her silk and linen shirts into the wash and they all shrank.
checks,money,-1,0,0,0,0,0,-2.713624657,1,1,1,7950,7,8.980927208,0.7950943396,0.4921815582,1,5,,Graham disliked handling X and Y so he decided not to run for treasurer of the club.,Graham disliked handling checks and money so he decided not to run for treasurer of the club.,Graham disliked handling money and checks so he decided not to run for treasurer of the club.
calluses,corns,0,0,0,0,-1,0,-0.6093399811,-2,-2,-1,5405,5,8.59507973,0.1800185014,0.3657820919,1,5,,The grandmother had a lot of X and Y on her feet which made it difficult to walk.,The grandmother had a lot of calluses and corns on her feet which made it difficult to walk.,The grandmother had a lot of corns and calluses on her feet which made it difficult to walk.
action,motion,-1,0,0,0,0,0,1.105466926,0,0,0,5237,5,8.563504094,0.3971739546,0.4854162821,1,5,,All of the X and Y in the 3D film made some viewers dizzy.,All of the action and motion in the 3D film made some viewers dizzy.,All of the motion and action in the 3D film made some viewers dizzy.
brain,intelligence,0,1,0,0,0,0,0.3370991241,2,2,1,5151,5,8.54694615,0.7553873034,0.6878363732,1,5,,The committee admired the applicant's X and Y so much that they decided to award her the prize.,The committee admired the applicant's brain and intelligence so much that they decided to award her the prize.,The committee admired the applicant's intelligence and brain so much that they decided to award her the prize.
conduct,manners,-1,1,0,0,0,0,1.405433363,0,0,0,5138,5,8.544419178,0.3956792526,0.5745377992,1,5,,"At a job interview, your X and Y can matter as much as your qualifications.","At a job interview, your conduct and manners can matter as much as your qualifications.","At a job interview, your manners and conduct can matter as much as your qualifications."
completeness,unity,0,0,0,0,0,0,-2.214478222,1,1,0,4700,4,8.455317788,0.2319148936,0.4366479985,1,5,,I often feel a sense of X and Y after completing a tedious group project.,I often feel a sense of completeness and unity after completing a tedious group project.,I often feel a sense of unity and completeness after completing a tedious group project.
hostility,indifference,0,-1,0,0,1,0,0.1638398063,0,0,0,4279,4,8.361474616,0.3136246787,0.4495317143,1,5,,A lot of people feel X and Y from large bureaucratic institutions.,A lot of people feel hostility and indifference from large bureaucratic institutions.,A lot of people feel indifference and hostility from large bureaucratic institutions.
depth,force,0,0,0,-1,0,0,-1.487446969,0,0,0,4062,4,8.309430742,0.6159527326,0.3458411786,1,5,,The newspaper reported on the X and Y of the earthquake that had surprised the city the night before.,The newspaper reported on the depth and force of the earthquake that had surprised the city the night before.,The newspaper reported on the force and depth of the earthquake that had surprised the city the night before.
hours,miles,0,-1,0,0,0,0,0.2362661919,0,0,0,3820,4,8.248005702,0.4136125654,0.4294142607,1,6,,It takes many X and Y to drive between Los Angeles and Santa Barbara.,It takes many hours and miles to drive between Los Angeles and Santa Barbara.,It takes many miles and hours to drive between Los Angeles and Santa Barbara.
movements,speech,0,-1,1,0,0,0,-0.5870834941,-1,-1,-1,3639,3,8.199464198,0.611431712,0.4067359673,1,6,,Natalie studied the X and Y of young children in her development psychology class.,Natalie studied the movements and speech of young children in her development psychology class.,Natalie studied the speech and movements of young children in her development psychology class.
schools,synagogues,0,0,1,0,0,0,4.247925511,2,0,0,3291,3,8.098946749,0.4080826497,0.7694439905,1,6,,There are some places that have X and Y within the same vicinity.,There are some places that have schools and synagogues within the same vicinity.,There are some places that have synagogues and schools within the same vicinity.
arrangers,composers,0,0,0,-1,0,0,-3.617072484,0,0,0,3127,3,8.047829357,0.1794051807,0.2955571946,1,6,,The work of many X and Y went into producing the soundtrack.,The work of many arrangers and composers went into producing the soundtrack.,The work of many composers and arrangers went into producing the soundtrack.
happiness,laughter,0,-1,0,0,0,0,0.551352704,-1,-1,0,3072,3,8.030084094,0.4137369792,0.4453800531,1,6,,"When you are with the one you love, X and Y should be common occurences.","When you are with the one you love, happiness and laughter should be common occurences.","When you are with the one you love, laughter and happiness should be common occurences."
diagrams,sketches,0,0,0,0,0,0,-0.01971923041,-1,1,1,2961,3,7.993282328,0.391421817,0.5413590985,1,6,,The architect had many X and Y to show her client.,The architect had many diagrams and sketches to show her client.,The architect had many sketches and diagrams to show her client.
pail,shovel,0,0,-1,0,0,0,-0.4450422912,1,1,1,2855,3,7.956827122,0.8217162872,0.4929601955,1,6,,Cassie's parents packed the X and Y in order to be able to build sand castles at the beach.,Cassie's parents packed the pail and shovel in order to be able to build sand castles at the beach.,Cassie's parents packed the shovel and pail in order to be able to build sand castles at the beach.
candies,cookies,0,0,0,0,0,0,-1.80479814,0,0,0,2837,3,7.950502435,0.3524850194,0.4552146549,1,6,,Stephen's parents banned X and Y from the house because he kept getting cavities.,Stephen's parents banned candies and cookies from the house because he kept getting cavities.,Stephen's parents banned cookies and candies from the house because he kept getting cavities.
county,village,0,0,-1,0,0,0,0.6919926698,0,0,0,2834,3,7.94944442,0.4290755116,0.4142610898,1,6,,The nearby X and Y faced constant threats from their neighbhors.,The nearby county and village faced constant threats from their neighbhors.,The nearby village and county faced constant threats from their neighbhors.
charm,variety,0,0,0,0,0,-1,-1.785663846,2,2,1,2705,3,7.902857191,0.4377079482,0.2592383268,1,6,,Anthony missed the X and Y of living in a big city.,Anthony missed the charm and variety of living in a big city.,Anthony missed the variety and charm of living in a big city.
bouquets,wreaths,0,0,1,0,0,0,-0.437635781,0,0,0,2269,2,7.727094485,0.3759365359,0.6002652535,1,6,,"At certain times of year, X and Y are often gifted to neighbors as tokens of appreciation.","At certain times of year, bouquets and wreaths are often gifted to neighbors as tokens of appreciation.","At certain times of year, wreaths and bouquets are often gifted to neighbors as tokens of appreciation."
beech,elm,0,0,0,0,0,0,-0.2677026189,0,0,0,1837,2,7.515889085,0.6075122482,0.4968078927,1,6,,"During the spring, X and Y trees can to cause some people severe allergies.","During the spring, beech and elm trees can to cause some people severe allergies.","During the spring, elm and beech trees can to cause some people severe allergies."
complexity,obscurity,0,0,0,0,0,1,1.794422938,0,0,0,1319,1,7.184629153,0.6504927976,0.8167414152,1,6,,The student found that the X and Y of her research topic made the project difficult.,The student found that the complexity and obscurity of her research topic made the project difficult.,The student found that the obscurity and complexity of her research topic made the project difficult.
devotion,effort,0,-1,0,0,0,0,-1.819249948,0,0,0,1231,1,7.115582126,0.3103168156,0.375810047,1,6,,The intern was praised for her X and Y after the big event went off without a hitch.,The intern was praised for her devotion and effort after the big event went off without a hitch.,The intern was praised for her effort and devotion after the big event went off without a hitch.
alibis,excuses,0,1,0,0,0,0,-2.954388691,-1,1,1,1103,1,7.005789019,0.5494106981,0.5432495424,1,6,,The student was always full of X and Y for why she didn't come to class.,The student was always full of alibis and excuses for why she didn't come to class.,The student was always full of excuses and alibis for why she didn't come to class.
body,mind,0,1,0,0,0,0,0.1330903625,-1,-1,-1,820530,761,13.61770575,0.4173046689,0.4788311324,0,2,,She talked about the importance of keeping your X and Y super healthy and strong.,She talked about the importance of keeping your body and mind super healthy and strong.,She talked about the importance of keeping your mind and body super healthy and strong.
man,woman,0,0,0,1,0,0,1.177898817,1,1,1,731849,678,13.50332949,0.9605779334,0.7461141907,0,2,,He noticed that both the X and Y had green sneakers on.,He noticed that both the man and woman had green sneakers on.,He noticed that both the woman and man had green sneakers on.
law,order,0,1,0,0,0,1,-0.05670545328,1,1,1,682080,632,13.43290223,0.9852172766,0.8870848891,0,2,,There was a lack of X and Y that caused some chaos.,There was a lack of law and order that caused some chaos.,There was a lack of order and law that caused some chaos.
cause,effect,0,0,0,0,0,1,-0.2920141354,0,0,0,679208,630,13.42868269,0.9893920566,0.78038961,0,2,,"Ryan was uncertain about the X and Y of inflation, so he did some research about it online.","Ryan was uncertain about the cause and effect of inflation, so he did some research about it online.","Ryan was uncertain about the effect and cause of inflation, so he did some research about it online."
radio,television,0,0,-1,0,0,0,0.1251632775,1,1,1,651263,604,13.38666883,0.744326025,0.5084331119,0,2,,Tania wanted to work in both X and Y and couldn't decide which she liked more.,Tania wanted to work in both radio and television and couldn't decide which she liked more.,Tania wanted to work in both television and radio and couldn't decide which she liked more.
b,c,0,0,0,0,0,1,-0.06306300088,0,0,0,617842,573,13.33398804,0.9447107837,0.7846192684,0,2,yes,,,
feet,hands,0,-1,0,0,0,0,-0.04384407845,0,0,0,574548,533,13.26133892,0.117742991,0.4219806788,0,2,,The child's X and Y were numb from playing in the snow.,The child's feet and hands were numb from playing in the snow.,The child's hands and feet were numb from playing in the snow.
money,time,0,0,0,0,0,0,-1.823941142,-1,-1,-1,572131,530,13.25712327,0.1033696828,0.3490212064,0,2,,The amount of X and Y required to fix up the old car made it quite the project.,The amount of money and time required to fix up the old car made it quite the project.,The amount of time and money required to fix up the old car made it quite the project.
