ngram,count
fall	and	winter,1168815
family	and	neighborhood,21303
farms	and	fields,19482
father	and	mother,988002
father	and	son,1233657
father	and	uncle,121246
fathers	and	mothers,235736
fear	and	relief,3824
fear	and	want,7885
feelings	and	thoughts,351401
feet	and	hands,203214
feet	and	heads,5485
feet	and	legs,232472
female	and	male,688937
fiction	and	poetry,124316
field	and	stream,38352
fields	and	homes,3664
figures	and	words,3369
file	and	rank,1303
fingers	and	mouth,3686
fingers	and	thumb,46224
fire	and	light,27918
fire	and	police,191575
firepower	and	speed,1934
fish	and	vegetable,26752
fits	and	starts,209344
flame	and	smoke,20012
flames	and	smoke,49983
flames	and	sparks,4969
flesh	and	skin,21748
flight	and	terror,184
flowers	and	hearts,7190
flowers	and	herbs,78825
flowers	and	plants,318852
fog	and	mist,25007
folklore	and	legend,7720
food	and	shelter,489454
force	and	violence,52222
foreboding	and	gloom,191
forefinger	and	thumb,25537
fork	and	spoon,49493
forms	and	materials,27160
fragrance	and	taste,12597
freedom	and	security,69205
friends	and	partners,133173
friends	and	relations,120418
fruit	and	nuts,139629
fruits	and	vegetables,5187664
fulfillment	and	pleasure,2174
fun	and	games,676382
fun	and	pleasure,37193
fungicides	and	insecticides,11292
funnels	and	masts,594
fury	and	pain,2164
future	and	past,66793
gaiety	and	spirit,164
gambling	and	vice,1630
games	and	races,7114
gardens	and	lawn,4283
gas	and	light,8572
gas	and	oil,537534
generalists	and	specialists,11547
gentlemen	and	ladies,38543
gentleness	and	sweetness,1355
gin	and	tonic,276351
glass	and	rubber,6619
glass	and	steel,131144
god	and	man,332802
goods	and	services,6087249
grace	and	modesty,1123
grains	and	seeds,34653
grapefruit	and	oranges,6100
gratitude	and	joy,38002
grease	and	sweat,3433
groups	and	individuals,493755
guidance	and	information,82283
gums	and	teeth,123971
habitat	and	habits,1985
habits	and	movements,2475
habits	and	thought,7911
hair	and	skin,435430
hallucinations	and	visions,1789
hands	and	knees,573931
happiness	and	laughter,19125
happiness	and	pain,7806
happiness	and	warmth,8804
hardships	and	trials,8415
head	and	shoulders,806220
head	and	tail,397004
head	and	teeth,2634
health	and	spirits,20307
hearing	and	sight,30274
heart	and	mind,824749
heir	and	son,1139
help	and	understanding,25351
history	and	identity,52235
honey	and	milk,28414
horses	and	wagons,14411
hostility	and	indifference,1870
hotels	and	pensions,4479
hours	and	miles,11172
houses	and	shops,52229
humility	and	pride,6145
husband	and	wife,2309178
husbands	and	wives,291211
ice	and	snow,649804
ice	and	water,158634
illinois	and	missouri,32582
imagination	and	originality,6146
importance	and	validity,3600
improvements	and	land,1806
inclination	and	time,1499
individualism	and	socialism,978
influence	and	power,117705
influence	and	prestige,8578
information	and	material,56037
initials	and	names,1731
ink	and	paper,100180
integrity	and	unity,8530
interest	and	payments,5711
intonation	and	phrasing,1752
investment	and	risk,31116
iron	and	wood,25557
irony	and	satire,7850
jacket	and	trousers,37869
jams	and	jellies,99512
jaws	and	teeth,24946
joy	and	pleasure,79903
july	and	june,11943
kind	and	quantity,9889
kingston	and	montreal,2649
kitchen	and	pantry,26225
knowledge	and	skills,3478607
labor	and	money,13986
laborers	and	servants,1402
land	and	sea,575345
landings	and	takeoffs,18439
law	and	order,1955302
law	and	sovereignty,3399
leather	and	paper,6067
leaves	and	limbs,3868
lecturer	and	writer,11591
left	and	right,6417146
legs	and	torso,31094
length	and	quality,44471
length	and	weight,85948
letters	and	magazines,1510
liberalism	and	progress,584
libraries	and	museums,68324
life	and	promise,4388
life	and	religion,16389
light	and	shadow,449555
light	and	sound,342646
linen	and	silk,18209
liquids	and	powders,9105
location	and	size,152619
love	and	veneration,3690
machinery	and	power,7367
machinery	and	tractors,2218
magazines	and	newspapers,327083
magic	and	superstition,7790
malaria	and	typhoid,10355
mamma	and	papa,3131
man	and	nature,164228
man	and	wife,148376
man	and	woman,1399977
math	and	science,1019599
meaning	and	origin,114828
means	and	motives,2706
men	and	objects,747
men	and	officers,26303
men	and	women,25053483
methods	and	principles,40983
minerals	and	vitamins,402365
misery	and	pain,20880
money	and	numbers,4618
money	and	papers,1990
money	and	time,1507127
months	and	years,876872
moon	and	sun,91480
morning	and	night,355484
mother	and	son,332487
mouth	and	nostrils,12362
movements	and	positions,13123
movements	and	speech,5599
mr.	and	mrs.,0
muscles	and	nerves,86531
muskets	and	swords,1274
name	and	year,33333
names	and	numbers,215208
nationalism	and	sovereignty,1236
nature	and	size,35451
needle	and	thread,216536
neighborhood	and	school,13045
nights	and	weekends,272407
nitrogen	and	oxygen,94118
north	and	south,3479089
north	and	west,537177
nose	and	throat,509747
novelist	and	poet,42856
novels	and	stories,56150
novels	and	tales,3923
order	and	truth,1697
organizations	and	states,9431
pad	and	pencil,19425
pail	and	shovel,4220
pain	and	pressure,58213
pain	and	shame,26518
palm	and	pine,3219
paper	and	pen,137281
paris	and	washington,10680
pattern	and	sequence,2685
peace	and	quiet,1170656
pepper	and	salt,197214
personnel	and	ships,1328
piano	and	violin,70994
pies	and	puddings,4602
pilot	and	plane,2436
pitch	and	volume,25265
place	and	time,575515
plans	and	projects,76765
poetry	and	prose,225964
politics	and	religion,198406
power	and	resources,97010
power	and	scope,13235
power	and	trade,3516
power	and	variety,3320
powers	and	processes,1638
pressure	and	temperature,421948
prose	and	verse,51901
radar	and	radio,10164
radio	and	television,1146806
receivers	and	senders,1827
research	and	training,436883
resources	and	riches,1424
rights	and	wrongs,119994
river	and	sky,2511
rock	and	roll,3179056
rudder	and	stick,287
sailors	and	soldiers,24599
school	and	service,4030
schools	and	synagogues,5797
science	and	tactics,4997
searching	and	yearning,1287
secrecy	and	stealth,846
ships	and	weapons,11397
shirt	and	waistcoat,2527
shoes	and	socks,184664
shooting	and	yelling,810
shots	and	shouts,618
shower	and	tub,42718
sidewalks	and	streets,31641
sights	and	sounds,741009
silence	and	space,5400
skirt	and	sweater,6098
snow	and	water,30220
soil	and	topography,3854
soldiers	and	subjects,550
son	and	wife,49058
south	and	west,606811
spring	and	summer,2343538
statesmen	and	warriors,673
stress	and	tension,204341
stucco	and	wood,3687
sun	and	weather,14815
sunrise	and	sunset,432260
sympathy	and	understanding,35428
teaching	and	writing,69377
technology	and	time,12664
tensions	and	uncertainties,2134
testament	and	will,1982
thursday	and	tuesday,3102
tories	and	whigs,1650
transportation	and	utilities,46987
trees	and	underbrush,7563
turns	and	twists,29777
vinegar	and	water,217216
wisdom	and	wit,13441
30s	and	20s,3865
m.a.	and	a.b.,0
humiliation	and	abasement,418
age	and	ability,85322
desire	and	ability,62556
strength	and	ability,88270
emancipation	and	abolition,527
character	and	action,9989
conversation	and	action,11163
mind	and	action,9423
motion	and	action,6185
feelings	and	actions,96975
character	and	activities,2304
places	and	activities,42414
nature	and	activity,3629
names	and	addresses,425862
romance	and	adventure,34855
asia	and	africa,542460
day	and	age,2614313
individuals	and	agencies,22678
hostility	and	aggression,10672
contracts	and	agreements,81617
ends	and	aims,2876
ships	and	aircraft,65966
excuses	and	alibis,793
myrrh	and	aloes,8556
weapons	and	ammo,36613
baggage	and	ammunition,387
guns	and	ammunition,97659
anxiety	and	anger,52691
fear	and	anger,163749
hatred	and	anger,39937
indignation	and	anger,4920
spite	and	anger,2936
pain	and	anguish,97413
rage	and	anguish,4020
psychology	and	anthropology,17098
dismay	and	anxiety,494
fear	and	apprehension,28155
terror	and	apprehension,807
geologists	and	archaeologists,2001
piers	and	arches,1612
debate	and	argument,10238
california	and	arizona,89369
back	and	arm,26281
faces	and	arms,6221
hands	and	arms,261514
legs	and	arms,324620
composers	and	arrangers,13411
strychnine	and	arsenic,689
mortar	and	artillery,11465
critic	and	artist,3063
crafts	and	arts,24665
sciences	and	arts,104938
maple	and	ash,7605
enterprises	and	associations,2179
dignity	and	assurance,373
geology	and	astronomy,6397
civility	and	attention,438
experience	and	attitude,13631
repulsions	and	attractions,391
uncle	and	aunt,126137
uncles	and	aunts,90994
force	and	authority,4807
independence	and	authority,5617
camellias	and	azaleas,3390
c	and	b,154764
nineveh	and	babylon,3433
behind	and	back,1720
hips	and	back,41700
shoulders	and	back,127021
intelligence	and	background,997
interest	and	background,9513
coffee	and	bacon,11554
eggs	and	bacon,125732
insects	and	bacteria,6607
outlaws	and	bandits,1427
grill	and	bar,32303
towboats	and	barges,1029
oats	and	barley,31363
boxes	and	barrels,5374
slippers	and	bathrobe,1550
bloodshed	and	battle,550
brains	and	beauty,13153
color	and	beauty,30719
dignity	and	beauty,9276
inspiration	and	beauty,7041
poise	and	beauty,2602
truth	and	beauty,79590
youth	and	beauty,65961
elm	and	beech,1458
existence	and	being,8614
chest	and	belly,34349
frankfurt	and	berlin,6262
murder	and	betrayal,6855
disappointment	and	bitterness,2765
white	and	black,1101659
hate	and	blame,5434
flesh	and	blood,891682
guts	and	blood,4877
leaf	and	blossom,1981
hotels	and	boardinghouses,1163
ships	and	boats,43907
faces	and	bodies,60258
breath	and	body,28626
face	and	body,592141
head	and	body,315031
mind	and	body,2180078
missiles	and	bombers,5077
flesh	and	bone,118188
muscle	and	bone,163466
skulls	and	bones,30026
jacket	and	boots,15281
shoes	and	boots,145242
loneliness	and	boredom,14200
ledges	and	boulders,901
wreaths	and	bouquets,2190
water	and	bourbon,672
girls	and	boys,1107971
men	and	boys,455584
intelligence	and	brain,4320
talent	and	brains,2421
butter	and	bread,15263
cheese	and	bread,63110
dinner	and	breakfast,107746
luncheon	and	breakfast,258
glass	and	brick,6522
groom	and	bride,78361
mother	and	brother,186339
sister	and	brother,236909
sisters	and	brothers,333637
cheeks	and	brow,2575
logs	and	brush,2913
trees	and	brush,50971
india	and	burma,23393
vines	and	bushes,3954
d.	and	c.,0
pies	and	cakes,33320
corns	and	calluses,27368
cookies	and	candies,17314
leader	and	captain,6058
endearments	and	caresses,48
horses	and	cattle,65742
consequence	and	cause,1530
effect	and	cause,20122
walls	and	ceiling,266326
ritual	and	celebration,2927
dollars	and	cents,192719
order	and	certainty,1661
security	and	certainty,10389
embarrassment	and	chagrin,396
table	and	chair,161890
sofas	and	chairs,74281
table	and	chairs,725293
wisdom	and	character,4778
situations	and	characters,17157
variety	and	charm,1171
maps	and	charts,61594
money	and	checks,3165
stomach	and	chest,30062
husband	and	child,44106
wife	and	child,254987
infancy	and	childhood,63046
decision	and	choice,8586
sawing	and	chopping,1123
easter	and	christmas,62771
glass	and	chrome,14706
community	and	church,43573
graveyard	and	church,821
country	and	city,71197
county	and	city,241199
state	and	city,245384
precision	and	clarity,22528
friends	and	classmates,119323
wax	and	clay,2392
stereotypes	and	cliches,3890
pictures	and	clippings,1199
drawers	and	closets,20340
dishes	and	clothes,11289
hat	and	coat,37664
salmon	and	cod,8786
sandwiches	and	coffee,15796
toast	and	coffee,23423
school	and	college,1604989
university	and	college,236556
mrs.	and	colonel,0
imagery	and	color,3796
light	and	color,146897
scent	and	color,7908
texture	and	color,171076
forms	and	colors,33228
wattles	and	comb,718
humor	and	comedy,7437
satire	and	comedy,6021
companionship	and	comfort,5551
ease	and	comfort,296088
goings	and	comings,4860
control	and	command,33360
statements	and	commands,1605
materialism	and	commercialism,870
unity	and	completeness,1601
obscurity	and	complexity,465
control	and	comprehension,995
lexington	and	concord,69689
steel	and	concrete,165752
manners	and	conduct,2177
congestion	and	confusion,1584
fear	and	confusion,78737
turmoil	and	confusion,8486
contradictions	and	confusions,1696
religion	and	conscience,9559
friend	and	contemporary,8227
dilatation	and	contraction,745
dilation	and	contraction,2905
growth	and	control,10828
intelligence	and	control,6881
crime	and	corruption,141145
upkeep	and	cost,1136
masks	and	costumes,26183
tobacco	and	cotton,11931
governor	and	council,19613
harmony	and	counterpoint,14932
towns	and	counties,41120
village	and	county,3178
hope	and	courage,55093
uncles	and	cousins,147584
nooks	and	crannies,634054
peaches	and	cream,81820
poverty	and	crime,50480
punishment	and	crime,1833
violence	and	crime,82374
problems	and	crises,8919
livestock	and	crops,23753
dilatation	and	curettage,15829
wounds	and	cuts,12985
tumors	and	cysts,8480
poultry	and	dairy,25994
threat	and	danger,10180
light	and	dark,1011114
events	and	dates,20776
son	and	daughter,494395
night	and	day,1234658
nights	and	days,54860
years	and	days,10985
life	and	death,3024676
discussion	and	debate,221843
may	and	december,31894
liberty	and	democracy,34666
doctor	and	dentist,26778
force	and	depth,2022
misery	and	desolation,1383
futility	and	despair,1572
rage	and	despair,15591
removal	and	detection,1114
police	and	detective,4037
faith	and	determination,17243
practice	and	development,23154
research	and	development,8352560
effort	and	devotion,5299
treatment	and	diagnosis,56090
sketches	and	diagrams,5430
rubies	and	diamonds,13044
sweat	and	dirt,28256
moderation	and	discretion,509
thought	and	discussion,45699
indifference	and	disdain,915
pain	and	distress,73304
fathers	and	doctors,8154
men	and	dogs,11062
influence	and	domination,1903
windows	and	doorways,41018
fears	and	doubts,76601
suspicions	and	doubts,2163
plans	and	dreams,38281
monotony	and	drudgery,634
eyes	and	ears,983688
hair	and	ears,6834
sky	and	earth,32545
historian	and	economist,2199
publishing	and	editing,13242
publisher	and	editor,62904
industrialization	and	education,491
skill	and	education,10034
resources	and	effort,28613
ham	and	eggs,35147
europe	and	egypt,4567
knees	and	elbows,95654
purity	and	elegance,5556
force	and	eloquence,1118
meaning	and	emotion,15907
odds	and	ends,533630
money	and	energy,288291
scientists	and	engineers,704175
german	and	english,250688
warmth	and	enthusiasm,13601
heredity	and	environment,18808
personnel	and	equipment,126222
trial	and	error,3072836
omissions	and	errors,9446
morning	and	evening,955704
sundays	and	evenings,1553
everything	and	everybody,72849
precept	and	example,10486
fatigue	and	excitement,1186
time	and	expense,325441
reactions	and	experiences,4051
face	and	eyes,89969
hair	and	eyes,137753
figure	and	face,4340
industries	and	factories,10728
figures	and	facts,16615
techniques	and	facts,898
moderation	and	fairness,429
life	and	faith,70306
love	and	faith,96870
rise	and	fall,1956398
winter	and	fall,37978
neighborhood	and	family,5711
fields	and	farms,17108
mother	and	father,2021653
son	and	father,30938
uncle	and	father,13188
mothers	and	fathers,691621
relief	and	fear,2406
want	and	fear,4461
thoughts	and	feelings,1851777
hands	and	feet,1545828
heads	and	feet,9941
legs	and	feet,390124
male	and	female,5505915
poetry	and	fiction,75937
stream	and	field,597
homes	and	fields,5746
words	and	figures,13007
rank	and	file,628577
mouth	and	fingers,4757
thumb	and	fingers,37163
light	and	fire,18718
police	and	fire,674802
speed	and	firepower,5412
vegetable	and	fish,9460
starts	and	fits,1228
smoke	and	flame,20570
smoke	and	flames,78688
sparks	and	flames,6177
skin	and	flesh,48389
terror	and	flight,347
hearts	and	flowers,44236
herbs	and	flowers,101417
plants	and	flowers,511805
mist	and	fog,34176
legend	and	folklore,8655
shelter	and	food,96609
violence	and	force,10646
gloom	and	foreboding,684
thumb	and	forefinger,198089
spoon	and	fork,32962
materials	and	forms,20642
taste	and	fragrance,10931
security	and	freedom,49872
partners	and	friends,101533
relations	and	friends,20394
nuts	and	fruit,36679
vegetables	and	fruits,922498
pleasure	and	fulfillment,7218
games	and	fun,62539
pleasure	and	fun,20887
insecticides	and	fungicides,17121
masts	and	funnels,804
pain	and	fury,4475
past	and	future,912694
spirit	and	gaiety,186
vice	and	gambling,735
races	and	games,4675
lawn	and	gardens,12536
light	and	gas,4705
oil	and	gas,10526552
specialists	and	generalists,9343
ladies	and	gentlemen,1264542
sweetness	and	gentleness,1942
tonic	and	gin,1432
rubber	and	glass,4562
steel	and	glass,145556
man	and	god,95104
services	and	goods,135994
modesty	and	grace,989
seeds	and	grains,30775
oranges	and	grapefruit,16745
joy	and	gratitude,82315
sweat	and	grease,2962
individuals	and	groups,815655
information	and	guidance,271850
teeth	and	gums,622590
habits	and	habitat,4468
movements	and	habits,4359
thought	and	habits,943
skin	and	hair,780137
visions	and	hallucinations,3310
knees	and	hands,20436
laughter	and	happiness,23976
pain	and	happiness,9879
warmth	and	happiness,23184
trials	and	hardships,17091
shoulders	and	head,31290
tail	and	head,18732
teeth	and	head,3544
spirits	and	health,2267
sight	and	hearing,84534
mind	and	heart,589021
son	and	heir,172119
understanding	and	help,27976
identity	and	history,26717
milk	and	honey,304575
wagons	and	horses,5085
indifference	and	hostility,2720
pensions	and	hotels,1090
miles	and	hours,11141
shops	and	houses,29092
pride	and	humility,13184
wife	and	husband,77545
wives	and	husbands,38549
snow	and	ice,1303430
water	and	ice,189522
missouri	and	illinois,47560
originality	and	imagination,4070
validity	and	importance,5192
land	and	improvements,15175
time	and	inclination,52369
socialism	and	individualism,532
power	and	influence,604596
prestige	and	influence,13710
material	and	information,156291
names	and	initials,17023
paper	and	ink,132025
unity	and	integrity,34641
payments	and	interest,30815
phrasing	and	intonation,1779
risk	and	investment,17553
wood	and	iron,36499
satire	and	irony,6131
trousers	and	jacket,6971
jellies	and	jams,17429
teeth	and	jaws,45683
pleasure	and	joy,46281
june	and	july,774093
quantity	and	kind,6767
montreal	and	kingston,8980
pantry	and	kitchen,8230
skills	and	knowledge,2379190
money	and	labor,19429
servants	and	laborers,1948
sea	and	land,144277
takeoffs	and	landings,88469
order	and	law,11705
sovereignty	and	law,1670
paper	and	leather,6230
limbs	and	leaves,7791
writer	and	lecturer,26651
right	and	left,1828027
torso	and	legs,32523
quality	and	length,34815
weight	and	length,72182
magazines	and	letters,1020
progress	and	liberalism,313
museums	and	libraries,52794
promise	and	life,699
religion	and	life,12984
shadow	and	light,61569
sound	and	light,221513
silk	and	linen,16758
powders	and	liquids,11129
size	and	location,325873
veneration	and	love,1255
power	and	machinery,4816
tractors	and	machinery,6659
newspapers	and	magazines,618440
superstition	and	magic,3197
typhoid	and	malaria,3905
papa	and	mamma,5833
nature	and	man,44568
wife	and	man,1279
woman	and	man,95030
science	and	math,359308
origin	and	meaning,76529
motives	and	means,2230
objects	and	men,1495
officers	and	men,254947
women	and	men,3725893
principles	and	methods,142553
vitamins	and	minerals,2872275
pain	and	misery,74030
numbers	and	money,9191
papers	and	money,2656
time	and	money,8116487
years	and	months,45800
sun	and	moon,676440
night	and	morning,64742
son	and	mother,18752
nostrils	and	mouth,8672
positions	and	movements,19132
speech	and	movements,2404
mrs.	and	mr.,0
nerves	and	muscles,89945
swords	and	muskets,1390
year	and	name,3969
numbers	and	names,40801
sovereignty	and	nationalism,978
size	and	nature,81947
thread	and	needle,17175
school	and	neighborhood,17570
weekends	and	nights,15983
oxygen	and	nitrogen,134210
south	and	north,326298
west	and	north,249983
throat	and	nose,28522
poet	and	novelist,62528
stories	and	novels,96710
tales	and	novels,3264
truth	and	order,2872
states	and	organizations,15051
pencil	and	pad,5837
shovel	and	pail,2345
pressure	and	pain,45651
shame	and	pain,14073
pine	and	palm,3051
pen	and	paper,979042
washington	and	paris,5599
sequence	and	pattern,1722
quiet	and	peace,17630
salt	and	pepper,5826592
ships	and	personnel,3913
violin	and	piano,161872
puddings	and	pies,3121
plane	and	pilot,5351
volume	and	pitch,13944
time	and	place,2552978
projects	and	plans,37537
prose	and	poetry,125280
religion	and	politics,269062
resources	and	power,42577
scope	and	power,16647
trade	and	power,3117
variety	and	power,2271
processes	and	powers,837
temperature	and	pressure,551292
verse	and	prose,32359
radio	and	radar,11417
television	and	radio,739409
senders	and	receivers,35483
training	and	research,279609
riches	and	resources,2335
wrongs	and	rights,7380
sky	and	river,1817
roll	and	rock,4107
stick	and	rudder,13950
soldiers	and	sailors,148735
service	and	school,5506
synagogues	and	schools,4435
tactics	and	science,237
yearning	and	searching,1041
stealth	and	secrecy,1591
weapons	and	ships,5138
waistcoat	and	shirt,1480
socks	and	shoes,111901
yelling	and	shooting,1219
shouts	and	shots,494
tub	and	shower,97464
streets	and	sidewalks,103485
sounds	and	sights,49065
space	and	silence,9920
sweater	and	skirt,6010
water	and	snow,39964
topography	and	soil,7370
subjects	and	soldiers,381
wife	and	son,446276
west	and	south,336386
summer	and	spring,75341
warriors	and	statesmen,1074
tension	and	stress,127743
wood	and	stucco,4063
weather	and	sun,9814
sunset	and	sunrise,89605
understanding	and	sympathy,15541
writing	and	teaching,74810
time	and	technology,40756
uncertainties	and	tensions,702
will	and	testament,417145
tuesday	and	thursday,391465
whigs	and	tories,5870
utilities	and	transportation,26743
underbrush	and	trees,1291
twists	and	turns,2163785
water	and	vinegar,108309
wit	and	wisdom,116886
